Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globigerina bulloides	Orbulina universa	Globorotalia decoraperta	Globigerina woodi	Globigerina quinqueloba	Globorotalia scitula	Sphaeroidinellopsis paenedehiscens	Neogloboquadrina pachyderma (sinistral)	Globigerina apertura	Neogloboquadrina n. sp.?	Globorotalia cf. Gr. continuosa	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina humerosa	Globorotalia crassula	Globigerinoides ruber	Neogloboquadrina sp. "rounded"	Globorotalia inflata	Globoquadrina altispira altispira	Neogloboquadrina asanoi	Globigerinita glutinata	Neogloboquadrina pachyderma "rounded"	Comment



  IR	                 	                 	N22               	N23           	167	1021	B	  1	H	CC	   8.00	      7.9400	Kennett  	Planktonic Foraminifers                      	R              	M                 	R                    	                 	                        	                 	                       	                    	                                  	                                       	                    	                        	                               	R                                    	                         	                     	                     	                              	R                   	                                 	                       	                       	                                     	from IR. Ch 15. Table 3.

  IR	                 	                 	N22               	N23           	167	1021	B	  2	H	CC	  16.00	     17.8600	Kennett  	Planktonic Foraminifers                      	A              	M                 	A                    	F                	                        	                 	                       	                    	                                  	A                                      	                    	                        	                               	                                     	                         	                     	                     	                              	F                   	                                 	                       	                       	                                     	from IR. Ch 15. Table 3.

  IR	                 	                 	N22               	N23           	167	1021	B	  3	H	CC	  13.00	     27.3100	Kennett  	Planktonic Foraminifers                      	F              	M                 	C                    	R                	                        	                 	                       	R                   	                                  	C                                      	                    	                        	                               	C                                    	                         	                     	                     	                              	F                   	                                 	                       	                       	C                                    	from IR. Ch 15. Table 3.

  IR	                 	                 	N21               	              	167	1021	B	  5	H	CC	  18.00	     46.3300	Kennett  	Planktonic Foraminifers                      	F              	P                 	C                    	R                	                        	                 	                       	                    	                                  	                                       	                    	                        	                               	                                     	F                        	                     	                     	                              	                    	                                 	                       	                       	C                                    	from IR. Ch 15. Table 3.

  IR	                 	                 	N21               	              	167	1021	B	  6	H	CC	  38.00	     55.9400	Kennett  	Planktonic Foraminifers                      	A              	G                 	A                    	F                	                        	                 	C                      	                    	                                  	A                                      	                    	                        	                               	A                                    	C                        	                     	                     	                              	                    	                                 	A                      	C                      	                                     	from IR. Ch 15. Table 3.

  IR	                 	                 	N21               	              	167	1021	B	  7	H	CC	  21.00	     65.5300	Kennett  	Planktonic Foraminifers                      	A              	M                 	A                    	F                	                        	                 	A                      	                    	                                  	                                       	                    	                        	                               	A                                    	                         	                     	                     	C                             	                    	                                 	A                      	                       	                                     	from IR. Ch 15. Table 3.

  IR	                 	                 	N21               	              	167	1021	B	  8	H	CC	  20.00	     75.0600	Kennett  	Planktonic Foraminifers                      	A              	G                 	A                    	                 	                        	                 	A                      	R                   	                                  	                                       	C                   	                        	                               	A                                    	                         	                     	                     	A                             	A                   	                                 	                       	F                      	                                     	from IR. Ch 15. Table 3.

