Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix spp.	Diatom fragments	Denticulopsis praedimorpha	Denticulopsis hustedtii	Coscinodiscus marginatus	Actinocyclus ingens	Crucidenticula punctata	Thalassionema nitzschioides	Thalassionema hirosakiensis	Hemiaulus polymorphus	Azpeitia nodulifera	Thalassiothrix longissima	Thalassionema nitzschioides  var. parva	Actinocyclus tsugaruensis	Actinocyclus ellipticus var. javanica	Rhizosolenia barboi	Denticulopsis dimorpha	Hemidiscus cuneiformis	Denticulopsis katayamae	Denticulopsis hustedtii (elliptical)	Crucidenticula nicobarica	Denticulopsis cf. D. katayamae	Denticulopsis cf. D. dimorpha	Coscinodiscus marginatus f. fossilis	Actinoptychus senarius	Stephanopyxis turris	Rouxia californica	Nitzschia fossilis	Denticulopsis lauta s.l.	Coscinodiscus radiatus	Thalassionema schraderi	Pinn* spp.	Diatom fragments (girdle bands)	Rhizosolenia sp.	Paralia sulcata	Nitzschia rolandii	Nitzschia praedim*	Thalassiosira leptopus	Thalassiosira antiqua	Thalassionema robusta	Thalassiosira oestrupii	Nitzschia reinholdii	Neodenticula kamtschatica	Thalassiosira convexa	Neodenticula cf. N. koizumii	Neodenticula seminae (sensu Akiba)	Neodenticula koizumii	Actinocyclus oculatus	Thalassiosira cf. T. convexa	Neodenticula seminae	Cocconeis costata	Actinocyclus cf. oculatus	Comment



  IR	                 	                 	                  	              	167	1021	B	  2	H	CC	  16.00	     17.8600	Maruyama 	Diatoms                                      	B              	                  	                   	T               	                          	                       	                        	                   	                       	                           	                           	                     	                   	                         	                                       	                         	                                     	                   	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	                    	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	                 	                 	                  	              	167	1021	B	  5	H	CC	  18.00	     46.3300	Maruyama 	Diatoms                                      	T              	P                 	                   	                	                          	                       	                        	                   	                       	                           	                           	                     	                   	                         	                                       	                         	                                     	                   	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	                    	                  	                  	                        	                      	                       	          	                               	                	T              	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	R                   	                 	T                        	from IR. Ch 15. Table 5.

  IR	Late Pliocene    	                 	NPD 8             	NPD 9         	167	1021	B	  6	H	CC	  38.00	     55.9400	Maruyama 	Diatoms                                      	A              	P/M               	C                  	                	                          	                       	F                       	                   	                       	                           	                           	                     	                   	F                        	                                       	                         	                                     	F                  	                      	F                     	                       	                                    	                         	                              	                             	                                    	                      	R                   	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	                     	                     	T                      	F                   	                         	                     	                            	R                                 	F                    	T                    	                            	T                   	T                	                         	from IR. Ch 15. Table 5.

  IR	Late Pliocene    	                 	NPD 8             	NPD 9         	167	1021	B	  7	H	CC	  21.00	     65.5300	Maruyama 	Diatoms                                      	F              	P                 	                   	                	                          	                       	                        	                   	                       	                           	                           	                     	                   	                         	                                       	                         	                                     	F                  	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	R                   	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	F                    	                     	T                           	                    	                 	                         	from IR. Ch 15. Table 5.
