Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cyclicargolithus floridanus,Triquetrorhabdulus carinatus,Sphenolithus umbrellus,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Sphenolithus ciperoensis,Reticulofenestra bisecta,Helicosphaera intermedia,Helicosphaera euphratis,Discoaster deflandrei,Coccolithus pelagicus,Clausicoccus fenestratus,Chiasmolithus altus,Sphenolithus dissimilis,Coronocyclus nitescens,Pyrocyclus orangensis,Helicosphaera sp. cf. H. orientalis,Pontosphaera sp.,Helicosphaera sp.,Helicosphaera obliqua,Helicosphaera perch-nielseniae,Bramletteius serraculoides,Sphenolithus conicus,Discoaster adamanteus,Reticulofenestra spp. small,Discoaster druggii,Coccolithus sp.,Calcidiscus macintyrei,Syracosphaera sp.,Pedinocyclus larvalis,Helicosphaera carteri,Discoaster variabilis,Reticulofenestra pseudoumbilica,Umbilicosphaera sibogae,Discoaster pseudovariabilis,Sphenolithus heteromorphus,Sphenolithus belemnos,Helicosphaera mediterranea,Discoaster sp. cf. D. deflandrei (with web),Discoaster pansus,Discoaster moorei,Discoaster icarus,Discoaster exilis,Discoaster challengeri,Calcidiscus leptoporus,Helicosphaera californiana,Triquetrorhabdulus rugosus,Discoaster intercalaris,Discoaster sp.,Discoaster kugleri,Helicosphaera philippinensis,Discoaster bollii,Helicosphaera rhomba,Discoaster neohamatus,Clausicoccus sp. (small),Catinaster coalitus,Helicosphaera granulata,Catinaster sp. cf. C. calyculus,Rhabdosphaera sp.,Helicosphaera orientalis,Discoaster sp. cf. D. bolli,Discoaster prepentaradiatus,Discoaster hamatus,Coronocyclus sp.,Catinaster calyculus,Discoaster calcaris,Minylitha convallis,Sphenolithus neoabies,Sphenolithus abies,Helicosphaera sellii,Discoaster triradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster loeblichii,Discoaster brouweri,Discoaster blackstockae,Discoaster berggrenii,Discoaster neorectus,Discoaster surculus,Discoaster bergenii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,126, 792,E,  6,R,CC,  11.00,    185.0600,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,                       ,                      ,                        ,                        ,                        ,                       ,                     ,R                    ,                        ,                   ,                       ,                      ,                     ,                                   ,                ,                 ,                     ,                              ,                          ,                    ,                     ,C                          ,                  ,               ,                      ,                 ,                     ,R                    ,R                    ,R                              ,                       ,                           ,                          ,                     ,                          ,                                           ,                 ,                 ,                 ,                 ,                      ,R                     ,                          ,                          ,                       ,              ,                  ,                            ,                 ,                    ,                     ,                        ,                   ,                       ,                               ,                 ,                        ,                           ,                           ,                  ,                ,                    ,                   ,                   ,                     ,R                 ,                    ,                      ,R                      ,                        ,                     ,                   ,                       ,R                    ,                    ,                   ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,126, 792,E,  7,R,CC,   0.00,    193.7500,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,R                      ,                      ,                        ,                        ,                        ,                       ,                     ,F                    ,                        ,                   ,                       ,                      ,                     ,                                   ,                ,                 ,                     ,                              ,                          ,                    ,                     ,C                          ,                  ,               ,F                     ,                 ,                     ,                     ,R                    ,F                              ,                       ,                           ,                          ,                     ,                          ,                                           ,R                ,                 ,                 ,                 ,                      ,F                     ,                          ,                          ,R                      ,              ,                  ,                            ,                 ,                    ,                     ,                        ,                   ,                       ,                               ,                 ,                        ,                           ,                           ,                  ,                ,                    ,                   ,                   ,R                    ,F                 ,                    ,                      ,F                      ,R                       ,                     ,R                  ,                       ,                     ,                    ,                   ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,126, 792,E,  8,R,CC,   0.00,    203.5400,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,R                      ,                      ,                        ,                        ,                        ,                       ,                     ,R                    ,                        ,                   ,                       ,                      ,                     ,                                   ,                ,                 ,                     ,                              ,                          ,                    ,                     ,C                          ,                  ,               ,                      ,R                ,                     ,                     ,                     ,                               ,                       ,                           ,                          ,                     ,                          ,                                           ,R                ,                 ,                 ,                 ,                      ,R                     ,                          ,                          ,R                      ,              ,                  ,                            ,                 ,                    ,                     ,                        ,                   ,                       ,                               ,                 ,                        ,                           ,                           ,                  ,R               ,                    ,                   ,                   ,R                    ,F                 ,                    ,                      ,F                      ,R                       ,                     ,R                  ,                       ,R                    ,                    ,R                  ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,126, 792,E,  9,R, 1,  39.00,    212.9900,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,F                      ,                      ,                        ,                        ,                        ,                       ,                     ,C                    ,                        ,                   ,                       ,                      ,                     ,                                   ,R               ,                 ,                     ,                              ,                          ,                    ,                     ,A                          ,                  ,               ,R                     ,                 ,                     ,R                    ,F                    ,                               ,C                      ,                           ,                          ,                     ,                          ,                                           ,F                ,                 ,                 ,                 ,                      ,C                     ,                          ,                          ,                       ,              ,                  ,                            ,                 ,                    ,                     ,C                       ,                   ,                       ,                               ,                 ,                        ,                           ,                           ,                  ,F               ,                    ,                   ,                   ,                     ,F                 ,                    ,                      ,C                      ,                        ,                     ,C                  ,                       ,                     ,                    ,R                  ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
