Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina atlantica (sinistral),Neogloboquadrina pachyderma (sinistral),Globorotalia inflata,Neogloboquadrina pachyderma (dextral),Comment
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,N.pachyderma(s. W&C),162, 907,B,  1,H,CC,  15.00,      2.6500,Flower   ,Planktonic Foraminifers                      ,C              ,G                 ,                                      ,D                                      ,                    ,T                                    ,from 162SR.Ch2.Table2.,
,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,N.pachyderma(s. W&C),162, 907,B,  2,H,CC,  25.00,     12.6800,Flower   ,Planktonic Foraminifers                      ,C              ,G                 ,                                      ,D                                      ,                    ,                                     ,from 162SR.Ch2.Table2.,
,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,N.pachyderma(s. W&C),162, 907,B,  3,H,CC,  17.00,     22.0700,Flower   ,Planktonic Foraminifers                      ,R              ,G                 ,                                      ,D                                      ,                    ,                                     ,from 162SR.Ch2.Table2.,
,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,N.pachyderma(s. W&C),162, 907,B,  4,H,CC,  21.00,     31.5400,Flower   ,Planktonic Foraminifers                      ,T              ,M                 ,                                      ,D                                      ,R                   ,                                     ,from 162SR.Ch2.Table2.,
,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,162, 907,B,  5,H, 1,  39.00,     31.5900,Flower   ,Planktonic Foraminifers                      ,T              ,M                 ,D                                     ,                                       ,                    ,                                     ,from 162SR.Ch2.Table2.
,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,162, 907,B,  5,H, 3,  39.00,     34.5900,Flower   ,Planktonic Foraminifers                      ,T              ,M                 ,D                                     ,                                       ,                    ,                                     ,from 162SR.Ch2.Table2.
,,,,,,,,,,,,,,,,,,,,,,
