Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],No. specimens/tray,Preservation,Comment,Argilloecia spp.,Bairdoppilata spp.,Blind trachyleberidids,Bradleya spp.,Cletocythereis rastromarginata,Cytheralison sp. ,Cytherella sp.,Cytheropteron spp.,Dutoitella crassinodosa ,Dutoitella suhmi,Glencoeleberis? sp.,Krithe spp.,Legitimocythere acanthoderma,Oertliella? sp.,Philoneptunus paragravezia,Philoneptunus cf. tricolonos,Poseidonamicus spp.,Pseudobosquetina mucronalata,Sighted trachyleberidids,Xestolebris spp.,Ship File Links,Shore File Links,File Data
371-U1509A-1R-CC-PAL-OSTRA,0,10,0,0.1,6.6,7,,0,,,1,,,0,1,,,,9,,,,,9,,,0,,,
371-U1509A-2R-CC-PAL-OSTRA,0,10,1.16,1.26,3.4,7,,0,,,0,,,0,0,,,,14,,,,,2,,,0,,,
371-U1509A-3R-CC-PAL-OSTRA,0,10,10.49,10.59,2.4,7,,0,,,0,,,0,0,,,,4,,,,,3,,,0,,,
371-U1509A-4R-CC-PAL-OSTRA,0,10,22.36,22.46,3.8,4,,0,,,0,,,3,0,,,,5,,,,,7,,,0,,,
371-U1509A-5R-CC-PAL-OSTRA,0,10,33.94,34.04,3,4,,1,,,0,,,1,0,,,,1,,,,,5,,,0,,,
371-U1509A-6R-CC-PAL-OSTRA,0,10,38.7,38.8,3.6,5,,0,,,5,,,0,1,,,,2,,,,,6,,,1,,,
371-U1509A-7R-CC-PAL-OSTRA,0,10,53.43,53.53,1.6,6,,0,,,2,,,0,1,,,,4,,,,,0,,,0,,,
371-U1509A-8R-CC-PAL-OSTRA,0,10,61.68,61.78,0.3,6,,0,,,0,,,0,0,,,,1,,,,,0,,,0,,,
371-U1509A-9R-CC-PAL-OSTRA,0,10,72.7,72.8,0.7,6,,0,,,1,,,0,0,,,,0,,,,,0,,,0,,,
371-U1509A-10R-CC-PAL-OSTRA,0,10,82.42,82.52,3.2,6,,0,,,3,,,1,3,,,,4,,,,,1,,,0,,,
371-U1509A-11R-CC-PAL-OSTRA,0,10,90.08,90.18,1.9,5,,0,,,2,,,0,1,,,,4,,,,,0,,,0,,,
371-U1509A-12R-CC-PAL-OSTRA,0,10,105.01,105.11,5.5,5,,2,,,1,,,0,2,,,,14,,,,,0,,,0,,,
371-U1509A-13R-CC-PAL-OSTRA,0,10,114.63,114.73,4.7,5,,0,,,1,,,0,0,,,,6,,,,,5,,,0,,,
371-U1509A-14R-CC-PAL-OSTRA,0,10,122.2,122.3,5,4,,0,,,0,,,0,0,,,,3,,,,,1,,,0,,,
371-U1509A-15R-CC-PAL-OSTRA,0,10,135.12,135.22,2,4,,0,,,0,,,1,0,,,,4,,,,,0,,,0,,,
371-U1509A-17R-CC-PAL-OSTRA,0,10,149.27,149.37,2.3,5,,0,,,0,,,0,0,,,,3,,,,,1,,,0,,,
371-U1509A-18R-CC-PAL-OSTRA,0,10,162.24,162.34,2,4,,0,,,0,,,0,0,,,,1,,,,,1,,,0,,,
371-U1509A-19R-CC-PAL-OSTRA,0,10,166.66,166.76,0.6,7,,0,,,0,,,0,0,,,,1,,,,,3,,,0,,,
371-U1509A-20R-CC-PAL-OSTRA,0,10,178.45,178.55,4.7,6,,2,,,0,,,0,1,,,,4,,,,,5,,,0,,,
371-U1509A-22R-CC-PAL-OSTRA,0,10,196.43,196.53,0.2,6,,0,,,0,,,0,0,,,,1,,,,,0,,,0,,,
371-U1509A-23R-CC-PAL-OSTRA,0,10,205.11,205.21,0.8,6,,0,,,0,,,0,0,,,,1,,,,,2,,,0,,,
371-U1509A-24R-CC-PAL-OSTRA,0,10,210.8,210.9,0.8,6,,0,,,0,,,0,0,,,,1,,,,,1,,,0,,,
371-U1509A-27R-CC-PAL-OSTRA,0,10,234.88,234.98,0.2,7,,0,,,0,,,0,0,,,,0,,,,,1,,,0,,,
371-U1509A-38R-CC-PAL-OSTRA,0,10,343.57,343.67,0.2,7,,0,,,0,,,0,0,,,,1,,,,,0,,,0,,,
