Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Alabamina creta,Allomorphina conica,Amphistegina aucklandica,Anomalina aotea,Anomalina visenda,Anomalinoides fasciatus,Anomalinoides orbiculus,Anomalinoides parvumbilia,Anomalinoides semiteres,Aragonia tenera,Aragonia zelandica,Arenodosaria antipoda,Astacolus compressus,Asterigerina cyclops,Asterocyclina hornibrooki,Asterocyclina speighti,Astrononion parki,Baggatella cf. inconspicua,Baggina ampla,Bathysiphon sp.,Bigenerina burri,Bolivina alata,Bolivina finlayi,Bolivina lapsus,Bolivina pontis,Bolivina reticulata,Bolivina semitruncata,Bolivina sp.,Bolivina subcompacta,Bolivina tectiformis,Bolivinella bensoni,Bolivinella rugosa,Bolivinella subrugosa,Bolivinopsis compta,Bolivinopsis cubensis,Buccella lotella,Bueningia creeki,Bulimina bortonica,Bulimina forticosta,Bulimina miolaevis,Bulimina pupula,Bulimina senta,Bulimina serratospina,Bulimina sp.,Bulimina striata,Bulimina subbortonica,Bulimina truncanella,Buliminella browni,Buliminella creta,Buliminoides chattonensis,Cancris lateralis,Cassidulina cuneata,Cassidulina sp.,Cibicides collinsi,Cibicides hampdenensis,Cibicides ihungia,Cibicides karreriformis,Cibicides maculatus,Cibicides molestus,Cibicides notocenicus,Cibicides novozelandicus,Cibicides parki,Cibicides perforatus,Cibicides pseudoconvexus,Cibicides semiperforatus,Cibicides sp.,Cibicides thiara,Cibicides tholus,Cibicides verrucosus,Cibicides vortex,Clavulina anglica,Clavulina sp.,Conotrochammina depressa,Cribrorotalia dorreeni,Cribrorotalia keari,Cribrorotalia longwoodensis,Cribrorotalia okokoensis,Cribrorotalia ornatissima,Cribrorotalia tainuia,Cyclammina amplectans,Cyclammina incisa,Dentalina sp.,Discorotalia tenuissima,Dorothia agrestis,Dorothia minima,Eggerella columna,Eggerella decepta,Ehrenbergina cf. bicornis,Elphidium hampdenense,Elphidium saginatum,Eoeponidella zealandica,Euuvigerina bortotara,Euuvigerina maynei,Euuvigerina miozea,Euuvigerina picki,Euuvigerina sp.,Euuvigerina wanzea,Evolvocassidulina orientalis,Frondicularia teuria,Gaudryina minuscula,Gaudryina proreussi,Gaudryina quadrazea,Gaudryina reliqua,Gaudryina reussi,Gaudryina sp.,Gaudryina whangaia,Gavelinella becarriformis,Gavelinella zealandica,Globocassidulina pseudocrassa,Globocassidulina subglobosa,Gyroidinoides allani,Gyroidinoides sp.,Gyroidinoides zelandicus,Haeuslerella decepta,Haeuslerella hectori,Haeuslerella textilariformis,Halkyardia bartrumi,Hanzawaia scopos,Hanzawaia turgida,Hauserella sp.,Heterostegina borneensis,Hoeglundina elegans,Hofkerina semiornata,Karreulina bortonica,Kolesnikovella australis,Lagenoglandulina annulata,Lamarckina novozealandica,Laticarinina pauperata,Lenticulina callifera,Lenticulina costata,Lenticulina foliata,Lenticulina gyroscalpra,Lenticulina hampdenensis,Lenticulina lenticula,Lenticulina loculosa,Lenticulina mamilligera,Lenticulina pseudocalcarata,Lenticulina pseudomamilligera,Lenticulina sp.,Lenticulina taettowata,Lingulina decipiens,Loxostomoides bortonica,Loxostomum limonense,Marginulinopsis allani,Marginulinopsis spinobesa,Martinottiella weymouthi,Melonis dorreeni,Melonis maorica,Melonis sp.,Mississippina concentrica,Mucronina cf. subtetragona,Neoflabellina semireticulata,Nodosaria sp.,Nonionella novazealandica,Notorotalia stachei,Notorotalia uttleyi,Nuttalides carinotruempyi,Nuttalides florialis,Nuttallides truempyi,Pararotalia mackayi,Planularia halophora,Planulina catilla,Planulina renzi,Plectofrondicularia awamoana,Plectofrondicularia proparri,Plectofrondicularia whaingaroica,Pleurostomella sp.,Polymorphina incavata,Polymorphina lingulata,Polymorphina marshalli,Polymorphina marwicki,Polymorphina waitakiensis,Pseudopolymorphina parri,Pullenia sp.,Quasibolivina finlayi,Quasibolivina taylori,Quinqueloculina sp.,Rectobolivina maoriella,Rectuvigerina clifdenensis,Rectuvigerina ongleyi,Rectuvigerina postprandia,Rectuvigerina prisca,Rectuvigerina rerensis,Rectuvigerina striatissima,Reussella finlayi,Rotaliatina sulcigera,Saracenaria arcuatula,Semivulvulina capitata,Semivulvulina prisca,Semivulvulina waitakia,Sigmavirgulina cf. tortuosa,Sigmoilopsis neocelata,Sigmomorphina pernaeformis,Siphonina australis,Siphotextularia acutangula,Siphotextularia awamoana,Siphotextularia bolivina,Siphotextularia finlayi,Siphouvigerina sp.,Sphaeroidina bulloides,Sphaeroidina variabilis,Stilostomella sp.,Tappanina glaessneri,Tappanina olsoni,Textularia pseudomiozea,Textularia zeaggluta,Trifarina elliptica,Trifarina ototara,Trifarina parva,Tritaxia instar,Tritaxilina zealandica,Vaginulina sp.,Vaginulinopsis cristellata,Vaginulinopsis hochstetteri,Vaginulinopsis interrupta,Vaginulinopsis marshalli,Vaginulinopsis marwicki,Vaginulinopsis recta,Vaginulinopsis spinulosa,Vaginulinopsis waipaerensis,Victoriella conoidea,Virgulopsis costata,Virgulopsis pustulata,Vulvulina bortonica,Vulvulina bueningi,Vulvulina granulosa,Vulvulina jablonksii,Vulvulina pennatula,Vulvulina sp.,Vulvulina zespinosa,Wadella globiformis,Zeaflorilus stachei,Ship File Links,Shore File Links,File Data
375-U1520C-2R-CC-PAL-FORAM,0,5,647.7,647.75,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375-U1520C-3R-CC-PAL-FORAM,0,5,657.79,657.84,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,
375-U1520C-4R-CC-PAL-FORAM,0,5,667.94,667.99,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375-U1520C-5R-CC-PAL-FORAM,0,5,676.32,676.37,M,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375-U1520C-6R-CC-PAL-FORAM,0,5,685.85,685.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375-U1520C-7R-CC-PAL-FORAM,0,5,693.05,693.1,M,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375-U1520C-8R-CC-PAL-FORAM,0,5,706.02,706.07,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375-U1520C-9R-CC-PAL-FORAM,0,5,713.69,713.74,M,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375-U1520C-10R-CC-PAL-FORAM,0,5,726.98,727.03,G-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375-U1520C-11R-CC-PAL-FORAM,0,5,737.38,737.43,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375-U1520C-12R-CC-PAL-FORAM,0,7,746.82,746.89,G-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375-U1520C-13R-CC-PAL-FORAM,0,5,756.62,756.67,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375-U1520C-14R-CC-PAL-FORAM,0,5,766.15,766.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375-U1520C-15R-7-PAL-FORAM,0,4,775.17,775.21,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
