Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Chiasmolithus grandis,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Cyclicargolithus luminis,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster nodifer,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster triradiatus,Discoaster variabilis,Discoaster williamsii,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (>5.5 microns),Gephyrocapsa sp. (4-5.5 microns),Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera burkei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera sellii,Lanternithus minutus,Minylitha convallis,Nicklithus amplificus,Orthorhabdus serratus,Pontosphaera exilis,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera punctosa,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra circus,Reticulofenestra erbae,Reticulofenestra lockeri,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Reticulofenestra umbilicus,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus pospichalii,Sphenolithus predistentus,Sphenolithus pseudoheteromorphus,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,Ship File Links,Shore File Links,File Data
368-U1504A-2R-CC-PAL-NANNO,0,5,7.8,7.85,NN21 [G12],G [P33],A [A12],,,,,C [A89],,,,,,,F [A89],,,,,,,,,,,,,,,R [A89],,,,,,,,,,,,,,,,,,,,,,,,,,A [A89],,,A [A89],,A [A89],,,,C [A89],,,R [A89],,,,,,,,,R [A89],,,,,,,,R [A89],R [A89],A [A89],,C [A89],R [A89],,,,,,,,,,,,,,,,R [A89],F [A89],,,,C [A89],C [A89],,REWORKED FOSSILS FROM PLIOCENE-LATE MIOCENE,,,
368-U1504A-3R-CC-PAL-NANNO,0,4,21.31,21.35,NN21 [G12],G [P33],A [A12],,,,,C [A89],,,,,,,F [A89],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,,,,A [A89],,,A [A89],,A [A89],,,,C [A89],,,,,,,,,,R [A89],,F [A89],,F [A89],,,,,,R [A89],F [A89],A [A89],,C [A89],,,,,,,,,,,,,,,,,F [A89],F [A89],,,,C [A89],C [A89],,REWORKED FOSSILS FROM PLIOCENE-LATE MIOCENE,,,
368-U1504A-4R-CC-PAL(10-15)-NANNO,0,5,31.7,31.75,NN19 [G12],G [P33],A [A12],,,,,C [A89],,,,,,,F [A89],,,,,,,R [A89],,,,,,,R [A89],R [A89],R [A89],,,,,,,,,,,,R [A89],,,R [A89],,,F [A89],R [A89],,,,,,,,,A [A89],,A [A89],,,,F [A89],,R [A89],F [A89],,,,,,,F [A89],,F [A89],R [A89],F [A89],,,,,,,F [A89],A [A89],,F [A89],,R [A89],,,,,,,,,,,,,,,,F [A89],,,,F [A89],C [A89],,REWORKED FOSSILS FROM PLIOCENE-LATE MIOCENE,,,
368-U1504A-5R-CC-PAL(12-17)-NANNO,0,5,38.48,38.53,NN19 [G12],G [P33],A [A12],,,,,C [A89],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,,,F [A89],,,,,,,,,,A [A89],F [A89],A [A89],,,,C [A89],,,,,,,,,,,,F [A89],F [A89],,,,,,,,F [A89],A [A89],,F [A89],,,,,,,,,,,,,,,,,,C [A89],,,,F [A89],,,REWORKED FOSSILS FROM PLIOCENE-LATE MIOCENE,,,
368-U1504A-6R-CC-PAL(9-14)-NANNO,0,5,52.08,52.13,NN6 [G12],G [P33],A [A12],,,,,C [A89],,F [A89],,,,,,,,,,,F [A89],C [A89],,R [A89],,,,,,,,,,,,C [A89],,,,F [A89],,,,,F [A89],,,,C [A89],,,,,F [A89],,,,,,,,,,,F [A89],,F [A89],,,,,F [A89],,,,,F [A89],,,,C [A89],,,,C [A89],C [A89],A [A89],,,F [A89],C [A89],,,,,,,,,,,C [A89],,,,,,C [A89],,,C [A89],,,"FORAM SAND LAYER, DISCOASTERIDS NOT AS WELL PRESERVED AS OTHER GROUPS",,,
368-U1504A-7R-CC-PAL(0-5)-NANNO,0,5,59.73,59.78,NN5 [G12],G [P33],A [A12],,,,,F [A89],,F [A89],,,,,,,,,,R [A89],C [A89],F [A89],,C [A89],,,,,,,,,,C [A89],,,,,,,,,,F [A89],,,,F [A89],C [A89],,,,,C [A89],,,,,,,,,,,F [A89],,F [A89],,,,,,,,,,F [A89],,,,,,,,F [A89],C [A89],A [A89],,,R [A89],,,,,,,,,,,A [A89],C [A89],F [A89],,,,C [A89],,,,C [A89],,,,,,
368-U1504A-8R-CC-PAL(14-19)-NANNO,0,5,73.51,73.56,NN4 [G12],G [P33],A [A12],,,,,F [A89],,,,,,,,,,,,R [A89],C [A89],F [A89],,A [A89],,,,,,,,,,C [A89],R [A89],,,,,,,,,,,,F [A89],,C [A89],,,,,C [A89],,,,,,,,F [A89],,,F [A89],,F [A89],,,,,,,,,,R [A89],,,,,,,,F [A89],C [A89],C [A89],,,,,,,,,,,,,,A [A89],C [A89],F [A89],,,,,,,,F [A89],,,,,,
368-U1504A-9R-CC-PAL(12-17)-NANNO,0,5,78.26,78.31,NN3 [G12],G [P33],A [A12],,,,,C [A89],,,,,,,,,,,,F [A89],C [A89],F [A89],,A [A89],,,,,,,,,,A [A89],,,,,,,,,R [A89],,,,,,C [A89],,,,,C [A89],,,,,,,,F [A89],,,F [A89],,F [A89],,,,,F [A89],,,,,R [A89],,,,,,,,F [A89],C [A89],A [A89],,,,,,,,,,,,,,C [A89],C [A89],,,,,,,,,F [A89],,,,,,
368-U1504A-10R-CC-PAL(14-19)-NANNO,0,5,93.91,93.96,NN2 [G12],G [P33],A [A12],,,,,C [A89],,,,,,,,,,,,,C [A89],C [A89],F [A89],A [A89],,,,,,,,,,C [A89],,,,,,,,,,,,,,,C [A89],,,,,C [A89],,,,,,,,F [A89],,,F [A89],,F [A89],,,,,,,,,,R [A89],,,,,,,,C [A89],C [A89],A [A89],,,,,C [A89],,,,,,,,,,C [A89],,,,,,F [A89],F [A89],,F [A89],,,,,,
368-U1504A-12R-1-W 3/5-NANNO,0,2,104.83,104.85,NN2 [G12],G [P33],A [A12],,,,,F [A89],,,,,,,,,,,,C [A89],C [A89],C [A89],C [A89],C [A89],,,,,,,,,,C [A89],F [A89],,,,,,,,,,,,,,C [A89],,,,,C [A89],,,,,,,,F [A89],,,F [A89],,F [A89],,,,,,,,,,F [A89],,,,,,,,F [A89],C [A89],C [A89],,,,,C [A89],,,,,,,,,,C [A89],,,,,,F [A89],F [A89],,,,,,,,
368-U1504A-12R-1-W 40/42-NANNO,0,2,105.2,105.22,NN2 [G12],G [P33],A [A12],,,,,F [A89],,,,,,,,,,,,C [A89],C [A89],C [A89],C [A89],C [A89],,,,,,,,,,C [A89],F [A89],,,,,,,,,,,,,,C [A89],,,,,,,,,,,,,,,,F [A89],,F [A89],,,,,,,,,,,,,,,,,,F [A89],C [A89],C [A89],,,,,,,,,,,,,,,C [A89],,,,,,F [A89],F [A89],,,,,,,,
368-U1504A-12R-CC-PAL(13-18)-NANNO,0,5,112.61,112.66,NN2 [G12],G [P33],A [A12],,,,,,,,,,,,,,,,,C [A89],C [A89],F [A89],A [A89],C [A89],,,,,,,,,,C [A89],F [A89],,,,,,,,,,,,,,C [A89],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],C [A89],C [A89],,,,,,,,,,,C [A89],,,,C [A89],,,,,,F [A89],F [A89],,,,,HEAVY OVERGROWTH OF DISCOASTER,,,
