Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Tranolithus orionatus,Reinhardtites anthophorus,Quadrum trifidum,Quadrum gothicum,Prediscosphaera cretacea,Micula staurophora,Micula concava,Microrhabdulus decoratus,Manivitella pemmatoidea,Lithraphidites carniolensis,Glaukolithus diplogrammus,Eiffellithus eximius,Cylindralithus sp. cf. C. serratus,Cribrosphaerella ehrenbergii,Cretarhabdus surirellus,Cretarhabdus crenulatus,Ceratolithoides aculeus,Ahmuellerella octoradiata,Tetrapodorhabdus decorus,Zeugrhabdotus embergeri,Reinhardtites levis,Quadrum sissinghii,Calculites obscurus,Broinsonia enormis,Rhagodiscus angustus,Microrhabdulus stradneri,Chiastozygus litterarius,Arkhangelskiella cymbiformis,Zygodiscus spiralis,Eiffellithus turriseiffelii,Biscutum constans,Kamptnerius magnificus,Micula praemurus,Micula murus,Prediscosphaera grandis,Ceratolithoides kamptneri,Micula prinsii,Cribrosphaerella daniae,Thoracosphaera sp.,Sphenolithus abies/neoabies,Reticulofenestra spp. small,Reticulofenestra pseudoumbilica,Reticulofenestra gartneri,Helicosphaera kamptneri,Discoaster surculus,Discoaster pentaradiatus,Discoaster hamatus,Discoaster berggrenii,Coccolithus pelagicus,Catinaster calyculus,Calcidiscus macintyrei,Calcidiscus leptoporus,Discoaster variabilis,Discoaster loeblichii,Discoaster bollii,Discoaster bellus,Helicosphaera recta,Discoaster quinqueramus,Discoaster neorectus,Discoaster neohamatus,Discoaster brouweri,Amaurolithus primus,Amaurolithus delicatus,Triquetrorhabdulus rugosus,Amaurolithus amplificus,Ceratolithus acutus,Amaurolithus tricorniculatus,Reticulofenestra doronicoides,Ceratolithus rugosus,Pseudoemiliania lacunosa,Syracosphaera histrica,Helicosphaera sellii,Discoaster triradiatus,Discoaster tamalis,Discoaster asymmetricus,Syracosphaera pulchra,Ceratolithus cristatus,Rhabdosphaera stylifera,Rhabdosphaera clavigera,Pontosphaera japonica,Scyphosphaera pulcherrima,Gephyrocapsa spp.,Umbilicosphaera mirabilis,Gephyrocapsa caribbeanica,Scyphosphaera apsteinii,Umbilicosphaera sibogae,Gephyrocapsa oceanica,Orthorhabdus serratus,Ceratolithus telesmus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,108, 661,A,  1,H,CC,  15.00,      1.5700,Manivit  ,Nannofossils                                 ,A              ,G                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,C                      ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,F                     ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,C                            ,                    ,                        ,R                     ,                    ,                      ,                  ,                       ,R                    ,                      ,R                      ,R                      ,                     ,R                        ,A                ,                         ,A                        ,R                      ,R                      ,C                    ,R                    ,R                    ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,108, 661,A,  2,H, 3,  80.00,      5.4000,Manivit  ,Nannofossils                                 ,A              ,G                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,C                      ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,F                     ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,C                            ,                    ,                        ,R                     ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,F                      ,R                    ,                         ,A                ,R                        ,A                        ,F                      ,R                      ,C                    ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,              ,108, 661,A,  2,H, 5,  80.00,      8.4000,Manivit  ,Nannofossils                                 ,C              ,G                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,C                      ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,F                     ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,C                            ,R                   ,R                       ,                      ,                    ,                      ,                  ,                       ,                     ,R                     ,R                      ,F                      ,                     ,                         ,A                ,                         ,A                        ,R                      ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,CN13b         ,108, 661,A,  3,H,CC,  20.00,     20.0900,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,C                      ,                   ,                        ,                  ,                     ,R                    ,                    ,                      ,F                     ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,C                     ,                          ,                       ,                   ,                            ,                             ,R                   ,R                       ,R                     ,                    ,                      ,                  ,                       ,R                    ,                      ,R                      ,R                      ,R                    ,R                        ,A                ,R                        ,C                        ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
