Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster tamalis,Discoaster pentaradiatus,Discoaster brouweri,Discoaster asymmetricus,Discoaster surculus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Helicosphaera sellii,Helicosphaera inversa,Helicosphaera carteri,Coccolithus pelagicus,Ceratolithus cristatus,Calcidiscus macintyrei,Calcidiscus leptoporus,Gephyrocapsa spp. (small),Florisphaera profunda,Discoaster triradiatus,Gephyrocapsa spp. medium,Gephyrocapsa spp. (large),Braarudosphaera bigelowii,Gephyrocapsa sp.3 medium,Scyphosphaera spp.,Helicosphaera wallichii,Discoaster berggrenii,Pontosphaera spp.,Syracosphaera spp.,Emiliania huxleyi,Gephyrocapsa omega,Ceratolithus telesmus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Holocene         ,                  ,              ,172,1062,A,  1,H,CC,   8.00,      2.0500,Raffi    ,Nannofossils                                 ,A              ,M                 ,                  ,                        ,                   ,                       ,                   ,                        ,                       ,                    ,                     ,                     ,                     ,                      ,                      ,                      ,                         ,                     ,                      ,                        ,                         ,                         ,                        ,                  ,                       ,                     ,                 ,                  ,D                ,                  ,                     ,age <0.085 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1062,A,  2,H,CC,  13.00,     11.6400,Raffi    ,Nannofossils                                 ,C              ,M                 ,                  ,                        ,                   ,                       ,                   ,                        ,                       ,                    ,                     ,                     ,                     ,F                     ,                      ,+                     ,                         ,                     ,                      ,C                       ,                         ,                         ,                        ,                  ,+                      ,                     ,                 ,                  ,A                ,                  ,                     ,abundant Diatoms
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1062,A,  3,H,CC,   0.00,     21.3800,Raffi    ,Nannofossils                                 ,A              ,G                 ,                  ,                        ,                   ,                       ,                   ,                        ,                       ,                    ,                     ,                     ,R                    ,R                     ,                      ,A                     ,C                        ,A                    ,                      ,A                       ,                         ,                         ,                        ,                  ,                       ,                     ,                 ,                  ,A                ,+                 ,F                    ,age: <0.085 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1062,A,  4,H,CC,   0.00,     30.8500,Raffi    ,Nannofossils                                 ,A              ,M                 ,                  ,                        ,                   ,                       ,                   ,                        ,                       ,                    ,                     ,C                    ,F                    ,                      ,                      ,A                     ,A                        ,A                    ,                      ,A                       ,                         ,                         ,                        ,                  ,C                      ,                     ,                 ,                  ,C                ,                  ,                     ,Etching - age: >0.085 <0.26 Ma
