Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Placolithus (unidentified taxa)	Coccolithus pelagicus	Reticulofenestra "small"	Pontosphaera sp.	Pontosphaera japonica	Helicosphaera carteri	Gephyrocapsa caribbeanica	Dictyococcites productus	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa oceanica	Gephyrocapsa aperta	Calcidiscus macintyrei	Reticulofenestra asanoi	Braarudosphaera bigelowii	Helicosphaera wallichii	Helicosphaera colombiana	Emiliania huxleyi	Comment
  SR	                 	                 	                  	              	128	 798	A	  5	H	 1	   5.00	     36.7500	Muza     	Nannofossils                                 	H              	G                 	                               	A                    	                        	                	                     	                     	                         	                        	                      	                        	                    	                     	A                  	                      	                       	C                        	F                      	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  5	H	 2	   5.00	     38.2500	Muza     	Nannofossils                                 	C              	P                 	                               	C                    	                        	R               	                     	                     	                         	                        	                      	                        	                    	R                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  5	H	 3	   5.00	     39.7500	Muza     	Nannofossils                                 	H              	G                 	                               	C                    	A                       	                	                     	A                    	V                        	                        	F                     	F                       	                    	V                    	A                  	                      	                       	F                        	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  5	H	 4	   5.00	     41.2500	Muza     	Nannofossils                                 	V              	P                 	                               	F                    	V                       	                	                     	                     	V                        	                        	                      	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  5	H	 4	  70.00	     41.9000	Muza     	Nannofossils                                 	A              	P                 	                               	C                    	A                       	                	                     	                     	A                        	                        	                      	                        	                    	A                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  5	H	 6	   5.00	     44.2500	Muza     	Nannofossils                                 	V              	M                 	                               	A                    	                        	                	                     	                     	C                        	                        	                      	F                       	                    	V                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  5	H	 6	  70.00	     44.9000	Muza     	Nannofossils                                 	A              	P                 	                               	A                    	                        	                	                     	                     	C                        	                        	                      	F                       	                    	A                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  5	H	 7	   5.00	     45.7500	Muza     	Nannofossils                                 	H              	M                 	                               	C                    	                        	R               	                     	C                    	A                        	                        	                      	F                       	                    	V                    	                   	                      	                       	F                        	F                      	                        	                 	Rare reworked Cretaceous taxa; from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  5	H	 7	  70.00	     46.4000	Muza     	Nannofossils                                 	H              	M                 	                               	C                    	                        	F               	                     	C                    	A                        	                        	F                     	F                       	                    	V                    	                   	                      	                       	                         	                       	                        	                 	Rare reworked Cretaceous taxa; from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  6	H	 1	   6.00	     46.2600	Muza     	Nannofossils                                 	A              	P                 	                               	C                    	                        	                	                     	                     	                         	                        	                      	                        	                    	A                    	A                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  6	H	 1	  70.00	     46.9000	Muza     	Nannofossils                                 	H              	M                 	                               	C                    	A                       	                	                     	A                    	C                        	                        	F                     	F                       	                    	                     	A                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  6	H	 2	   5.00	     47.7500	Muza     	Nannofossils                                 	V              	M                 	                               	V                    	V                       	F               	                     	C                    	A                        	                        	                      	F                       	                    	V                    	A                  	                      	                       	                         	                       	                        	                 	Rare reworked Cretaceous taxa; from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  6	H	 2	  70.00	     48.4000	Muza     	Nannofossils                                 	A              	P                 	                               	F                    	                        	                	                     	                     	                         	                        	                      	                        	                    	A                    	A                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  6	H	 3	   2.00	     49.2200	Muza     	Nannofossils                                 	V              	M                 	                               	A                    	                        	R               	                     	                     	                         	                        	F                     	F                       	                    	V                    	A                  	                      	                       	                         	F                      	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  6	H	 3	  70.00	     49.9000	Muza     	Nannofossils                                 	V              	M                 	                               	V                    	                        	F               	                     	                     	                         	                        	F                     	C                       	                    	V                    	A                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  6	H	 4	   1.00	     50.7100	Muza     	Nannofossils                                 	A              	P                 	                               	A                    	                        	                	                     	                     	                         	                        	R                     	                        	                    	A                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  6	H	 4	  83.00	     51.5300	Muza     	Nannofossils                                 	A              	P                 	                               	A                    	                        	                	                     	                     	                         	                        	                      	                        	                    	A                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  6	H	CC	   8.00	     55.9500	Muza     	Nannofossils                                 	F              	P                 	                               	F                    	                        	                	                     	                     	                         	                        	                      	                        	                    	F                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  7	H	 1	  38.00	     56.0800	Muza     	Nannofossils                                 	V              	M                 	                               	C                    	                        	                	R                    	                     	C                        	                        	R                     	                        	                    	V                    	A                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  7	H	 1	 108.00	     56.7800	Muza     	Nannofossils                                 	F              	P                 	F                              	                     	                        	                	                     	                     	                         	                        	                      	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  7	H	 4	 108.00	     60.9200	Muza     	Nannofossils                                 	C              	P                 	C                              	C                    	                        	                	                     	                     	                         	                        	                      	                        	                    	F                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  7	H	 5	  38.00	     61.7200	Muza     	Nannofossils                                 	V              	P                 	                               	V                    	                        	R               	                     	                     	C                        	                        	R                     	R                       	                    	V                    	A                  	                      	                       	                         	F                      	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  7	H	 5	 115.00	     62.4900	Muza     	Nannofossils                                 	V              	P                 	                               	V                    	                        	R               	                     	                     	C                        	                        	R                     	R                       	                    	V                    	A                  	                      	                       	                         	F                      	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  7	H	 6	  38.00	     63.2200	Muza     	Nannofossils                                 	V              	M                 	                               	V                    	                        	                	                     	                     	                         	                        	F                     	                        	                    	A                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  7	H	 6	 115.00	     63.9900	Muza     	Nannofossils                                 	V              	M                 	                               	V                    	                        	C               	                     	                     	                         	                        	F                     	                        	                    	A                    	C                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  7	H	 7	  38.00	     64.7200	Muza     	Nannofossils                                 	V              	M                 	                               	V                    	                        	                	                     	                     	                         	                        	                      	                        	                    	A                    	C                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

