Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Placolithus (unidentified taxa)	Coccolithus pelagicus	Reticulofenestra "small"	Pontosphaera sp.	Pontosphaera japonica	Helicosphaera carteri	Gephyrocapsa caribbeanica	Dictyococcites productus	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa oceanica	Gephyrocapsa aperta	Calcidiscus macintyrei	Reticulofenestra asanoi	Braarudosphaera bigelowii	Helicosphaera wallichii	Helicosphaera colombiana	Emiliania huxleyi	Comment
  SR	                 	                 	                  	              	128	 798	A	 11	H	 3	  68.00	     97.7800	Muza     	Nannofossils                                 	V              	P                 	                               	V                    	A                       	C               	                     	F                    	                         	                        	                      	C                       	                    	                     	A                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 11	H	 4	   5.00	     98.6500	Muza     	Nannofossils                                 	A              	P                 	                               	A                    	C                       	                	                     	                     	                         	F                       	R                     	F                       	                    	                     	C                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 11	H	 4	  69.00	     99.2900	Muza     	Nannofossils                                 	C              	P                 	                               	C                    	F                       	                	                     	                     	                         	                        	F                     	C                       	                    	                     	C                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 11	H	 5	   9.00	    100.1900	Muza     	Nannofossils                                 	C              	P                 	                               	C                    	C                       	F               	                     	                     	                         	                        	                      	C                       	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 11	H	 5	  70.00	    100.8000	Muza     	Nannofossils                                 	A              	P                 	                               	A                    	A                       	F               	F                    	                     	                         	                        	C                     	C                       	                    	                     	A                  	                      	C                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 11	H	 6	   6.00	    101.6600	Muza     	Nannofossils                                 	A              	P                 	                               	A                    	A                       	F               	F                    	                     	                         	                        	                      	F                       	                    	                     	V                  	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 11	H	 6	  70.00	    102.3000	Muza     	Nannofossils                                 	V              	P                 	                               	V                    	A                       	F               	                     	                     	                         	                        	                      	                        	                    	                     	                   	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 11	H	 7	   5.00	    103.1500	Muza     	Nannofossils                                 	A              	P                 	                               	A                    	                        	                	                     	F                    	                         	                        	F                     	F                       	                    	                     	C                  	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 11	H	 7	  70.00	    103.8000	Muza     	Nannofossils                                 	V              	P                 	                               	V                    	C                       	F               	                     	                     	                         	                        	                      	C                       	                    	                     	A                  	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 12	H	 1	   4.00	    103.8400	Muza     	Nannofossils                                 	A              	P                 	                               	A                    	A                       	C               	                     	                     	                         	                        	                      	F                       	                    	                     	A                  	                      	C                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 12	H	 1	  69.00	    104.4900	Muza     	Nannofossils                                 	V              	P                 	                               	V                    	A                       	C               	                     	                     	                         	                        	C                     	F                       	                    	                     	V                  	                      	C                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 12	H	 2	   7.00	    104.6400	Muza     	Nannofossils                                 	C              	P                 	                               	A                    	A                       	F               	                     	                     	                         	                        	A                     	                        	                    	                     	C                  	                      	C                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 12	H	 2	  66.00	    105.2300	Muza     	Nannofossils                                 	F              	P                 	                               	C                    	C                       	                	                     	                     	                         	                        	F                     	                        	                    	                     	                   	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 13	H	 2	  69.00	    115.5900	Muza     	Nannofossils                                 	F              	P                 	                               	F                    	                        	                	                     	                     	                         	                        	                      	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 13	H	 3	  15.00	    116.5500	Muza     	Nannofossils                                 	C              	P                 	                               	C                    	C                       	                	                     	                     	                         	                        	F                     	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 13	H	 3	  74.00	    117.1400	Muza     	Nannofossils                                 	A              	P                 	                               	A                    	A                       	F               	                     	                     	F                        	                        	                      	F                       	                    	F                    	A                  	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 13	H	 4	  16.00	    118.0600	Muza     	Nannofossils                                 	A              	P                 	                               	A                    	A                       	F               	                     	F                    	C                        	C                       	                      	                        	                    	C                    	                   	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 13	H	 4	  67.00	    118.5700	Muza     	Nannofossils                                 	F              	P                 	C                              	                     	C                       	F               	                     	                     	                         	                        	F                     	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 13	H	 6	  15.00	    121.0500	Muza     	Nannofossils                                 	F              	P                 	F                              	                     	F                       	                	                     	                     	                         	                        	R                     	                        	                    	                     	                   	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 13	H	 7	  14.00	    122.5400	Muza     	Nannofossils                                 	A              	P                 	C                              	A                    	A                       	F               	                     	R                    	C                        	F                       	F                     	                        	                    	C                    	                   	                      	C                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 13	H	 7	  70.00	    123.1000	Muza     	Nannofossils                                 	V              	P                 	                               	V                    	V                       	                	                     	                     	C                        	                        	                      	F                       	C                   	V                    	                   	                      	                       	C                        	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 14	H	 1	   4.00	    123.1400	Muza     	Nannofossils                                 	A              	P                 	                               	A                    	A                       	                	                     	                     	A                        	C                       	A                     	C                       	                    	C                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 14	H	 2	   4.00	    123.5500	Muza     	Nannofossils                                 	A              	P                 	                               	C                    	A                       	                	                     	                     	A                        	                        	F                     	F                       	                    	C                    	                   	                      	C                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 14	H	 2	  69.00	    124.2000	Muza     	Nannofossils                                 	A              	P                 	                               	C                    	A                       	                	                     	                     	V                        	                        	A                     	F                       	                    	C                    	                   	                      	C                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 14	H	 3	  13.00	    125.1400	Muza     	Nannofossils                                 	A              	P                 	                               	                     	A                       	F               	                     	                     	V                        	                        	A                     	F                       	                    	A                    	                   	                      	C                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 14	H	 3	  70.00	    125.7100	Muza     	Nannofossils                                 	C              	P                 	C                              	                     	                        	                	                     	                     	C                        	                        	C                     	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 14	H	 4	  71.00	    127.2200	Muza     	Nannofossils                                 	C              	P                 	C                              	C                    	C                       	                	                     	                     	A                        	                        	                      	                        	                    	C                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 14	H	 5	   4.00	    128.0500	Muza     	Nannofossils                                 	C              	P                 	C                              	C                    	C                       	                	                     	                     	C                        	                        	R                     	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 14	H	 5	  70.00	    128.7100	Muza     	Nannofossils                                 	F              	P                 	F                              	F                    	                        	                	                     	                     	C                        	                        	R                     	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 14	H	 6	  70.00	    130.2100	Muza     	Nannofossils                                 	V              	P                 	                               	C                    	A                       	                	C                    	                     	V                        	A                       	A                     	C                       	                    	A                    	                   	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 14	H	 7	   4.00	    131.0500	Muza     	Nannofossils                                 	V              	P                 	                               	C                    	A                       	                	C                    	                     	V                        	A                       	C                     	                        	                    	A                    	                   	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 14	H	 7	  71.00	    131.7200	Muza     	Nannofossils                                 	V              	P                 	                               	C                    	A                       	                	C                    	                     	V                        	A                       	C                     	                        	                    	A                    	                   	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 14	H	 8	   4.00	    132.5500	Muza     	Nannofossils                                 	C              	P                 	A                              	C                    	                        	                	                     	                     	C                        	                        	F                     	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 15	H	 1	   4.00	    132.8400	Muza     	Nannofossils                                 	F              	P                 	C                              	                     	                        	                	R                    	                     	F                        	                        	                      	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 15	H	 2	   2.00	    134.2200	Muza     	Nannofossils                                 	C              	P                 	A                              	C                    	                        	                	F                    	                     	                         	                        	C                     	                        	                    	C                    	C                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 15	H	 2	  67.00	    134.8700	Muza     	Nannofossils                                 	A              	P                 	A                              	C                    	                        	C               	                     	                     	A                        	C                       	F                     	                        	                    	C                    	A                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 15	H	 3	   2.00	    135.7200	Muza     	Nannofossils                                 	A              	P                 	A                              	A                    	                        	                	                     	                     	C                        	C                       	C                     	                        	                    	C                    	C                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 15	H	 3	  67.00	    136.3700	Muza     	Nannofossils                                 	C              	P                 	A                              	C                    	                        	C               	                     	                     	C                        	F                       	                      	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 15	H	 4	   2.00	    137.2200	Muza     	Nannofossils                                 	C              	P                 	C                              	C                    	                        	                	                     	                     	                         	                        	C                     	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 15	H	 5	   2.00	    138.7200	Muza     	Nannofossils                                 	F              	P                 	F                              	F                    	                        	                	                     	                     	F                        	                        	F                     	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 15	H	 5	  67.00	    139.3700	Muza     	Nannofossils                                 	F              	P                 	C                              	C                    	                        	                	                     	                     	F                        	                        	                      	                        	                    	R                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 15	H	 6	   2.00	    140.2200	Muza     	Nannofossils                                 	F              	P                 	F                              	                     	                        	                	                     	                     	F                        	                        	                      	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 15	H	 6	  67.00	    140.8700	Muza     	Nannofossils                                 	V              	P                 	                               	A                    	A                       	                	F                    	                     	V                        	A                       	C                     	C                       	A                   	C                    	A                  	C                     	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 15	H	 7	   2.00	    141.7200	Muza     	Nannofossils                                 	V              	P                 	C                              	A                    	A                       	C               	F                    	                     	V                        	A                       	A                     	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 15	H	 7	  68.00	    142.3800	Muza     	Nannofossils                                 	A              	P                 	C                              	A                    	A                       	C               	F                    	F                    	A                        	A                       	A                     	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 15	H	 8	   2.00	    143.2200	Muza     	Nannofossils                                 	C              	P                 	C                              	C                    	                        	                	                     	                     	                         	                        	                      	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

