Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylacontarium acquilonium,Axoprunum angelinum,Comment
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,B,  8,H,CC,  15.00,     69.9100,rads     ,Radiolarians                                 ,R              ,M                 ,                          ,+                  ,       
,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,B, 11,H,CC,  12.00,     98.7100,rads     ,Radiolarians                                 ,R              ,M                 ,+                         ,                   ,       
,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,B, 12,H,CC,   7.00,    108.4100,rads     ,Radiolarians                                 ,F              ,M                 ,+                         ,                   ,       
,,,,,,,,,,,,,,,,,,,
