Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sp. A,Sphenolithus neoabies,Sphenolithus abies,Rhabdosphaera clavigera,Reticulofenestra minutula,Reticulofenestra haqii,Pontosphaera multipora,Neosphaera coccolithomorpha,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera carteri,Florisphaera profunda,Discoaster variabilis,Discoaster surculus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster intercalaris,Discoaster challengeri,Discoaster brouweri,Discoaster berggrenii,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Amaurolithus tricorniculatus,Triquetrorhabdulus rugosus,Triquetrorhabdulus farnsworthii,Reticulofenestra producta,Reticulofenestra gelida,Discoaster triradiatus,Schyphosphaera sp.,Reticulofenestra perplexa,Reticulofenestra minuta,Ericsonia formosa,Discoaster asymmetricus,Cyclicargolithus floridanus,Ceratolithus rugosus,Reticulofenestra pseudoumbilica,Ceratolithus armatus,Ceratolithus acutus,Amaurolithus primus,Amaurolithus delicatus,Syracosphaera spp.,Reticulofenestra umbilica,Pontosphaera spp.,Pontosphaera japonica,Ceratolithus separatus,Ceratolithus spp.,Reticulofenestra bisecta,Micula decussata,Helicosphaera sellii,Calciosolenia murrayi,Pseudoemiliania cf. P. lacunosa,Discoaster blackstockae,Braarudosphaera bigelowii,Pseudoemiliania lacunosa,Oolithotus fragilis,Umbilicosphaera sibogae var. foliosa,Reticulofenestra asanoi,Gephyrocapsa spp. medium,Gephyrocapsa spp. (small),Ceratolithus cristatus,Pontosphaera discopora,Gephyrocapsa oceanica ss,Gephyrocapsa caribbeanica,Umbilicosphaera sibogae var. sibogae,Gephyrocapsa margerelii/muellerae,Umbilicosphaera hulburtiana,Umbellosphaera irregularis,Helicosphaera pavimentum,Tetralithoides quadrilaminata,Reinhardtites anthophorus,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN15              ,              ,164, 991,A,  1,H, 1,   0.00,      0.0000,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                  ,R                      ,                         ,                      ,                      ,R                          ,                        ,                       ,C                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,F                    ,                      ,F                     ,                            ,                          ,                               ,                         ,                       ,                      ,                  ,                         ,A                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,C                 ,                         ,                 ,R                    ,                      ,                 ,                        ,                ,                    ,F                    ,                               ,                       ,                         ,                        ,                   ,F                                   ,                       ,F                       ,                         ,R                     ,                      ,C                       ,                         ,F                                   ,                                 ,                           ,R                         ,R                       ,                             ,                         ,D                ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN15              ,              ,164, 991,A,  1,H, 2,  50.00,      2.0000,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                  ,R                      ,                         ,                      ,R                     ,R                          ,                        ,                       ,F                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,F                    ,                      ,F                     ,                            ,                          ,                               ,F                        ,                       ,                      ,                  ,                         ,A                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,C                 ,                         ,                 ,R                    ,                      ,                 ,                        ,                ,                    ,F                    ,                               ,                       ,R                        ,                        ,                   ,R                                   ,                       ,F                       ,C                        ,                      ,                      ,C                       ,                         ,F                                   ,C                                ,R                          ,R                         ,R                       ,                             ,                         ,A                ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN14b             ,              ,164, 991,A,  1,H, 3,  64.00,      3.6400,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                  ,R                      ,                         ,                      ,                      ,R                          ,                        ,                       ,F                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,R                    ,                      ,F                     ,                            ,                          ,                               ,                         ,                       ,                      ,                  ,                         ,C                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,F                 ,                         ,                 ,R                    ,                      ,                 ,                        ,                ,                    ,F                    ,                               ,                       ,                         ,                        ,R                  ,F                                   ,                       ,F                       ,A                        ,                      ,R                     ,C                       ,R                        ,F                                   ,C                                ,R                          ,R                         ,R                       ,                             ,rR                       ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN14b             ,              ,164, 991,A,  1,H, 4,  80.00,      5.3000,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                  ,F                      ,                         ,                      ,                      ,R                          ,                        ,                       ,F                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,R                    ,                      ,F                     ,                            ,                          ,                               ,R                        ,                       ,                      ,                  ,                         ,C                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,F                 ,                         ,                 ,R                    ,                      ,                 ,                        ,                ,                    ,R                    ,                               ,                       ,                         ,                        ,                   ,F                                   ,                       ,F                       ,D                        ,R                     ,                      ,C                       ,                         ,F                                   ,C                                ,                           ,                          ,                        ,R                            ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
