Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pseudoemiliania lacunosa	Helicosphaera wallichii	Helicosphaera sellii	Gephyrocapsa spp. (small)	Gephyrocapsa spp. (large)	Gephyrocapsa sp. medium	Coccolithus pelagicus	Ceratolithus cristatus	Calcidiscus leptoporus	Helicosphaera carteri	Reticulofenestra asanoi	Florisphaera profunda	Gephyrocapsa omega	Braarudosphaera bigelowii	Pontosphaera spp.	Helicosphaera inversa	Emiliania huxleyi	Ceratolithus telesmus	Gephyrocapsa spp. medium	Comment



  IR	                 	Holocene         	                  	              	172	1058	A	  1	H	CC	  13.00	      9.8200	Raffi    	Nannofossils                                 	A              	G                 	-                       	+                      	                    	+                        	                         	+                      	                     	+                     	+                     	                     	                       	                     	                  	                         	                 	                     	A                	+                    	                        	Many fragments of Diatoms - Terrigenous input

  IR	                 	Pleistocene      	                  	              	172	1058	A	  2	H	CC	  10.00	     19.2100	Raffi    	Nannofossils                                 	A              	G                 	-                       	+                      	                    	A                        	                         	+                      	A                    	+                     	+                     	                     	                       	+                    	                  	                         	                 	+                    	C                	+                    	                        	Diatoms fragments - terrigenous input

  IR	                 	Pleistocene      	                  	              	172	1058	A	  3	H	CC	  18.00	     28.8200	Raffi    	Nannofossils                                 	C              	G                 	-                       	+                      	                    	A                        	                         	A                      	C                    	+                     	+                     	+                    	                       	+                    	                  	                         	                 	+                    	C                	+                    	                        	Terrigenous input and Diatoms

  IR	                 	Pleistocene      	                  	              	172	1058	A	  4	H	CC	  16.00	     38.4100	Raffi    	Nannofossils                                 	C              	G                 	-                       	+                      	                    	C                        	                         	C                      	                     	+                     	+                     	                     	                       	                     	                  	                         	+                	+                    	-                	                     	                        	Diatom fragments and terrigenous input

  IR	                 	Pleistocene      	                  	              	172	1058	A	  5	H	CC	  23.00	     48.0700	Raffi    	Nannofossils                                 	C              	M                 	-                       	+                      	                    	+                        	                         	+                      	+                    	+                     	+                     	+                    	                       	+                    	                  	                         	                 	F                    	-                	                     	                        	Terrigenous input - reworked forms from Pliocene

  IR	                 	Pleistocene      	                  	              	172	1058	A	  6	H	 3	  67.00	     51.1700	Raffi    	Nannofossils                                 	A              	G                 	-                       	+                      	                    	D                        	                         	                       	                     	+                     	+                     	                     	                       	                     	                  	                         	                 	C                    	                 	                     	A                       	Gephyrocapsid (3-4 microns) Bloom

  IR	                 	Pleistocene      	                  	              	172	1058	A	  6	H	 4	  67.00	     52.6700	Raffi    	Nannofossils                                 	A              	G                 	-                       	+                      	                    	A                        	                         	                       	+                    	+                     	+                     	                     	                       	                     	R                 	                         	                 	F                    	                 	                     	A                       	       

  IR	                 	Pleistocene      	                  	              	172	1058	A	  6	H	 4	 115.00	     53.1500	Raffi    	Nannofossils                                 	A              	G                 	-                       	C                      	                    	A                        	                         	                       	                     	+                     	+                     	F                    	                       	                     	                  	                         	                 	F                    	                 	                     	A                       	Average size of gphyrocapsids: 3.5-4.5 microns

