name,workbook_tab_name,data_source_notes
317,lithology,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
318,**these are a mess**,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
320,lithology,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
321,**these are a mess**,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
323,lithology & constituents,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
324,lithology & constituents,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
327,lithology2,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
329,lithology2,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
330,lithology & constituents,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
334,lithology & constituents,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
336,general,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
339,general,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
340,general,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
341,general,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
342,general,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
344,,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
346,general,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
349,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
350,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
351,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
352,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
353,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
354,,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
355,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
356,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
359,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
361,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
362,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
363,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
366,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
367,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
368,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
369,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
371,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
372,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
374,general,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
375,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
376,volcaniclastic_sedimentary,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
