Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Hyperammina sp,Eponides sp 2,Nodosaria filiformis,Eponides sp1,Cyclammina incisa,Comment
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,C,  2,R, 1,  36.00,    673.3600,paleo    ,Benthic Foraminifers                         ,               ,                  ,R             ,             ,                    ,            ,R                ,       
,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,C,  2,R, 3,  86.00,    676.7200,paleo    ,Benthic Foraminifers                         ,               ,                  ,R             ,             ,                    ,            ,R                ,       
,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,C,  3,R,CC,   0.00,    690.7600,paleo    ,Benthic Foraminifers                         ,               ,                  ,              ,             ,R                   ,R           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,C,  4,R,CC,   0.00,    700.4600,paleo    ,Benthic Foraminifers                         ,               ,                  ,R             ,R            ,                    ,            ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,
