Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina hispidocostata,Loxostomum spp.,Cibicidoides spp.,Bolivina spp.,Tritaxa spp.,Sphaeroidina bulloides,Sigmoilina obesa,Planulina wuellerstorfi,Loxostomoides spp.,Bulimina marginata,Anomalinoides spp.,Globocassidulina subglobosa,Textularia spp.,Miliolids species,Bigenerina nodosaria,Nodosariid taxa,Elphidium spp.,Uvigerina spp.,Martinottiella communis,Hoeglundina elegans,Cancris auricula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B,  1,H,CC,   9.00,      6.7500,Holbourn ,Benthic Foraminifers                         ,A              ,G                 ,R                       ,F              ,F                ,             ,F           ,R                     ,F               ,                       ,F                 ,                  ,F                 ,                           ,C              ,C                ,F                   ,R              ,              ,R             ,R                      ,F                  ,R               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B,  2,H,CC,  12.00,     16.1900,Holbourn ,Benthic Foraminifers                         ,A              ,VG                ,R                       ,F              ,F                ,             ,R           ,                      ,F               ,                       ,F                 ,                  ,F                 ,R                          ,C              ,C                ,C                   ,R              ,              ,              ,                       ,F                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B,  3,H,CC,   0.00,     25.2200,Holbourn ,Benthic Foraminifers                         ,A              ,VG                ,R                       ,F              ,F                ,             ,R           ,R                     ,F               ,                       ,F                 ,R                 ,F                 ,                           ,C              ,                 ,C                   ,R              ,              ,R             ,                       ,R                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B,  4,H,CC,  35.00,     35.3500,Holbourn ,Benthic Foraminifers                         ,A              ,VG                ,F                       ,F              ,F                ,             ,F           ,R                     ,F               ,                       ,F                 ,                  ,F                 ,R                          ,C              ,                 ,C                   ,R              ,              ,              ,R                      ,F                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B,  5,H,CC,  17.00,     44.8000,Holbourn ,Benthic Foraminifers                         ,A              ,VG                ,F                       ,F              ,F                ,             ,R           ,F                     ,F               ,                       ,F                 ,R                 ,F                 ,                           ,C              ,                 ,C                   ,R              ,              ,R             ,R                      ,R                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
