Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina peregrina	Melonis pompilioides	Hoeglundina elegans	Globobulimina affinis	Fontbotia wuellerstorfi	Bulimina gr. costata	Pyrgo spp.	Bulimina marginata	Bolivinita quadrilatera	Valvulineria laevigata	Chilostomella oolina	Cassidulina carinata	Brizalina subaenariensis	Pullenia bulloides	Elphidium spp.	Bolivina pseudopunctata	Nonionella atlantica	Melonis barleeanus	Lagena spp.	Comment



  IR	                 	                 	                  	              	172	1059	A	  1	H	CC	  12.00	      3.8200	Poli     	Benthic Foraminifers                         	F              	M                 	                   	                    	                   	C                    	                       	                    	          	T                 	                       	R                     	C                   	T                   	                        	R                 	              	                       	T                   	T                 	R          	       

  IR	                 	                 	                  	              	172	1059	A	  2	H	CC	  16.00	     13.6000	Poli     	Benthic Foraminifers                         	F              	M                 	R                  	                    	                   	C                    	                       	                    	          	                  	F                      	T                     	C                   	T                   	                        	                  	T             	R                      	T                   	T                 	T          	       

  IR	                 	                 	                  	              	172	1059	A	  3	H	CC	  32.00	     23.2900	Poli     	Benthic Foraminifers                         	F              	M                 	R                  	F                   	                   	C                    	                       	                    	          	                  	R                      	T                     	A                   	R                   	                        	                  	T             	T                      	                    	                  	           	       

  IR	                 	                 	                  	              	172	1059	A	  4	H	CC	  32.00	     33.0300	Poli     	Benthic Foraminifers                         	R              	P                 	+                  	+                   	                   	+                    	                       	                    	          	+                 	+                      	+                     	                    	                    	+                       	+                 	              	                       	                    	                  	           	       

  IR	                 	                 	                  	              	172	1059	A	  5	H	CC	  41.00	     42.6400	Poli     	Benthic Foraminifers                         	R              	M                 	+                  	+                   	                   	+                    	                       	                    	          	                  	+                      	+                     	                    	                    	+                       	                  	              	                       	                    	                  	           	       

  IR	                 	                 	                  	              	172	1059	A	  6	H	CC	  30.00	     52.0100	Poli     	Benthic Foraminifers                         	F              	M                 	F                  	R                   	                   	C                    	                       	                    	          	F                 	F                      	T                     	C                   	T                   	                        	                  	              	                       	                    	                  	           	       

  IR	                 	                 	                  	              	172	1059	A	  7	H	CC	  29.00	     61.4900	Poli     	Benthic Foraminifers                         	F              	G                 	                   	F                   	                   	A                    	                       	                    	          	                  	                       	                      	                    	                    	                        	                  	              	                       	                    	                  	           	       

  IR	                 	                 	                  	              	172	1059	A	  8	H	CC	  32.00	     71.0000	Poli     	Benthic Foraminifers                         	F              	M                 	F                  	                    	                   	C                    	                       	                    	          	                  	C                      	                      	                    	                    	                        	                  	              	                       	                    	                  	           	       

  IR	                 	                 	                  	              	172	1059	A	  9	H	CC	  23.00	     80.4300	Poli     	Benthic Foraminifers                         	F              	M                 	R                  	F                   	                   	F                    	C                      	T                   	          	                  	                       	                      	                    	                    	                        	                  	              	                       	                    	                  	           	       

  IR	                 	                 	                  	              	172	1059	A	 10	H	CC	  32.00	     89.9200	Poli     	Benthic Foraminifers                         	F              	M                 	R                  	R                   	                   	C                    	                       	                    	C         	F                 	F                      	                      	                    	                    	                        	                  	              	                       	                    	                  	           	       

  IR	                 	                 	                  	              	172	1059	A	 11	H	CC	  27.00	     99.4300	Poli     	Benthic Foraminifers                         	F              	M                 	F                  	R                   	T                  	C                    	C                      	F                   	          	                  	                       	                      	                    	                    	                        	                  	              	                       	                    	                  	           	       

