Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia truncatulinoides (sin.)	Truncorotalia truncatulinoides (dex.)	Truncorotalia crassaformis	Pulleniatina obliquiloculata	Globoconella inflata	Sphaeroidinella dehiscens	Neogloboquadrina pachyderma	Menardella menardii (sinistral)	Truncorotalia crassaformis hessi	Menardella menardii (dextral)	Globoturborotalita rubescens	Globorotalia tumida	Globigerinella calida	Globigerina falconensis	Globigerina bulloides	Globigerina bermudezi	Hastigerina pelagica	Globorotalia tumida flexuosa	Hirsutella hirsuta	Comment



  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  1	H	CC	  12.00	      3.8200	Chaisson 	Planktonic Foraminifers                      	C              	VG                	R                                    	R                                    	R                         	-                           	F                   	-                        	R                          	-                              	                                	-                            	R                           	-                  	                     	-                      	R                    	R                    	R                   	                            	-                 	rads, pteropods and ostracods reddish mud before sample washed LGM

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  2	H	 4	  69.00	      8.9900	Chaisson 	Planktonic Foraminifers                      	F              	G                 	                                     	+                                    	                          	                            	A                   	                         	                           	                               	                                	                             	                            	                   	                     	                       	                     	                     	                    	                            	                  	no flexuosa <0.068

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  2	H	CC	  16.00	     13.6000	Chaisson 	Planktonic Foraminifers                      	               	                  	R                                    	F                                    	-                         	-                           	F                   	-                        	-                          	-                              	                                	-                            	R                           	-                  	-                    	-                      	-                    	-                    	R                   	                            	-                 	sorted - many small forams silieous and aragontic fragments abundant

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  3	H	 4	  69.00	     18.4900	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                                    	A                                    	                          	                            	A                   	                         	                           	                               	                                	                             	                            	                   	                     	                       	+                    	                     	                    	                            	+                 	no flexuosa <0.068

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  3	H	 6	  69.00	     21.4900	Chaisson 	Planktonic Foraminifers                      	R              	                  	+                                    	                                     	                          	                            	A                   	                         	                           	                               	                                	                             	                            	                   	                     	                       	                     	                     	                    	                            	                  	almost no foram

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  3	H	CC	  32.00	     23.2900	Chaisson 	Planktonic Foraminifers                      	A              	VG                	R                                    	-                                    	-                         	-                           	F                   	-                        	R                          	-                              	                                	-                            	-                           	-                  	+                    	-                      	-                    	+                    	-                   	                            	-                 	size sorted - many small forams

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  4	H	 1	  70.00	     23.5000	Chaisson 	Planktonic Foraminifers                      	R              	G                 	+                                    	                                     	                          	                            	+                   	                         	                           	                               	                                	                             	                            	                   	                     	                       	                     	                     	                    	                            	                  	no flexuosa no menardiids

