Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group	Group Abundance	Group Preservation	Triceraspyris coronata	Triceraspyris antarctica	Theocorythium vetulum	Stylodictya sp.	Stylatractus sp.	Spongotrochus glacialis	Spongoplegma antarcticum	Spongodiscus sp.	Spongodiscus osculosus	Pterocanium sp.	Phorticium clevei	Lithelius nautiloides	Larcopyle sp.	Hexacontium sp.	Cycladophora sp.	Carpocanistrum sp.	Botryostrobus aquilonaris	Antarctissa strelkovi	Antarctissa longa	Antarctissa denticulata	Actinomma sp.	Actinomma popofskii	Comment
																																							
																																							
IR					181	1120	A	1	H	1	4.00	0.0400	rads	Radiolarians	R	M					T		R														R		
																																							
IR					181	1120	A	1	H	1	54.00	0.5400	rads	Radiolarians	T	G							R																
																																							
IR					181	1120	A	1	H	CC	8.00	4.5000	rads	Radiolarians	C	G	R	R	T	R	T	R	F	A	T	R	F	A	A	R	T	R	T	A	F	C	R	F	
																																							
