Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tritaxa spp.	Rosalina spp.	Patellina corrugata	Miliolids species	Loxostomum spp.	Loxostomoides spp.	Hoeglundina elegans	Cibicidoides spp.	Textularia spp.	Sphaeroidina bulloides	Bigenerina nodosaria	Uvigerina spp.	Bulimina marginata	Sigmoilina obesa	Martinottiella communis	Elphidium spp.	Comment



  IR	                 	                 	                  	              	182	1131	A	  1	H	CC	  16.00	      3.3600	Holbourn 	Benthic Foraminifers                         	C              	G                 	R           	C            	F                  	C                	F              	R                 	R                  	F                	F              	R                     	R                   	              	R                 	                	                       	R             	       

  IR	                 	                 	                  	              	182	1131	A	  2	H	CC	  12.00	     11.9100	Holbourn 	Benthic Foraminifers                         	C              	G                 	R           	             	                   	F                	F              	F                 	F                  	F                	C              	R                     	F                   	R             	                  	F               	                       	              	abundant, well preserved bryozoans

  IR	                 	                 	                  	              	182	1131	A	  3	H	CC	  10.00	     22.4300	Holbourn 	Benthic Foraminifers                         	C              	G                 	            	             	                   	F                	F              	F                 	F                  	F                	C              	F                     	F                   	              	                  	F               	R                      	              	abundant, well preserved bryozoans

  IR	                 	                 	                  	              	182	1131	A	  4	H	CC	   0.00	     32.0600	Holbourn 	Benthic Foraminifers                         	C              	G                 	            	C            	F                  	F                	R              	R                 	R                  	F                	R              	R                     	R                   	R             	R                 	R               	                       	              	       

  IR	                 	                 	                  	              	182	1131	A	  5	H	CC	  14.00	     40.4900	Holbourn 	Benthic Foraminifers                         	C              	G                 	            	C            	F                  	F                	R              	F                 	R                  	F                	F              	R                     	                    	              	                  	                	                       	              	       

  IR	                 	                 	                  	              	182	1131	A	  6	H	CC	  15.00	     51.1900	Holbourn 	Benthic Foraminifers                         	C              	G                 	R           	C            	R                  	F                	F              	R                 	F                  	F                	R              	R                     	R                   	R             	R                 	                	                       	              	       

  IR	                 	                 	                  	              	182	1131	A	  7	H	CC	   0.00	     59.6800	Holbourn 	Benthic Foraminifers                         	C              	G                 	            	C            	F                  	F                	F              	F                 	F                  	F                	R              	R                     	R                   	              	                  	                	                       	              	       

  IR	                 	                 	                  	              	182	1131	A	 11	X	CC	  17.00	     93.9800	Holbourn 	Benthic Foraminifers                         	F              	M                 	R           	F            	R                  	R                	R              	R                 	F                  	F                	               	                      	                    	              	                  	                	                       	              	       

