Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Eucyrtidium calvertense,Didymocyrtis antepenultima,Diartus petterssoni,Stichocorys peregrina,Stichocorys delmontensis,Sphaeropyle robusta,Saturnalis circularis,Didymocyrtis penultima,Theocorythium vetulum,Stylacontarium acquilonium,Amphirhopalum ypsilon,Lamprocyrtis heteroporos,Stylatractus universus,Didymocyrtis tetrathalamus tetrathalamus,Eucyrtidium matuyamai,Botryostrobus aquilonaris,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,E. matuyamai (N Pac),E. matuyamai (N Pac),191,1179,C,  2,H,CC,  22.00,     58.7700,rads     ,Radiolarians                                 ,F              ,G                 ,                       ,                          ,                   ,                     ,                        ,                   ,                     ,                      ,                     ,                          ,                     ,                        ,                      ,                                        ,F                    ,F                        ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,L. heteroporos    ,L. heteroporos,,191,1179,C,  3,H,CC,  11.00,     67.8100,rads     ,Radiolarians                                 ,C              ,G                 ,C                      ,                          ,                   ,                     ,                        ,                   ,C                    ,                      ,C                    ,                          ,                     ,                        ,F                     ,                                        ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,L. heteroporos    ,L. heteroporos,,191,1179,C,  4,H,CC,  23.00,     77.8600,rads     ,Radiolarians                                 ,C              ,G                 ,                       ,                          ,                   ,                     ,                        ,                   ,                     ,                      ,C                    ,                          ,                     ,C                       ,                      ,F                                       ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,L. heteroporos    ,L. heteroporos,,191,1179,C,  5,H,CC,  10.00,     87.0300,rads     ,Radiolarians                                 ,F              ,G                 ,C                      ,                          ,                   ,                     ,                        ,                   ,                     ,                      ,C                    ,                          ,                     ,C                       ,                      ,F                                       ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,L. heteroporos    ,L. heteroporos,,191,1179,C,  6,H,CC,  40.00,     96.8300,rads     ,Radiolarians                                 ,A              ,G                 ,                       ,                          ,                   ,                     ,                        ,                   ,                     ,                      ,                     ,F                         ,                     ,C                       ,F                     ,                                        ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,L. heteroporos    ,L. heteroporos,,191,1179,C,  7,H,CC,   0.00,    105.8500,rads     ,Radiolarians                                 ,C              ,G                 ,                       ,                          ,                   ,                     ,                        ,                   ,                     ,                      ,C                    ,F                         ,F                    ,C                       ,                      ,                                        ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
