Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spirosigmoilinella compressa,Pseudonodosaria sp.,Rhabdammina sp.,Comment
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,191,1179,C,  7,H,CC,   0.00,    105.8500,rads     ,Benthic Foraminifers                         ,               ,                  ,                            ,+                  ,               ,Many radiolaria and diatoms
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,191,1179,C,  9,H,CC,   0.00,    124.4800,rads     ,Benthic Foraminifers                         ,               ,                  ,                            ,                   ,+              ,"Color change, Many diatoms"
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,191,1179,C, 10,H,CC,  24.00,    134.5700,rads     ,Benthic Foraminifers                         ,               ,                  ,                            ,+                  ,               ,Many radiolaria + diatoms
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,191,1179,C, 12,H,CC,  25.00,    153.8700,rads     ,Benthic Foraminifers                         ,               ,                  ,                            ,                   ,+              ,radiolaria + diatoms not as good preserved anymore +fragments
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,191,1179,C, 14,H,CC,  26.00,    172.8700,rads     ,Benthic Foraminifers                         ,               ,                  ,                            ,                   ,+              ,Many radiolaria again wll preserved
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,191,1179,C, 15,H,CC,   0.00,    181.9400,rads     ,Benthic Foraminifers                         ,               ,                  ,+                           ,                   ,               ,Many radiolaria
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,191,1179,C, 17,H,CC,  18.00,    201.0800,rads     ,Benthic Foraminifers                         ,               ,                  ,+                           ,+                  ,               ,"                               -""-"
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,191,1179,C, 18,H,CC,  13.00,    210.7100,rads     ,Benthic Foraminifers                         ,               ,                  ,                            ,                   ,+              ,Small amount of radiolaria + fragments
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,191,1179,C, 19,H,CC,   0.00,    219.8800,rads     ,Benthic Foraminifers                         ,               ,                  ,+                           ,+                  ,               ,"Small amount of radiolaria, fishteeth and fragments. The largest number of aggl. 30 specimens/25cc"
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,191,1179,C, 20,H,CC,  18.00,    229.7200,rads     ,Benthic Foraminifers                         ,               ,                  ,+                           ,+                  ,               ,"Colour change, many radiolaria and bryozoa. Aggl.=23"
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,191,1179,C, 21,H,CC,   0.00,    238.9400,rads     ,Benthic Foraminifers                         ,               ,                  ,+                           ,+                  ,               ,radiolaria = bryozoabut most fragments
,,,,,,,,,,,,,,,,,,,,
