Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paragloborotalia nympha	Paragloborotalia nana	Paragloborotalia continuosa	Globoturborotalita woodi	Globoturborotalita decoraperta	Globorotalia praescitula	Globorotalia panda	Globorotalia miozea	Globigerinita uvula	Globigerinita glutinata	Globigerina bulloides	Paragloborotalia mayeri	Globorotalia miotumida	Globorotalia juanai	Globorotalia conoidea	Orbulina universa	Globoturborotalita apertura	Globorotalia scitula	Globorotalia conomiozea	Globorotalia challengeri	Neogloboquadrina pachyderma (sinistral)	Globorotalia sphericomiozea	Globorotalia puncticuloides	Globigerina falconensis	Globorotalia puncticulata	Globorotalia crassula	Globorotalia crassaformis	Globigerina umbilicata	Globorotalia crassaconica	Globigerinella obesa	Globigerinella aequilateralis	Globorotalia inflata	Globorotalia hirsuta	Globorotalia crassacarina	Comment



  IR	                 	                 	                  	SN14          	189	1171	B	  1	H	CC	   9.00	      4.2100	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                     	                           	                        	                              	                        	                  	                   	+                  	+                      	+                    	                       	                      	                   	                     	+                	                           	+                   	                       	                        	+                                      	                           	+                          	+                      	                         	+                    	+                        	+                     	+                        	                    	                             	+                   	                    	+                        	Some black stained specimens

  IR	                 	                 	                  	SN13          	189	1171	B	  2	H	CC	  15.00	     13.7900	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                     	                           	                        	                              	                        	                  	                   	+                  	+                      	+                    	                       	                      	                   	                     	+                	                           	+                   	                       	                        	+                                      	                           	+                          	+                      	+                        	+                    	+                        	                      	+                        	                    	                             	+                   	+                   	                         	       

  IR	                 	                 	                  	SN12b         	189	1171	B	  3	H	CC	  14.00	     23.1700	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                     	                           	                        	                              	                        	                  	                   	                   	+                      	+                    	                       	                      	                   	                     	+                	                           	+                   	                       	                        	+                                      	                           	+                          	+                      	+                        	+                    	+                        	                      	+                        	+                   	+                            	                    	                    	                         	       

  IR	                 	                 	                  	SN12b         	189	1171	B	  4	H	CC	  13.00	     32.1900	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                     	                           	                        	                              	                        	                  	                   	+                  	+                      	+                    	                       	                      	                   	                     	+                	                           	+                   	                       	                        	+                                      	                           	+                          	+                      	+                        	                     	+                        	+                     	                         	                    	                             	                    	                    	                         	Much fragmentation in -125um fraction

  IR	                 	                 	                  	SN12b         	189	1171	B	  5	H	CC	   4.00	     42.0300	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                     	                           	                        	                              	                        	                  	                   	+                  	+                      	+                    	                       	                      	                   	                     	+                	                           	+                   	                       	                        	+                                      	                           	+                          	+                      	+                        	                     	+                        	+                     	                         	                    	                             	                    	                    	                         	       

