Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Umbellosphaera irregularis,Thoracosphaera spp.,Syracosphaera pulchra,Scapholithus fossilis,Rhabdosphaera spp.,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Helicosphaera spp.,Helicosphaera inversa,Gephyrocapsa sp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Discolithina spp.,Coccolithus pelagicus,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B,  5,R,CC,   0.00,    425.7000,Firth    ,Nannofossils                                 ,A              ,G                 ,6                      ,0                         ,0                  ,3                    ,2                    ,2                 ,0                      ,0                       ,6                 ,0                    ,163                     ,42                   ,29                       ,28               ,0                ,0                    ,17                    ,Total count = 298; from ODP Leg 126 SR Chapter 16 Table 3 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B,  9,R,CC,  19.00,    463.7900,Firth    ,Nannofossils                                 ,A              ,G                 ,4                      ,1                         ,0                  ,5                    ,0                    ,1                 ,0                      ,0                       ,3                 ,0                    ,190                     ,51                   ,14                       ,16               ,1                ,1                    ,10                    ,Total count = 297; from ODP Leg 126 SR Chapter 16 Table 3 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 11,R,CC,  13.00,    483.0300,Firth    ,Nannofossils                                 ,C              ,G                 ,2                      ,1                         ,0                  ,0                    ,1                    ,0                 ,0                      ,2                       ,0                 ,0                    ,127                     ,82                   ,62                       ,3                ,1                ,0                    ,19                    ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 3 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 15,R,CC,  11.00,    521.7100,Firth    ,Nannofossils                                 ,A              ,G                 ,2                      ,0                         ,0                  ,0                    ,0                    ,0                 ,0                      ,0                       ,2                 ,0                    ,174                     ,79                   ,35                       ,0                ,0                ,0                    ,10                    ,Total count = 302; from ODP Leg 126 SR Chapter 16 Table 3 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 18,R,CC,   0.00,    551.1800,Firth    ,Nannofossils                                 ,A              ,G                 ,3                      ,0                         ,0                  ,0                    ,0                    ,0                 ,0                      ,0                       ,1                 ,0                    ,127                     ,59                   ,96                       ,0                ,0                ,0                    ,14                    ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 3 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
