Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina connecta,Sphenolithus heteromorphus,Cyclicargolithus abisectus,Braarudosphaera bigelowii,Zeaglobigerina woodi,Tenuitella minutissima,Zeaglobigerina druryi,Sphenolithus moriformis,Neogloboquadrina continuosa,Globigerinoides trilobus,Globigerinoides sicanus,Globigerinoides ruber,Globigerinoides quadrilobatus,Fohsella peripheroronda,Cyclicargolithus floridanus,Coronocyclus nitescens,Calcidiscus premacintyrei,Calcidiscus leptoporus,Tenuitellinata juvenilis,Pontosphaera pachymorpha,Neogloboquadrina nympha,Helicosphaera euphratis,Helicosphaera carteri,Globorotaloides suteri,Globoquadrina dehiscens,Praeorbulina glomerosa,Orbulina suturalis,Globorotalia conica,Discoaster deflandrei,Dictyococcites antarcticus,Coccolithus miopelagicus,Subbotina angiporoides,Sphenolithus abies,Reticulofenestra haqii,Micrantholithus pinguis,Helicosphaera perch-nielseniae,Globorotalia sp. cf. juanai,Globoconella conoidea,Globigerinita glutinata,Globigerina quinqueloba,Globigerina bulloides,Discoaster variabilis,Calcidiscus macintyrei,Globorotalia puncticulata,Syracosphaera pulchra,Scyphosphaera spp.,Orbulina universa,Neogloboquadrina pachyderma (dextral),Helicosphaera sellii,Helicosphaera kamptneri,Globorotalia tosaensis,Globorotalia inflata,Globorotalia crassaformis,Gephyrocapsa aperta,Pontosphaera japonica,Globorotalia crassula,Globigerina falconensis,Dictyococcites productus,Small Gephyrocapsa spp.,Globorotalia truncatulinoides,Globorotalia sp. cf. tosaensis,Gephyrocapsa caribbeanica,Coccolithus pelagicus,Pseudoemiliania lacunosa,Reticulofenestra minutula,Umbilicosphaera sibogae,Globigerinella siphonifera,Neogloboquadrina dutertrei,Zeaglobigerina rubescens,Gephyrocapsa oceanica,Reticulofenestra minuta,Dictyococcites sp.,Reticulofenestra asanoi,Globorotalia scitula,Globigerinella obesa,Scapholithus fossilis,Rhabdosphaera clavigera,Globorotalia ungulata,Tritaxa spp.,Rosalina spp.,Patellina corrugata,Miliolids species,Loxostomum spp.,Loxostomoides spp.,Hoeglundina elegans,Globorotalia tumida,Cibicidoides spp.,Globigerinoides tenellus,Textularia spp.,Sphaeroidina bulloides,Bigenerina nodosaria,Uvigerina spp.,Umbellosphaera irregularis,Helicosphaera hyalina,Bulimina marginata,Sigmoilina obesa,Globorotalia hirsuta,Martinottiella communis,Helicosphaera inversa,Gephyrocapsa omega,Emiliania huxleyi,Helicosphaera wallichii,Elphidium spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1131,A,  1,H,CC,  16.00,      3.3600,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,                       ,                          ,                          ,F                        ,                    ,                      ,                     ,                       ,                           ,                        ,                       ,P                    ,                             ,                       ,                           ,                      ,                         ,F                     ,                        ,                        ,                       ,                       ,R                    ,                      ,                       ,                      ,                  ,                   ,                     ,                          ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,                       ,F                      ,P                    ,                     ,                      ,                         ,                     ,                  ,P                ,P                                    ,                    ,                       ,                      ,A                   ,                         ,                   ,                     ,                     ,F                      ,                        ,                       ,P                            ,                              ,C                        ,F                    ,                        ,                         ,                       ,                          ,                          ,                        ,C                    ,                       ,                  ,                       ,                    ,                    ,                     ,R                      ,                     ,R           ,C            ,F                  ,C                ,F              ,R                 ,R                  ,                   ,F                ,                        ,F              ,R                     ,R                   ,              ,                          ,C                    ,R                 ,                ,                    ,                       ,                     ,F                 ,                 ,R                      ,R             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1131,A,  2,H,CC,  12.00,     11.9100,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,                       ,                          ,                          ,F                        ,                    ,                      ,                     ,                       ,                           ,                        ,                       ,P                    ,                             ,                       ,                           ,                      ,                         ,F                     ,                        ,                        ,                       ,                       ,                     ,                      ,                       ,                      ,                  ,                   ,                     ,                          ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,P                      ,F                      ,P                    ,                     ,                      ,                         ,                     ,                  ,P                ,P                                    ,                    ,                       ,                      ,A                   ,                         ,C                  ,                     ,                     ,F                      ,                        ,A                      ,P                            ,                              ,C                        ,                     ,                        ,                         ,F                      ,                          ,                          ,                        ,C                    ,                       ,                  ,                       ,                    ,                    ,                     ,R                      ,                     ,R           ,             ,                   ,F                ,F              ,F                 ,F                  ,                   ,F                ,                        ,C              ,R                     ,F                   ,R             ,                          ,C                    ,                  ,F               ,P                   ,                       ,R                    ,R                 ,C                ,                       ,              ,"abundant, well preserved bryozoans"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1131,A,  3,H,CC,  10.00,     22.4300,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,                       ,                          ,                          ,F                        ,                    ,                      ,                     ,                       ,                           ,                        ,                       ,P                    ,                             ,                       ,                           ,                      ,                         ,C                     ,                        ,                        ,                       ,                       ,C                    ,                      ,                       ,                      ,                  ,                   ,                     ,                          ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,P                      ,F                      ,F                    ,                     ,                      ,                         ,                     ,                  ,P                ,P                                    ,                    ,                       ,                      ,F                   ,                         ,                   ,F                    ,                     ,F                      ,                        ,C                      ,F                            ,                              ,F                        ,R                    ,                        ,                         ,                       ,                          ,                          ,                        ,F                    ,                       ,                  ,                       ,                    ,                    ,                     ,R                      ,                     ,            ,             ,                   ,F                ,F              ,F                 ,F                  ,                   ,F                ,P                       ,C              ,F                     ,F                   ,              ,                          ,                     ,                  ,F               ,                    ,R                      ,                     ,                  ,                 ,                       ,              ,"abundant, well preserved bryozoans"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1131,A,  4,H,CC,   0.00,     32.0600,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,                       ,                          ,                          ,F                        ,                    ,                      ,                     ,                       ,                           ,                        ,                       ,P                    ,                             ,                       ,                           ,                      ,                         ,C                     ,                        ,                        ,                       ,                       ,C                    ,                      ,                       ,                      ,                  ,                   ,                     ,                          ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,P                      ,F                      ,P                    ,                     ,                      ,                         ,                     ,                  ,P                ,P                                    ,                    ,                       ,                      ,A                   ,                         ,                   ,                     ,                     ,F                      ,F                       ,                       ,F                            ,                              ,C                        ,F                    ,                        ,                         ,                       ,                          ,                          ,                        ,                     ,                       ,                  ,                       ,P                   ,                    ,                     ,                       ,                     ,            ,C            ,F                  ,F                ,R              ,R                 ,R                  ,                   ,F                ,P                       ,R              ,R                     ,R                   ,R             ,                          ,                     ,R                 ,R               ,P                   ,                       ,                     ,                  ,                 ,                       ,              ,       
