Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cibicidoides voltziana,Stilostomella pseudoscripta,Reussella cf. pseudospinulosa,Praebulimina cushmani,Loxostomum eleyi,Gaudryina pyramidata,Epistomina caracolla,Cibicides spp.,Cassidulina subtumida,Bolivina spp.,Bolivina sp. 1,Aragonia velascoensis,Aragonia ouezzanensis,Pullenia minuta,Pleurostomella cf. alternans,Planulina wuellerstorfi,Orthomorphina aff. antillea,Gyroidinoides beisseli,Globorotalites michelinianus,Dentalina sp.,Cibicides ribbingi,Rhizammina sp. 1,Dendrophrya latissima/excelsa,Trochammina depressa,Subreophax scalaris,Plectorecurvoides rotundus,Paratrochamminoides corpulentus,Haplophragmoides sp.,Haplophragmoides herbichi,Saccammina sphaerica,Praecystammina globigeriniformis,Paratrochamminoides intricatus,Hyperammina dilatata,Hormosina ovulum,Hormosina crassa,Haplophragmoides biumbilicalis,Glomospira charoides,Lenticulina spp.,Angulogerina angulosa,Stilostomella sp. 1,Rotalia tectoria,Pararotalia armata,Lepidocyclina sumatrensis,Lenticulina sp. 1,Heterostegina borneensis,Asterigerina tentoria,Asterigerina marshallana,Amphistegina hauerina,Oridorsalis umbonatus,Stilostomella lepidula,Orthomorphina cf. columnaris,Gyroidinoides cf. praeglobosus,Bulimina tuxpamensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 27,R, 1,  22.00,    235.3200,Wightman ,Benthic Foraminifers                         ,               ,                  ,C                     ,                           ,                             ,                     ,R               ,                    ,                    ,              ,                     ,F            ,C             ,                     ,                     ,               ,R                           ,                       ,F                          ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,F                    ,                   ,F               ,                  ,R                        ,                 ,R                       ,                     ,C                       ,R                    ,                     ,                      ,                            ,                              ,R                   ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 27,R, 1, 124.00,    236.3400,Wightman ,Benthic Foraminifers                         ,               ,                  ,F                     ,                           ,                             ,                     ,R               ,                    ,                    ,              ,                     ,R            ,C             ,                     ,                     ,               ,                            ,                       ,F                          ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,R                    ,                   ,F               ,F                 ,R                        ,R                ,R                       ,                     ,C                       ,R                    ,F                    ,R                     ,F                           ,R                             ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 27,R, 2,  29.00,    236.8900,Wightman ,Benthic Foraminifers                         ,               ,                  ,                      ,                           ,                             ,                     ,                ,                    ,                    ,              ,                     ,F            ,              ,                     ,                     ,               ,                            ,                       ,R                          ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,A               ,                  ,C                        ,                 ,F                       ,                     ,C                       ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 27,R, 2,  60.00,    237.2000,Wightman ,Benthic Foraminifers                         ,               ,                  ,F                     ,                           ,                             ,                     ,                ,                    ,                    ,              ,                     ,             ,R             ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,R                    ,                   ,A               ,F                 ,F                        ,                 ,                        ,                     ,A                       ,                     ,R                    ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
