Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Nonionella labradorica,Cassidulina laevigata carinata,Stainforthia complanata,Rutherfordoides sp. A,Buliminella elegantissima,Uvigerina senticosa,Uvigerina dirupta,Triloculina sp. A,Textularia sp. A,Globobulimina affinis,Cibicides wuellerstorfi,Cibicides kullenbergi,Chilostomella oolina,Bolivina aliformis,Sphaeroidina bulloides,Pullenia salisburyi,Nonion spp.,Melonis pompilioides,Lagenid taxa,Gyroidina spp.,Globocassidulina spp.,Globobulimina ovula,Elphidium spp.,Bolivina seminuda,Bolivina pacifica,Uvigerina spp.,Melonis barleeanus,Nonionella spp.,Eggerella spp.,Agglutinated spp. (indeterminate),Rosalina sp. A,Pyrgo murrhina,Pullenia bulloides,Nodosariidae (taxa),Globobulimina pacifica,Eggerella bradyi,Buliminella tenuata,Gyroidina sp. A,Bulimina barbata,Valvulineria spp.,Hoeglundina elegans,Hormosina sp. A,Ammodiscus sp. A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,A,  1,H, 1,   0.00,      0.0000,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,                      ,                              ,                       ,                     ,                         ,+                  ,+                ,                 ,                ,+                    ,+                      ,                     ,+                   ,+                 ,+                     ,+                  ,           ,+                   ,+           ,              ,                     ,+                  ,              ,+                ,                 ,              ,                  ,               ,              ,+                                ,              ,              ,+                 ,                   ,+                     ,+               ,                   ,+              ,                ,                 ,                   ,+              ,+               ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,A,  1,H,CC,  15.00,      2.3100,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,                      ,                              ,+                      ,                     ,                         ,+                  ,                 ,+                ,                ,+                    ,+                      ,+                    ,+                   ,+                 ,                      ,                   ,           ,                    ,            ,              ,+                    ,+                  ,              ,                 ,                 ,              ,                  ,               ,              ,                                 ,              ,              ,                  ,                   ,+                     ,                ,                   ,+              ,                ,+                ,+                  ,               ,                ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,A,  2,H,CC,  29.00,     12.2800,Brunner  ,Benthic Foraminifers                         ,A              ,P                 ,+                     ,                              ,                       ,                     ,                         ,+                  ,                 ,                 ,                ,+                    ,+                      ,                     ,                    ,+                 ,                      ,+                  ,           ,+                   ,+           ,              ,                     ,                   ,              ,                 ,                 ,              ,                  ,               ,              ,                                 ,              ,              ,                  ,+                  ,                      ,                ,                   ,+              ,+               ,                 ,                   ,               ,                ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,A,  3,H,CC,  25.00,     21.5700,Brunner  ,Benthic Foraminifers                         ,A              ,P                 ,                      ,                              ,+                      ,                     ,                         ,+                  ,                 ,+                ,                ,+                    ,+                      ,                     ,                    ,                  ,                      ,                   ,+          ,+                   ,+           ,              ,+                    ,                   ,              ,+                ,+                ,              ,                  ,               ,              ,+                                ,+             ,+             ,+                 ,+                  ,+                     ,+               ,+                  ,               ,                ,                 ,                   ,               ,                ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
