Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spirillina minima	Patellina corrugata	Nodosariid taxa	Cibicidoides spp.	Bolivina spp.	Stilostomella spp.	Pleurostomella spp.	Trifarina spp.	Oridorsalis umbonatus	Gyroidinoides soldanii	Pullenia spp.	Globocassidulina subglobosa	Stilostomella subspinosa	Pullenia bulloides	Vulvulina spinosa	Stilostomella aculeata	Laticarinina pauperata	Uvigerina spp.	Bulimina spp.	Astrononion pusillum	Cibicidoides subhaidingeri	Cibicidoides mundulus	Anomalinoides spp.	Siphonina tenuicarinata	Planulina wuellerstorfi	Bulimina aculeata	Uvigerina hispidocostata	Miliolids species	Melonis sphaeroides	Melonis barleeanus	Loxostomum spp.	Stilostomella lepidula	Pyrgo murrhina	Eggerella bradyi	Sphaeroidina bulloides	Bulimina alazanensis	Comment



  IR	                 	                 	                  	              	182	1128	B	  1	H	CC	  14.00	      5.6300	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	F              	F                	F            	                  	F                  	R             	F                    	                      	             	R                          	                        	                  	                 	                      	                      	              	             	                    	                          	                     	                  	                       	F                      	                 	R                       	                 	R                  	F                 	               	                      	C             	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	  2	H	CC	  21.00	     15.5000	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	F              	F                	             	                  	                   	              	R                    	                      	             	F                          	                        	R                 	                 	                      	                      	              	             	                    	                          	R                    	                  	                       	F                      	                 	                        	R                	R                  	R                 	               	                      	C             	R               	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	  3	H	 2	  18.00	     16.8800	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	F              	F                	             	R                 	R                  	R             	F                    	                      	             	                           	                        	R                 	                 	                      	                      	              	             	                    	                          	F                    	                  	                       	                       	                 	R                       	                 	R                  	R                 	R              	R                     	F             	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	  4	H	 4	  58.00	     29.7800	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	R              	R                	             	R                 	                   	R             	R                    	                      	             	                           	R                       	                  	                 	                      	                      	              	             	                    	                          	R                    	                  	                       	R                      	                 	R                       	                 	                   	                  	               	                      	              	R               	R                     	R                   	       

  IR	                 	                 	                  	              	182	1128	B	  4	H	CC	  14.00	     33.9900	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	F              	F                	C            	C                 	                   	R             	R                    	R                     	             	R                          	                        	                  	                 	                      	                      	              	             	R                   	                          	F                    	                  	                       	R                      	R                	                        	                 	                   	                  	F              	R                     	F             	R               	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	  5	H	 2	 101.00	     36.7100	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	R              	F                	R            	R                 	R                  	R             	                     	                      	             	F                          	                        	                  	                 	                      	                      	              	             	R                   	                          	C                    	                  	                       	F                      	R                	C                       	R                	F                  	F                 	R              	                      	              	                	                      	                    	       

