Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina humerosa	Neogloboquadrina acostaensis	Globorotalia scitula	Globorotalia margaritae	Globorotalia limbata	Globoquadrina venezuelana	Globigerinoides quadrilobatus s.l.	Globigerinoides obliquus obliquus	Globigerinoides obliquus extremus	Globigerinella siphonifera	Candeina nitida	Globoturborotalita nepenthes	Globoquadrina baroemoenensis	Dentoglobigerina altispira	Globoquadrina dehiscens	Globorotalia tumida tumida	Globorotaloides hexagona	Globigerinoides conglobatus	Globorotalia menardii s.l.	Sphaeroidinellopsis kochi	Sphaeroidinella dehiscens	Globoquadrina conglomerata	Globigerinoides ruber s.l.	Globorotalia crassaformis	Globigerinoides fistulosus	Neogloboquadrina dutertrei	Globorotalia tosaensis	Globigerinoides elongatus	Globigerinita glutinata	Globorotalia truncatulinoides	Globorotalia ungulata	Globigerinella calida	Beella digitata	Globorotalia theyeri	Globorotalia inflata	Comment



  SR	Pleistocene      	                 	N22               	N23           	115	 716	B	  1	H	 1	 105.00	      1.0500	Vincent  	Planktonic Foraminifers                      	               	P                 	                              	+                           	+                	                         	                            	                    	                       	                    	                         	+                                 	                                 	                                 	+                         	+              	                            	                            	                          	                       	+?                        	                        	                           	+                         	                         	                         	+                         	+                         	+?                       	                          	+                         	                      	                         	                       	                             	+?                   	+                    	+?             	                    	                    	benthic foraminifers common. ostracodes rare. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Pleistocene      	                 	N22               	N23           	115	 716	B	  2	H	 2	 105.00	      6.4500	Vincent  	Planktonic Foraminifers                      	               	MG                	                              	+                           	+                	                         	                            	                    	                       	                    	                         	+                                 	                                 	                                 	+                         	+              	                            	                            	                          	                       	+?                        	                        	+                          	+                         	                         	                         	+                         	+                         	+                        	                          	+                         	                      	                         	+                      	+?                           	+?                   	                     	+              	+?                  	+?                  	benthic foraminifers common. ostracodes rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Pleistocene      	                 	N22               	N23           	115	 716	B	  2	H	 5	 105.00	     10.9500	Vincent  	Planktonic Foraminifers                      	               	MG                	                              	+                           	+                	                         	                            	                    	                       	                    	                         	+                                 	                                 	                                 	+                         	               	                            	                            	                          	                       	+                         	                        	+                          	+                         	                         	+?                       	+                         	+                         	+                        	                          	+                         	                      	                         	                       	+?                           	                     	                     	+              	+?                  	+?                  	benthic foraminifers common. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Pleistocene      	                 	N22               	N23           	115	 716	B	  3	H	 6	 105.00	     22.0500	Vincent  	Planktonic Foraminifers                      	               	MG                	                              	+                           	+                	                         	                            	                    	                       	                    	                         	+                                 	                                 	                                 	+                         	               	                            	                            	                          	                       	+                         	                        	+                          	+                         	                         	+                        	+                         	+                         	+?                       	                          	+                         	+?                    	                         	                       	+?                           	+?                   	+                    	+?             	                    	                    	benthic foraminifers few. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.
