Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichomitra cathara,Protostichocapsa stocki,Dictyomitra multicostata,Diacanthocapsa amphora,Cornutella californica,? Cromyodruppa  concentrica,Siphocampe altamontensis,Bathropyramis sp.,? Stichomitra  campi,Tripodictya elegantissima,Squinabolella putahensis,Dictyomitra andersoni,? Stichomitra  sp.,Spongopyle insolita,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 698,A, 14,R,CC,  15.00,    118.7600,Ling     ,Radiolarians                                 ,R              ,P                 ,                   ,R                      ,1                       ,1                     ,                      ,                           ,                        ,                 ,                    ,                         ,                        ,                     ,                  ,                   ,from ODP Leg 114 SR Chapter 17 Table 1 p.318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 698,A, 16,R, 1,  49.00,    137.4900,Ling     ,Radiolarians                                 ,R              ,M                 ,                   ,1                      ,1                       ,                      ,                      ,                           ,1                       ,                 ,1                   ,                         ,1                       ,                     ,                  ,1                  ,from ODP Leg 114 SR Chapter 17 Table 1 p.318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 698,A, 16,R,CC,  12.00,    140.5500,Ling     ,Radiolarians                                 ,F              ,G                 ,                   ,F                      ,R                       ,                      ,1                     ,                           ,                        ,                 ,1                   ,                         ,R                       ,1                    ,1                 ,                   ,from ODP Leg 114 SR Chapter 17 Table 1 p.318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 698,A, 17,R, 2,  55.00,    148.5500,Ling     ,Radiolarians                                 ,F              ,G                 ,                   ,F                      ,R                       ,R                     ,                      ,1                          ,1                       ,                 ,                    ,1                        ,                        ,                     ,                  ,                   ,from ODP Leg 114 SR Chapter 17 Table 1 p.318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 698,A, 17,R,CC,   9.00,    149.7000,Ling     ,Radiolarians                                 ,R              ,P                 ,                   ,                       ,1                       ,                      ,                      ,                           ,                        ,                 ,                    ,                         ,                        ,                     ,                  ,                   ,from ODP Leg 114 SR Chapter 17 Table 1 p.318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 698,A, 20,R, 1,  52.00,    175.5200,Ling     ,Radiolarians                                 ,A              ,G                 ,                   ,A                      ,C                       ,R                     ,                      ,                           ,R                       ,C                ,R                   ,                         ,                        ,                     ,                  ,                   ,from ODP Leg 114 SR Chapter 17 Table 1 p.318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 698,A, 21,R, 2,   0.00,    182.5000,Ling     ,Radiolarians                                 ,F              ,G                 ,                   ,C                      ,R                       ,R                     ,1                     ,F                          ,                        ,                 ,                    ,                         ,                        ,                     ,                  ,                   ,from ODP Leg 114 SR Chapter 17 Table 1 p.318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 698,A, 21,R,CC,  19.00,    183.5500,Ling     ,Radiolarians                                 ,R              ,P                 ,1                  ,                       ,                        ,                      ,                      ,                           ,                        ,                 ,                    ,                         ,                        ,                     ,                  ,                   ,from ODP Leg 114 SR Chapter 17 Table 1 p.318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
