Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Discoaster surculus,Discoaster pentaradiatus,Calcidiscus leptoporus,Coccolithus pelagicus,Helicosphaera sellii,Calcidiscus macintyrei (>11 um),Gephyrocapsa (small),Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Gephyrocapsa large,Helicosphaera carteri,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1020,C,  1,H,CC,  11.00,      4.2700,Fornaciari,Nannofossils                                 ,F/C            ,M/G               ,                        ,                   ,                        ,                      ,F                    ,                    ,                               ,C                   ,+                         ,                         ,                  ,                     ,+                ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1020,C,  2,H,CC,  14.00,     13.3600,Fornaciari,Nannofossils                                 ,R              ,M                 ,                        ,                   ,                        ,RR                    ,                     ,                    ,                               ,+                   ,                          ,                         ,                  ,                     ,+                ,questionable zonal assignment. from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1020,C,  3,H,CC,  26.00,     23.8700,Fornaciari,Nannofossils                                 ,RR             ,P                 ,                        ,                   ,                        ,                      ,                     ,                    ,                               ,+                   ,                          ,                         ,                  ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1020,C,  4,H,CC,  30.00,     33.4100,Fornaciari,Nannofossils                                 ,F              ,M                 ,                        ,                   ,                        ,                      ,C                    ,                    ,                               ,+                   ,C                         ,+                        ,                  ,F/C                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1020,C,  5,H,CC,  33.00,     42.9100,Fornaciari,Nannofossils                                 ,A              ,G                 ,                        ,                   ,                        ,                      ,C                    ,                    ,                               ,A                   ,C                         ,+                        ,                  ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1020,C,  6,H,CC,  26.00,     52.3400,Fornaciari,Nannofossils                                 ,A              ,G                 ,                        ,                   ,                        ,                      ,F                    ,                    ,                               ,A                   ,+                         ,                         ,                  ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
