Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,normalized_name,taxon_group,verbatim_name,comments
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_forams,Agglutinated Foram. gen. et sp. indet.,
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_forams,Agglutinated indet.,
,,Alabaminella,,,,weddelensis,,,,Alabaminella weddelensis,benthic_forams,Alabaminella weddelensis,
,,Alabamina,,,,sp.,,,,Alabamina sp.,benthic_forams,Alabammina sp.,
,,Alabaminella,,,,weddelensis,,,,Alabaminella weddelensis,benthic_forams,Alabamminella weddelensis,
,,Ammodiscus,,,,latus,,,,Ammodiscus latus,benthic_forams,Ammodiscus latus,
,,Ammonia,,,,parkinsoniana,f.,aoteana,,Ammonia parkinsoniana f. aoteana,benthic_forams,Ammonia parkinsoniana f. aoteana,
,,Amphicoryna,,,,sp.,,,,Amphicoryna sp.,benthic_forams,Amphicoryna,
,,Anomalina,,,,spherica,,,,Anomalina spherica,benthic_forams,Anomalina spherica,
,,Anomalinoides,,,cf.,globulosus,,,,Anomalinoides cf. globulosus,benthic_forams,Anomalinoides cf. globulosus,
,,Anomalinoides,,,,parvumbilia,,,,Anomalinoides parvumbilia,benthic_forams,Anomalinoides parvumbilia,
,,Anomalinoides,,,,parvumbilia,,,,Anomalinoides parvumbilia,benthic_forams,Anomalinoides parvumbilianus,
,,Anomalinoides,,,,parvumbilia,,,,Anomalinoides parvumbilia,benthic_forams,Anomalinoides parvumbilius,
,,Anomalinoides,,,,sp. A,,,,Anomalinoides sp. A,benthic_forams,Anomalinoides sp. A,
,,Anomalinoides,,,,sp. B,,,,Anomalinoides sp. B,benthic_forams,Anomalinoides sp. B,
,,Anomalinoides,,,,sp.,,,,Anomalinoides sp.,benthic_forams,Anomalinoides sp. indet.,
,,Anomalinoides,,,,sp. A,,,,Anomalinoides sp. A,benthic_forams,Anomalinoides sp.A,
,,Anomalinoides,,,,sphericus,,,,Anomalinoides sphericus,benthic_forams,Anomalinoides sphericus,
,,Anomalinoides,,,,subnonionoides,,,,Anomalinoides subnonionoides,benthic_forams,Anomalinoides subnonionoides,
,?,Anomalinoides,,,,sp.,,,,? Anomalinoides sp.,benthic_forams,Anomalinoides? sp.,
,,Astrononion,,,,spp.,,,,Astrononion spp.,benthic_forams,Astorononion spp.,
,,Astrononion,,,,kickinskii,,,,Astrononion kickinskii,benthic_forams,Astrononion kickinskii,
,,Astrononion,,,,sp.,,,,Astrononion sp.,benthic_forams,Astrononion sp. indet.,
,,Astrorhiza,,,,sp.,,,,Astrorhiza sp.,benthic_forams,Astrorhiza sp.?,
,,Awhea,,,,tosta,,,,Awhea tosta,benthic_forams,Awhea tosta,
,,Bolivina,,,,sp.,,,,Bolivina sp.,benthic_forams,Bolivina,
,,Bolivina,,,,affiliata,,,,Bolivina affiliata,benthic_forams,Bolivina affiliata,
,,Bolivina,,,,sp. 1,,,,Bolivina sp. 1,benthic_forams,Bolivina sp. 1,
,,Bolivina,,,,sp. A,,,,Bolivina sp. A,benthic_forams,Bolivina sp. A,
,,Bolivinita,,,cf.,pliozea,,,,Bolivinita cf. pliozea,benthic_forams,Bolivinita cf. pliozea,
,,Bolivinita,,,cf.,pohana,,,,Bolivinita cf. pohana,benthic_forams,Bolivinita pohana (cf.),
,,Botellina,,,,labyrinthica,,,,Botellina labyrinthica,benthic_forams,Botellina labyrinthica,
,,Brizalina,,,cf.,spathula,,,,Brizalina cf. spathula,benthic_forams,Brizalina cf. spathula,
,,Brizalina,,,,pussilla,,,,Brizalina pussilla,benthic_forams,Brizalina pussilla,
,,Brizalina,,,,pygmaea,,,,Brizalina pygmaea,benthic_forams,Brizalina pygmaea,
,,Bulimina,,,,sp.,,,,Bulimina sp.,benthic_forams,Bulimina,
,,Bulimina,,,,aculeata,,,cf. smooth,Bulimina aculeata (cf. smooth),benthic_forams,Bulimina aculeata (cf. smooth),
,,Bulimina,,,aff.,exilis,,,,Bulimina aff. exilis,benthic_forams,Bulimina aff. exilis,
,,Bulimina,,,aff.,mexicana,,,,Bulimina aff. mexicana,benthic_forams,Bulimina aff. mexicana,
,,Bulimina,,,aff.,striata,,,,Bulimina aff. striata,benthic_forams,Bulimina aff. striata,
,,Bulimina,,,,pyrula,,spinescens,,Bulimina pyrula spinescens,benthic_forams,Bulimina pyrula spinescens,
,,Bulimina,,,,sp. A,,,,Bulimina sp. A,benthic_forams,Bulimina sp.  A,
,,Bulimina,,,,sp. B,,,,Bulimina sp. B,benthic_forams,Bulimina sp. B,
,,Bulimina,,,,sp. C,,,,Bulimina sp. C,benthic_forams,Bulimina sp. C,
,,Bulimina,,,,sp.,,,,Bulimina sp.,benthic_forams,Bulimina sp. indet.,
,,Bulimina,,,cf.,striata,,,,Bulimina cf. striata,benthic_forams,Bulimina striata (cf.),
Foraminifera indet.,,Foraminifera,,,,indet.,,,,Foraminifera indet. Foraminifera indet.,benthic_forams,Calc. Hyaline Foram. gen. et sp. indet.,Calc. Hyaline Foram. gen. et sp. indet.
,,Cancris,,,cf.,phillipinensis,,,,Cancris cf. phillipinensis,benthic_forams,Cancris cf. phillipinensis,
,,Cassidulina,,,,sp.,,,,Cassidulina sp.,benthic_forams,Cassidulina,
,,Cassidulina,,,,laevigata,var.,carinata,,Cassidulina laevigata var. carinata,benthic_forams,Cassidulina laevigata var. carinata,
,,Cassidulina,,,,neocarinata,,,,Cassidulina neocarinata,benthic_forams,Cassidulina neocarinata,
,,Cassidulina,,,,sp. A,,,,Cassidulina sp. A,benthic_forams,Cassidulina sp. A,
,,Cassidulina,,,,sp.,,,,Cassidulina sp.,benthic_forams,Cassidulina sp. indet.,
,?,Cassidulina,,,,sp.,,,,? Cassidulina sp.,benthic_forams,Cassidulina? sp.,
,,Caudammina,,,,sp.,,,,Caudammina sp.,benthic_forams,Caudamina sp.,
,,Chrysalogonium,,,,sp.,,,,Chrysalogonium sp.,benthic_forams,Chrysalogonium sp. indet.,
,,Cibicides,,,,sp.,,,,Cibicides sp.,benthic_forams,Cibicides,
,,Cibicides,,,,deliquatus,,,,Cibicides deliquatus,benthic_forams,Cibicides deliquatus,
,,Cibicidoides,,,cf.,perforatus,,,,Cibicidoides cf. perforatus,benthic_forams,Cibicidoides cf. perforatus,
,,Cibicidoides,,,cf.,subhaidingerii,,,,Cibicidoides cf. subhaidingerii,benthic_forams,Cibicidoides cf. subhaidingerii,
,,Cibicidoides,,,,eocanus,,,,Cibicidoides eocanus,benthic_forams,Cibicidoides eocanus,
,,Cibicidoides,,,,grimusdalei,,,,Cibicidoides grimusdalei,benthic_forams,Cibicidoides grimusdalei,
,,Cibicidoides,,,,havannsis,,,,Cibicidoides havannsis,benthic_forams,Cibicidoides havannsis,
,,Cibicidoides,,,,neoperforatus,,,,Cibicidoides neoperforatus,benthic_forams,Cibicidoides neoperforatus,
,,Cibicidoides,,,,perforatus,,,,Cibicidoides perforatus,benthic_forams,Cibicidoides perforatus,
,,Cibicidoides,,,,premundulus,,,,Cibicidoides premundulus,benthic_forams,Cibicidoides premundulus,
,,Cibicidoides,,,,sp. A,,,,Cibicidoides sp. A,benthic_forams,Cibicidoides sp. A,
,,Cibicidoides,,,,sp. B,,,,Cibicidoides sp. B,benthic_forams,Cibicidoides sp. B,
,,Cibicidoides,,,,sp. C,,,,Cibicidoides sp. C,benthic_forams,Cibicidoides sp. C,
,,Cibicidoides,,,,sp.,,,,Cibicidoides sp.,benthic_forams,Cibicidoides sp. indet.,
,,Cornuspira,,,,sp.,,,,Cornuspira sp.,benthic_forams,Cornuspira,
,,Cyclammina,,,,sp.,,,,Cyclammina sp.,benthic_forams,Cyclammina,
,,Discorbinella,,,,sp.,,,,Discorbinella sp.,benthic_forams,Discorbinella,
,,Dorothia,,,,pseudofiliformis,,,,Dorothia pseudofiliformis,benthic_forams,Dorothia pseudofiliformis,
