Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,normalized_name,taxon_group,verbatim_name,name comment field,Comment,Notes (change to Internal only notes?),comments,eodp_id
,,Euuvigerina,,,,miozea,,,,Euuvigerina miozea,benthic_forams,Euuvigerina miozea (group) >100 m,,group,"Summer 2020: enter ""Euuvigerina miozea"" and reproduce the entry as comment LL: agree with this b/c the way this is listed does not make sense AF: let's have a benthic foram person review ones that we make calls like this Spring 2021: AF: From ET, despite reservations about Euuvigerina being not a good genus to use, the 'group' refers to the waterdepth (>100 m). Both could be moved to the comment field",>100 m group,0
,,Euuvigerina,,,,rodleyi,,,,Euuvigerina rodleyi,benthic_forams,Euuvigerina rodleyi (group) >50 m,,group,"Summer 2020: enter ""Euuvigerina miozea"" and reproduce the entry as comment? LL: same as above",>50 m group,1
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Others,,not a taxa,Andy,other benthic foraminifera,2
Pleurostomellidae indet.,,,,,,,,,,Pleurostomellidae indet.,benthic_forams,Pleurostomellids comment,,not a taxa,Andy,,3
Ostracoda indet.,,,,,,,,,,Ostracoda indet.,benthic_forams,Ostracoda spp.,Ostracoda spp.,group abundance,"Summer 2020: go in as Ostracoda indet, and the abu? LL: I think of spp. and indet. as two different things. Can we just list as Ostracoda with out the modifier? Unfortunately no, and strict taxonomic rule doesn't allow spp. above the generic level AF: I agree with Leah about the difference, but if that's the way we have to do it then that's the way it should be done.",,4
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Elongated,Elongated,not a taxa,"Summer 2020: Andy; AF: same as above. I bet this was one person. TBH, if I were seeing loads of benthics in my samples, i wonder if this is what would happen? hmm",,5
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Planispiral,Planispiral,not a taxa,Summer 2020: Andy AF: Can't do better than 'benthic foraminifer' with this level of detail. Boooooooooooooooooo,,6
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Trochospiral,Trochospiral,not a taxa,"Summer 2020: Andy; AF: Same, this is a morphological grouping that is nonsense at a taxonomic level. Benthic foraminifer",,7
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_forams,Tube-shaped agglutinated forms,Tube-shaped agglutinated forms,not a taxa,"Summer 2020: ""Agglutinated"" isn't a taxonomic name, so go in as ‎Foraminifera indet., this text as comment? Andy, could this be resolved further? AF: Agglutinates are the subclass Textulariia http://www.marinespecies.org/foraminifera/aphia.php?p=sourcedetails&id=131347",,8
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_forams,Unidentified agglutinants,Unidentified agglutinants,not a taxa,"Summer 2020: ""Agglutinated"" isn't a taxonomic name, so go in as ‎Foraminifera indet., this text as comment? Andy, could this be resolved further?; AF: Agglutinates are a subclass (lots of our taxonomic hierarchy at the higher level is based on test construction), so we can do Textulariia (subclass) as best.",,9
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Unidentified benthic forams,,not a taxa,"Summer 2020: Andy; AF: This however sucks and can only be benthic foraminifera. Which given the way the taxonomy is, means that we can't do better than Foraminifera. Benthics are a big group.",,10
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Unilocular species,,not a taxa,Summer 2020: Andy; AF: Foraminifera,,11
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Tapered,Tapered,not a taxa,"Summer 2020: Andy; AF: Same, this is a morphological grouping that is nonsense at a taxonomic level. Benthic foraminifer",,12
,,Nodosaria,,,,spp.,,,,Nodosaria spp.,benthic_forams,Nodosariid taxa,Nodosariid taxa,not a taxa; Nodosariata (class) or Nodosariana (subclass)?,Summer 2020: Andy AF: genus Nodosaria,,13
,,Nodosaria,,,,spp.,,,,Nodosaria spp.,benthic_forams,Nodosariids,Nodosariids,not a taxa; Nodosariata (class) or Nodosariana (subclass)?,Summer 2020: Andy AF: genus Nodosaria,,14
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_forams,Agglutinated,Agglutinated,not a specific taxa,"Summer 2020: ""Agglutinated"" isn't a taxonomic name, so go in as ‎Foraminifera indet., this text as comment? Andy, could this be resolved further? AF: Agglutinates are the subclass Textulariia http://www.marinespecies.org/foraminifera/aphia.php?p=sourcedetails&id=131347",,15
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_forams,Agglutinated gen. et sp. indet.,Agglutinated gen. et sp. indet.,not a specific taxa,"""Agglutinated"" isn't a taxonomic name, so go in as ‎Foraminifera indet., this text as comment? Andy, could this be resolved further?",,16
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_forams,Agglutinated spp. (indeterminate),Agglutinated spp. (indeterminate),not a specific taxa,"""Agglutinated"" isn't a taxonomic name, so go in as ‎Foraminifera indet., this text as comment? Andy, could this be resolved further?",,17
,,Cibicides,,,,spp.,,,,Cibicides spp.,benthic_forams,Cibicides/Cibicidoides spp.,Cibicides/Cibicidoides spp.,multiple taxa names,"Summer 2020: IDK these; deal with later? Andy? Cibicides is the correct, current name, but Cibicidoides still gets used because Geochemists don't do taxonomy *shakes fist*.",,18
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Calcareous gen. et sp. indet.,Calcareous gen. et sp. indet.,not a taxa name,"Summer 2020: Andy - enter as ""Foraminifera"", entry as a comment? AF: Yes.",,19
,,Brizalina,,,,spp.,,,,Brizalina spp.,benthic_forams,Bolivina/Brizalina spp.,Bolivina/Brizalina spp.,multiple taxa names,Summer 2020: IDK these; deal with later? Andy? LL: Brizalina is an older genera name that is now Bolivina; entry as comment; AF yep!,,20
,,Candeina,,,,nitida,,,,Candeina nitida,planktic_forams,Candeina nitida,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,21
,,Dentoglobigerina,,,,altispira,,,,Dentoglobigerina altispira,planktic_forams,Dentoglobigerina altispira,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,22
,,Dentoglobigerina,,,,baroemoenensis,,,,Dentoglobigerina baroemoenensis,planktic_forams,Dentoglobigerina baroemoenensis,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,23
,,Globigerina,,,,bulloides,,,,Globigerina bulloides,planktic_forams,Globigerina bulloides,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,24
,,Globigerina,,,,falconensis,,,,Globigerina falconensis,planktic_forams,Globigerina falconensis,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,25
,,Globigerina,,,,rubescens,,,,Globigerina rubescens,planktic_forams,Globigerina rubescens,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,26
,,Globigerinella,,,,calida,,,,Globigerinella calida,planktic_forams,Globigerinella calida,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,27
,,Globigerinella,,,,siphonifera,,,,Globigerinella siphonifera,planktic_forams,Globigerinella siphonifera,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,28
,,Globigerinita,,,,glutinata,,,,Globigerinita glutinata,planktic_forams,Globigerinita glutinata,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,29
,,Globigerinoides,,,,bulloideus,,,,Globigerinoides bulloideus,planktic_forams,Globigerinoides bulloideus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,30
,,Globigerinoides,,,,conglobatus,,,,Globigerinoides conglobatus,planktic_forams,Globigerinoides conglobatus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,31
,,Globigerinoides,,,,extremus,,,,Globigerinoides extremus,planktic_forams,Globigerinoides extremus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,32
,,Globigerinoides,,,,fistulosus,,,,Globigerinoides fistulosus,planktic_forams,Globigerinoides fistulosus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,33
,,Globigerinoides,,,,immaturus,,,,Globigerinoides immaturus,planktic_forams,Globigerinoides immaturus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,34
,,Globigerinoides,,,,obliquus,,,,Globigerinoides obliquus,planktic_forams,Globigerinoides obliquus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,35
,,Globigerinoides,,,,pyramidalis,,,,Globigerinoides pyramidalis,planktic_forams,Globigerinoides pyramidalis,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,36
,,Globigerinoides,,,s.l.,ruber,,,,Globigerinoides s.l. ruber,planktic_forams,"Globigerinoides ruber s.l. Wang, 2000","Globigerinoides ruber s.l. Wang, 2000",,"in PBDB, so it will be classified correctly; this is a planktic foram",,37
,,Globigerinoides,,,s.s.,ruber,,,,Globigerinoides s.s. ruber,planktic_forams,Globigerinoides ruber s.s.,Globigerinoides ruber s.s.,,"in PBDB, so it will be classified correctly; this is a planktic foram",,38
,,Globigerinoides,,,,sacculifer,,,,Globigerinoides sacculifer,planktic_forams,Globigerinoides sacculifer,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,39
,,Globigerinoides,,,,sacculifer,,,without sac,Globigerinoides sacculifer (without sac),planktic_forams,Globigerinoides sacculifer (without sac),Globigerinoides sacculifer (without sac),,"Andy, how would you  handle this?  comment field (i.e., informal modifier) or formal subspecies modifier?; this is a planktic foram",,40
,,Globigerinoides,,,,subquadratus,,,,Globigerinoides subquadratus,planktic_forams,Globigerinoides subquadratus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,41
,,Globigerinoides,,,,trilobus,,,,Globigerinoides trilobus,planktic_forams,Globigerinoides trilobus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,42
,,Globoconella,,,,inflata,,,,Globoconella inflata,planktic_forams,Globoconella inflata,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,43
,,Globorotalia,,,,crassaformis,,,,Globorotalia crassaformis,planktic_forams,Globorotalia crassaformis,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,44
,,Globorotalia,,,,flexuosa,,,,Globorotalia flexuosa,planktic_forams,Globorotalia flexuosa,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,45
,,Globorotalia,,,,humerosa,,,,Globorotalia humerosa,planktic_forams,Globorotalia humerosa,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,46
,,Globorotalia,,,,limbata,,,,Globorotalia limbata,planktic_forams,Globorotalia limbata,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,47
,,Globorotalia,,,,margaritae,,,,Globorotalia margaritae,planktic_forams,Globorotalia margaritae,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,48
,,Globorotalia,,,,menardii,,,,Globorotalia menardii,planktic_forams,Globorotalia menardii,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,49
,,Globorotalia,,,,multicamerata,,,,Globorotalia multicamerata,planktic_forams,Globorotalia multicamerata,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,50
,,Globorotalia,,,,pertenuis,,,,Globorotalia pertenuis,planktic_forams,Globorotalia pertenuis,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,51
,,Globorotalia,,,,plesiotumida,,,,Globorotalia plesiotumida,planktic_forams,Globorotalia plesiotumida,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,52
,,Globorotalia,,,,tosaensis,,,,Globorotalia tosaensis,planktic_forams,Globorotalia tosaensis,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,53
,,Globorotalia,,,,truncatulinoides,,,,Globorotalia truncatulinoides,planktic_forams,Globorotalia truncatulinoides,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,54
,,Globorotalia,,,,tumida,,,,Globorotalia tumida,planktic_forams,Globorotalia tumida,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,55
,,Globorotalia,,,,ungulata,,,,Globorotalia ungulata,planktic_forams,Globorotalia ungulata,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,56
,,Globoturborotalita,,,,apertura,,,,Globoturborotalita apertura,planktic_forams,Globoturborotalita apertura,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,57
,,Globoturborotalita,,,,woodi,,,,Globoturborotalita woodi,planktic_forams,Globoturborotalita woodi,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,58
,,Neogloboquadrina,,,,acostaensis,,,,Neogloboquadrina acostaensis,planktic_forams,Neogloboquadrina acostaensis,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,59
,,Neogloboquadrina,,,,dutertrei,,,,Neogloboquadrina dutertrei,planktic_forams,Neogloboquadrina dutertrei,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,60
,,Neogloboquadrina,,,,incompta,,,,Neogloboquadrina incompta,planktic_forams,Neogloboquadrina incompta,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,61
,,Neogloboquadrina,,,,pachyderma,,,,Neogloboquadrina pachyderma,planktic_forams,Neogloboquadrina pachyderma,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,62
,,Orbulina,,,,bilobata,,,,Orbulina bilobata,planktic_forams,Orbulina bilobata,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,63
,,Orbulina,,,,universa,,,,Orbulina universa,planktic_forams,Orbulina universa,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,64
,,Pulleniatina,,,,obliquiloculata,,,,Pulleniatina obliquiloculata,planktic_forams,Pulleniatina obliquiloculata,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,65
,,Pulleniatina,,,,primalis,,,,Pulleniatina primalis,planktic_forams,Pulleniatina primalis,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,66
,,Sphaeroidinellopsis,,,,kochi,,,,Sphaeroidinellopsis kochi,planktic_forams,Sphaeroidinellopsis kochi,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,67
,,Sphaeroidinellopsis,,,,seminulina,,,,Sphaeroidinellopsis seminulina,planktic_forams,Sphaeroidinellopsis seminulina,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,68
,,Turborotalita,,,,quinqueloba,,,,Turborotalita quinqueloba,planktic_forams,Turborotalita quinqueloba,,,"in PBDB, so it will be classified correctly; this is a planktic foram",,69
Elphidiidae indet.,,,,,,,,,,Elphidiidae indet.,benthic_forams,Elphidid taxa,Elphidiid taxa,,"in PBDB, so it will be classified correctly",,70
Astrorhizidae indet.,,,,,,,,,,Astrorhizidae indet.,benthic_forams,Astrorhizids,Astrorhizids,,"in PBDB, but a family?",,71
Trochamminidae indet.,,,,,,,,,,Trochamminidae indet.,benthic_forams,Trochamminids,Trochamminids,,"winter 2021: ? AF: Via ET author did not want to assign to genus Trochammina, placed it in family Trochamminidae (informal name use).",,72
Discorboidea indet.,,,,,,,,,,Discorboidea indet.,benthic_forams,Discorbids,Discorbids,,winter 2021: ? AF: Via Ellen auhtor did not want to assign genus but places it in the Family Discorbidae; Superfamily now Discorboidea not Discorbacea,,73
Miliolidae indet.,,,,,,,,,,Miliolidae indet.,benthic_forams,Miliolid taxa,Miliolid taxa,,Family? Miliolidae,,74
Miliolidae indet.,,,,,,,,,,Miliolidae indet.,benthic_forams,Miliolids,Miliolids,,Family? Miliolidae,,75
Nodosariidae indet.,,,,,,,,,,Nodosariidae indet.,benthic_forams,Nodosariidae indet.,,,Family?,,76
Nonionidae indet.,,,,,,,,,,Nonionidae indet.,benthic_forams,Nonionidae indet.,,,Family?,,77
,,Abyssamina,,,,poagi,,,,Abyssamina poagi,benthic_forams,Abyssamina poagi,,,"in PBDB, so it will be classified correctly",,78
,,Abyssamina,,,,quadrata,,,,Abyssamina quadrata,benthic_forams,Abyssamina quadrata,,,"in PBDB, so it will be classified correctly",,79
,,Abyssamina,,,,spp.,,,,Abyssamina spp.,benthic_forams,Abyssammina spp.,,,"in PBDB, so it will be classified correctly",,80
,,Acervulina,,,,mabahethi,,,,Acervulina mabahethi,benthic_forams,Acervulina mabahethi,,,"in PBDB, but classification differs to WoRMS",,81
,,Adelosina,,,?,dubia,,,,Adelosina ? dubia,benthic_forams,Adelosina dubia?,,,"in PBDB, but classification differs to WoRMS",,82
,,Alabamina,,,cf.,dissonata,,,,Alabamina cf. dissonata,benthic_forams,Alabamina cf. dissonata,,,"in PBDB, but classification differs to WoRMS",,83
,,Alabamina,,,,creta,,,,Alabamina creta,benthic_forams,Alabamina creta,,,"in PBDB, but classification differs to WoRMS",,84
,,Alabamina,,,,dissonata,,,,Alabamina dissonata,benthic_forams,Alabamina dissonata,,,"in PBDB, but classification differs to WoRMS",,85
,,Alabamina,,,,sp.,,,,Alabamina sp.,benthic_forams,Alabamina sp.,,,"in PBDB, but classification differs to WoRMS",,86
,,Alabamina,,,,tenuimarginata,,,,Alabamina tenuimarginata,benthic_forams,Alabamina tenuimarginata,,,"in PBDB, but classification differs to WoRMS",,87
,,Alabaminella,,,,sp.,,,,Alabaminella sp.,benthic_forams,Alabaminella sp.,,,"in PBDB, so it will be classified correctly",,88
,,Alabaminella,,,,weddellensis,,,,Alabaminella weddellensis,benthic_forams,Alabaminella weddellensis,,,"in PBDB, so it will be classified correctly",,89
,,Alabamina,,,,dissonata,,,,Alabamina dissonata,benthic_forams,Alabammina dissonata,,,"winter 2021: Spelling Mistake? Alabamina? AF: Yes, via ET.",,90
,,Alabamina,,,,spp.,,,,Alabamina spp.,benthic_forams,Alabammina spp.,,,"winter 2021: Spelling Mistake? Alabamina? AF: Yes, via ET.",,91
,,Alabaminella,,,,weddellensis,,,,Alabaminella weddellensis,benthic_forams,Alabamminella weddellensis,,,"winter 2021: Spelling Mistake? Alabamina? AF: Yes, via ET.",,92
,,Allomorphina,,,,conica,,,,Allomorphina conica,benthic_forams,Allomorphina conica,,,"in PBDB, so it will be classified correctly; Rotaliida original description is not documented",,93
,,Allomorphina,,,,pacifica,,,,Allomorphina pacifica,benthic_forams,Allomorphina pacifica,,,"in PBDB, so it will be classified correctly",,94
,,Allomorphina,,,,polonica,,,,Allomorphina polonica,benthic_forams,Allomorphina polonica,,,"in PBDB, so it will be classified correctly",,95
,,Allomorphina,,,,velascoensis,,,,Allomorphina velascoensis,benthic_forams,Allomorphina velascoensis,,,"in PBDB, so it will be classified correctly",,96
,,Allomorphina,,,,whangaia,,,,Allomorphina whangaia,benthic_forams,Allomorphina whangaia,,,"in PBDB, so it will be classified correctly",,97
,,Ammobaculites,,,,agglutinans,,,,Ammobaculites agglutinans,benthic_forams,Ammobaculites agglutinans,,,"In PBDB, but classification differs to WoRMS",,98
,,Ammobaculites,,,,filiformis,,,,Ammobaculites filiformis,benthic_forams,Ammobaculites filiformis,,,"In PBDB, but classification differs to WoRMS",,99
,,Ammobaculites,,,,sp.,,,,Ammobaculites sp.,benthic_forams,Ammobaculites sp.,,,"In PBDB, but classification differs to WoRMS",,100
,,Ammobaculites,,,,wallalensis,,,,Ammobaculites wallalensis,benthic_forams,Ammobaculites wallalensis,,,"In PBDB, but classification differs to WoRMS",,101
,,Ammodiscus,,,,cretaceus,,,,Ammodiscus cretaceus,benthic_forams,Ammodiscus cretaceus,,,"in PBDB, but classification differs to WoRMS",,102
,,Ammodiscus,,,,sp.,,,,Ammodiscus sp.,benthic_forams,Ammodiscus sp.,,,"in PBDB, but classification differs to WoRMS",,103
,,Ammodiscus,,,,spp.,,,,Ammodiscus spp.,benthic_forams,Ammodiscus spp.,,,"in PBDB, but classification differs to WoRMS",,104
,,Ammoelphidiella,,,,pustulosa,,,,Ammoelphidiella pustulosa,benthic_forams,Ammoelphidiella pustulosa,,,"in PBDB, so it will be classified correctly",,105
,,Ammoelphidiella,,,,sp.,,,,Ammoelphidiella sp.,benthic_forams,Ammoelphidiella sp.,,,"in PBDB, so it will be classified correctly",,106
,,Ammoelphidiella,,,,uniforamina,,,,Ammoelphidiella uniforamina,benthic_forams,Ammoelphidiella uniforamina,,,"in PBDB, so it will be classified correctly",,107
,,Ammoglobigerina,,,,sp.,,,,Ammoglobigerina sp.,benthic_forams,Ammoglobigerina sp.,,,"in PBDB, but classification differs to WoRMS",,108
,,Ammonia,,,,beccarii,,,,Ammonia beccarii,benthic_forams,Ammonia beccarii,,,"in PBDB, but classification differs to WoRMS",,109
,,Ammonia,,,,sp.,,,,Ammonia sp.,benthic_forams,Ammonia sp.,,,"in PBDB, but classification differs to WoRMS",,110
,,Ammonia,,,,spp.,,,,Ammonia spp.,benthic_forams,Ammonia spp.,,,"in PBDB, but classification differs to WoRMS",,111
,,Ammonia,,,,tepida,,,,Ammonia tepida,benthic_forams,Ammonia tepida,,,"in PBDB, but classification differs to WoRMS",,112
,,Ammosphaeroidina,,,,sp.,,,,Ammosphaeroidina sp.,benthic_forams,Ammoshpaeroidina,,,"in PBDB, but classification differs to WoRMS",,113
,,Ammosphaeroidina,,,,pseudopauciloculata,,,,Ammosphaeroidina pseudopauciloculata,benthic_forams,Ammosphaeroidina pseudopauciloculata,,,"in PBDB, but classification differs to WoRMS",,114
,,Amphicoryna,,,,scalaris,,,,Amphicoryna scalaris,benthic_forams,Amphicoryna scalaris,,,"in PBDB, so it will be classified correctly",,115
,,Amphicoryna,,,,separans,,,,Amphicoryna separans,benthic_forams,Amphicoryna separans,,,"in PBDB, so it will be classified correctly",,116
,,Amphicoryna,,,,sp.,,,,Amphicoryna sp.,benthic_forams,Amphicoryna sp.,,,"in PBDB, so it will be classified correctly",,117
,,Amphicoryna,,,,spp.,,,,Amphicoryna spp.,benthic_forams,Amphicoryna spp.,,,"in PBDB, so it will be classified correctly",,118
,,Amphisorus,,,,hemprichii,,,,Amphisorus hemprichii,benthic_forams,Amphisorus hemprichii,,,"in PBDB, so it will be classified correctly",,119
,,Amphistegina,,,,bicirculata,,,,Amphistegina bicirculata,benthic_forams,Amphistegina bicirculata,,,"in PBDB, so it will be classified correctly",,120
,,Amphistegina,,,,hauerina,,,,Amphistegina hauerina,benthic_forams,Amphistegina hauerina,,,"in PBDB, so it will be classified correctly",,121
,,Amphistegina,,,,lessonii,,,,Amphistegina lessonii,benthic_forams,Amphistegina lessonii,,,"in PBDB, so it will be classified correctly",,122
,,Amphistegina,,,,lobifera,,,,Amphistegina lobifera,benthic_forams,Amphistegina lobifera,,,"in PBDB, so it will be classified correctly",,123
,,Amphistegina,,,,papillosa,,,,Amphistegina papillosa,benthic_forams,Amphistegina papillosa,,,"in PBDB, so it will be classified correctly",,124
