name,pbdb_taxon_id,taxon_group,verbatim_name,comment
Actinomma boreale,10,radiolarians,Actinomma boreale,
Actinomma delicatulum,10,radiolarians,Actinomma delicatulum,
Actinomma leptodermum,10,radiolarians,Actinomma leptodermum,
Actinomma leptodermum longispinum,10,radiolarians,Actinomma leptodernum longispinum,
Actinomma medianum,10,radiolarians,Actinomma medianum,
Actinomma popofskii,10,radiolarians,Actinomma popofskii,
Actinomma sp.,10,radiolarians,Actinomma sp.,
Actinoptychus senarius,71244,diatoms,Actinoptycus senarius,genus misspelled
Adelosina ? dubia,772,benthic_forams,Adelosina dubia?,
Ahmuellerella octoradiata,87885,nannofossils,Ahmuellerella octoradiata,
Alabamina cf. dissonata,788,benthic_forams,Alabamina cf. dissonata,
Alabamina creta,788,benthic_forams,Alabamina creta,
Alabamina dissonata,788,benthic_forams; benthic_forams,Alabamina dissonata; Alabammina dissonata,
Alabamina sp.,788,benthic_forams; benthic_forams,Alabammina sp.; Alabamina sp.,genus misspelled
Alabamina spp.,788,benthic_forams,Alabammina spp.,
Alabamina tenuimarginata,788,benthic_forams,Alabamina tenuimarginata,
Alabaminella sp.,423746,benthic_forams,Alabaminella sp.,
Alabaminella weddelensis,423746,benthic_forams; benthic_forams,Alabamminella weddelensis; Alabaminella weddelensis,genus misspelled
Alabaminella weddellensis,423746,benthic_forams; benthic_forams,Alabamminella weddellensis; Alabaminella weddellensis,
Algirosphaera robusta,424331,nannofossils,Algirosphaera robusta,
Allomorphina conica,794,benthic_forams,Allomorphina conica,
Allomorphina pacifica,794,benthic_forams,Allomorphina pacifica,
Allomorphina polonica,794,benthic_forams,Allomorphina polonica,
Allomorphina velascoensis,794,benthic_forams,Allomorphina velascoensis,
Allomorphina whangaia,794,benthic_forams,Allomorphina whangaia,
Alnus sp.,54588,palynology,Alnus,
Alveus marinus,432678,diatoms; diatoms,Alveus marina; Alveus marinus,
Amaurolithus amplificus,388308,nannofossils,Amaurolithus amplificus,
Amaurolithus bizarrus,388308,nannofossils,Amaurolithus bizarrus,
Amaurolithus delicatus,388308,nannofossils,Amaurolithus delicatus,
Amaurolithus primus,388308,nannofossils,Amaurolithus primus,
Amaurolithus spp.,388308,nannofossils,Amaurolithus spp.,
Amaurolithus tricorniculatus,388308,nannofossils,Amaurolithus tricorniculatus,
Ammobaculites agglutinans,813,benthic_forams,Ammobaculites agglutinans,
Ammobaculites filiformis,813,benthic_forams,Ammobaculites filiformis,
Ammobaculites sp.,813,benthic_forams,Ammobaculites sp.,
Ammobaculites wallalensis,813,benthic_forams,Ammobaculites wallalensis,
Ammodiscus cretaceus,818,benthic_forams,Ammodiscus cretaceus,
Ammodiscus latus,818,benthic_forams,Ammodiscus latus,
Ammodiscus sp.,818,benthic_forams,Ammodiscus sp.,
Ammodiscus spp.,818,benthic_forams,Ammodiscus spp.,
Ammodochium rectangulare,436068,ebridians; ebridians,Ammodochium rectangulare; Ammodochium rectangulare (Ebridian),
Ammoelphidiella pustulosa,819,benthic_forams,Ammoelphidiella pustulosa,
Ammoelphidiella sp.,819,benthic_forams,Ammoelphidiella sp.,
Ammoelphidiella uniforamina,819,benthic_forams,Ammoelphidiella uniforamina,
Ammoglobigerina sp.,820,benthic_forams,Ammoglobigerina sp.,
Ammonia beccarii,823,benthic_forams,Ammonia beccarii,
Ammonia parkinsoniana f. aoteana,823,benthic_forams,Ammonia parkinsoniana f. aoteana,
Ammonia sp.,823,benthic_forams,Ammonia sp.,
Ammonia spp.,823,benthic_forams,Ammonia spp.,
Ammonia tepida,823,benthic_forams,Ammonia tepida,
Ammosphaeroidina pseudopauciloculata,827,benthic_forams,Ammosphaeroidina pseudopauciloculata,
Ammosphaeroidina sp.,827,benthic_forams,Ammoshpaeroidina,
Amphicoryna scalaris,835,benthic_forams,Amphicoryna scalaris,
Amphicoryna separans,835,benthic_forams,Amphicoryna separans,
Amphicoryna sp.,835,benthic_forams; benthic_forams,Amphicoryna; Amphicoryna sp.,
Amphicoryna spp.,835,benthic_forams,Amphicoryna spp.,
Amphicraspedum murrayanum,152534,radiolarians,Amphicraspedum murrayanum,
Amphicraspedum prolixum,152534,radiolarians,Amphicraspedum prolixum group,
Amphimelissa setosa,85924,radiolarians,Amphimelissa setosa,
Amphipyndax stocki,414,radiolarians,Amphipyndax stocki,
Amphirhopalum ypsilon,84844,radiolarians,Amphirhopalum ypsilon,
Amphisorus hemprichii,837,benthic_forams,Amphisorus hemprichii,
Amphisphaera coronata,16,radiolarians,Amphisphaera coronata,
Amphisphaera goruna,16,radiolarians,Amphisphaera goruna,
Amphisphaera radiosa,16,radiolarians,Amphisphaera radiosa,
Amphisphaera s.l. coronata,16,radiolarians,Amphisphaera coronata s.l.,
Amphistegina bicirculata,838,benthic_forams,Amphistegina bicirculata,
Amphistegina hauerina,838,benthic_forams,Amphistegina hauerina,
Amphistegina lessonii,838,benthic_forams,Amphistegina lessonii,
Amphistegina lobifera,838,benthic_forams,Amphistegina lobifera,
Amphistegina papillosa,838,benthic_forams,Amphistegina papillosa,
Amphistegina radiata,838,benthic_forams,Amphistegina radiata,
Amphistegina sp.,838,benthic_forams,Amphistegina sp.,
Amphistegina spp.,838,benthic_forams,Amphistegina spp.,
Amphistylus angelinus,17,radiolarians,Amphistylus angelinus,
Amphitetras spp.,432847,diatoms,Amphitetras spp.,
Amphora sp.,387135,diatoms,Amphora sp.,
Amphora spp.,387135,diatoms,Amphora spp.,
Amphymenium splendiarmatum,15,radiolarians,Amphymenium splendiarmatum,
Anaulus spp.,71245,diatoms,Anaulus spp.,
Angulogerina aff. fueguina,852,benthic_forams,Angulogerina aff. fueguina,"in PBDB but Unaccepted? Trifarina (Cushman, 1923)"
Angulogerina angulosa,852,benthic_forams,Angulogerina angulosa,"in PBDB but Unaccepted? Trifarina (Cushman, 1923)"
Angulogerina earlandi,852,benthic_forams,Angulogerina earlandi,"in PBDB but Unaccepted? Trifarina (Cushman, 1923)"
Angulogerina fluens,852,benthic_forams,Angulogerina fluens,"in PBDB but Unaccepted? Trifarina (Cushman, 1923)"
Angulogerina pauperata,852,benthic_forams,Angulogerina pauperata,"in PBDB but Unaccepted? Trifarina (Cushman, 1923)"
Annectina sp.,854,benthic_forams,Annectina sp.,
Annellus californicus,82147,diatoms,Annellus californicus,
Anomalacantha dentata,432597,radiolarians,Anomalacantha dentata,
Anomalina aotea,86769,benthic_forams,Anomalina aotea,
Anomalina indica,86769,benthic_forams,Anomalina indica,
Anomalina praeacuta,86769,benthic_forams,Anomalina praeacuta,
Anomalina sp.,86769,benthic_forams,Anomalina sp.,
Anomalina spherica,86769,benthic_forams,Anomalina spherica,
Anomalina spp.,86769,benthic_forams,Anomalina spp.,
Anomalina visenda,86769,benthic_forams,Anomalina visenda,
Anomalinoides acutus,859,benthic_forams,Anomalinoides acutus,
Anomalinoides affinis,859,benthic_forams,Anomalinoides affinis,
Anomalinoides ammonoides,859,benthic_forams,Anomalinoides ammonoides,
Anomalinoides capitatus,859,benthic_forams,Anomalinoides capitatus,
Anomalinoides cf. globulosus,859,benthic_forams,Anomalinoides cf. globulosus,
Anomalinoides fasciatus,859,benthic_forams,Anomalinoides fasciatus,
Anomalinoides globosus,859,benthic_forams,Anomalinoides globosus,
Anomalinoides globulosus,859,benthic_forams,Anomalinoides globulosus,
Anomalinoides orbiculus,859,benthic_forams,Anomalinoides orbiculus,
Anomalinoides parvumbilia,859,benthic_forams; benthic_forams; benthic_forams,Anomalinoides parvumbilianus; Anomalinoides parvumbilius; Anomalinoides parvumbilia,ET species misnamed; ET species misnamed
Anomalinoides piripaua,859,benthic_forams,Anomalinoides piripaua,
Anomalinoides rubiginosus,859,benthic_forams; benthic_forams,Anomalinoides rubignosus; Anomalinoides rubiginosus,
Anomalinoides semicribratus,859,benthic_forams,Anomalinoides semicribratus,
Anomalinoides sp.,859,benthic_forams; benthic_forams,Anomalinoides sp.; Anomalinoides sp. indet.,
Anomalinoides sp. 1,859,benthic_forams,Anomalinoides sp. 1,
Anomalinoides sp. A,859,benthic_forams; benthic_forams,Anomalinoides sp. A; Anomalinoides sp.A,
Anomalinoides sp. B,859,benthic_forams,Anomalinoides sp. B,
Anomalinoides sphericus,859,benthic_forams,Anomalinoides sphericus,
Anomalinoides spissiformis,859,benthic_forams,Anomalinoides spissiformis,
Anomalinoides spp.,859,benthic_forams,Anomalinoides spp.,
Anomalinoides subnonionoides,859,benthic_forams,Anomalinoides subnonionoides,
Antarcticella antarctica,861,benthic_forams,Antarcticella antarctica,
Antarctissa cylindrica,416,radiolarians,Antarctissa cylindrica,
Antarctissa deflandrei,416,radiolarians,Antarctissa deflandrei,
Antarctissa denticulata,416,radiolarians,Antarctissa denticulata,
Antarctissa robusta,416,radiolarians,Antarctissa robusta,
Antarctissa strelkovi,416,radiolarians,Antarctissa strelkovi,
Anthemis sp.,434782,palynology,Anthemis type,
Anthocyrtella ? callopisma,85907,radiolarians,Anthocyrtella (?) callopisma,
Anthocyrtidium angulare,417,radiolarians,Anthocyrtidium angulare,
Anthocyrtidium jenghisi,417,radiolarians,Anthocyrtidium jenghisi,
Anthocyrtidium marieae,417,radiolarians; radiolarians,Anthocyrtidium marieae; Anthocyrtidium  marieae,
Anthocyrtidium ophirense,417,radiolarians; radiolarians,Anthocyrtidium ophirense; Anthocyrtidum ophirense,
Anthocyrtidium pliocenica,417,radiolarians; radiolarians,Anthocyrtidum pliocenica; Anthocyrtidium pliocenica,
Anthocyrtidium sp.,417,radiolarians; radiolarians,Anthocyrtidium sp.; Anthocytidium sp.,misspelling
Anthocyrtidium zanguebaricum,417,radiolarians,Anthocyrtidium zanguebaricum,
Anthocyrtis ehrenbergi var. pliocenica,418,radiolarians,Anthocyrtis ehrenbergi var. pliocenica,
Anthocyrtoma sp.,419,radiolarians,Anthocyrtoma sp.,
Anthocyrtoma spp.,419,radiolarians,Anthocyrtoma spp.,
Aphetocyrtis bianulus,87068,radiolarians,Aphetocyrtis bianulus,
Aphetocyrtis gnomabax,87068,radiolarians,Aphetocyrtis gnomabax,
Aphetocyrtis rossi,87068,radiolarians,Aphetocyrtis rossi,
Apiaceae indet.,183090,palynology,Apiaceae,
Arachnoidiscus ehrenbergi,71246,diatoms,Arachnodiscus ehrenbergi,
Arachnoidiscus spp.,71246,diatoms,Arachnoidiscus spp.,
Aragonia aragonensis,865,benthic_forams,Aragonia aragonensis,
Aragonia materna kugleri,865,benthic_forams,Aragonia materna kugleri,
Aragonia ouezzanensis,865,benthic_forams,Aragonia ouezzanensis,
Aragonia sp.,865,benthic_forams; benthic_forams,Aragonia; Aragonia sp.,
Aragonia sp. 1,865,benthic_forams,Aragonia sp. 1,
Aragonia tenera,865,benthic_forams,Aragonia tenera,
Aragonia zelandica,865,benthic_forams,Aragonia zelandica,
Araniscus lewisianus,432223,diatoms,Araniscus lewisianus,
Araniscus spp.,432223,diatoms,Araniscus spp.,
Archaeoglobigerina australis,71224,planktic_forams,Archaeoglobigerina australis,
Archaeoglobigerina blowi,71224,planktic_forams,Archaeoglobigerina blowi,
Archaeoglobigerina bosquensis,71224,planktic_forams,Archaeoglobigerina bosquensis,
Archaeoglobigerina cretacea,71224,planktic_forams,Archaeoglobigerina cretacea,
Archaeoglobigerina sp.,71224,planktic_forams,Archaeoglobigerina sp.,
Archaeosphaeridium australensis,435929,chrysophyte_cysts,Archaeosphaeridium australensis,
Arcticacysta sp.,435348,palynology,Arcticacysta sp.,
Arenobulimina sp.,879,benthic_forams,Arenobulimina sp.,
Arenobulimina truncata,879,benthic_forams,Arenobulimina truncata,
Arenodosaria antipoda,880,benthic_forams,Arenodosaria antipoda,
Argilloecia spp.,23901,ostracods,Argilloecia spp.,
Arkhangelskiella cymbiformis,87794,nannofossils,Arkhangelskiella cymbiformis,
Arkhangelskiella maastrichtiensis,87794,nannofossils,Arkhangelskiella maastrichtiensis,
Arkhangelskiella sp.,87794,nannofossils,Arkhangelskiella sp.,
Arkhangelskiella specillata,87794,nannofossils,Arkhangelskiella specillata,
Artemisia sp.,434783,palynology,Artemisia,
Articulina alticostata,890,benthic_forams,Articulina alticostata,
Articulina cf. tubulosa,890,benthic_forams,Articulina cf. tubulosa,
Articulina pacifica,890,benthic_forams,Articulina pacifica,
Artobotrys auriculaleporis,86220,radiolarians,Artobotrys auriculaleporis,
Artobotrys biaurita,86220,radiolarians,Artobotrys biaurita,
Artophormis barbadensis,426,radiolarians,Artophormis barbadensis,
Artophormis gracilis,426,radiolarians,Artophormis gracilis,
Aschemonella spp.,424030,benthic_forams,Aschemonella spp.,
Asphodelus sp.,434781,palynology,Asphodelus,
Astacolus bradyi,898,benthic_forams,Astalocus bradyi,
Astacolus crepidulus,898,benthic_forams,Astacolus crepidulus,
Astacolus parallelus,898,benthic_forams,Astacolus parallelus,
Astacolus sp.,898,benthic_forams,Astacolus sp.,
Astacolus spp.,898,benthic_forams,Astacolus spp.,
Aster sp.,434784,palynology,Aster type,
Asterigerina planorbis,899,benthic_forams,Asterigerina planorbis,
Asterigerina sp.,899,benthic_forams,Asterigerina sp.,
Asterigerina spp.,899,benthic_forams,Asterigerina spp.,
Asterigerinata sp.,900,benthic_forams,Asterigerinata sp.,
Asterolampra acutiloba,432982,diatoms,Asterolampra acutiloba,
Asterolampra arachne,432982,diatoms,Asteromphalus arachne,
Asterolampra cleveanus,432982,diatoms,Asteromphalus cleveanus,
Asterolampra concavus,432982,diatoms,Asteromphalus concavus,
Asterolampra eximia,432982,diatoms,Asterolampra eximia,
Asterolampra grevillei,432982,diatoms,Asterolampra grevillei,
Asterolampra marylandica,432982,diatoms,Asterolampra marylandica,
Asteromphalus brookei,82148,diatoms,Astromphalus brookei,genus misspelled
Asteromphalus darwinii,82148,diatoms,Asteromphalus darwinii in Koizumi 1968,
Asteromphalus elegans,82148,diatoms,Asteromphalus elegans,
Asteromphalus flabellatus,82148,diatoms,Asteromphalus flabellatus,
Asteromphalus grevillei,82148,diatoms,Asteromphalus grevillei,
Asteromphalus hookeri,82148,diatoms; diatoms,Asteromphalus hookeri; Asteromphalus hookerii,
Asteromphalus kennettii,82148,diatoms,Asteromphalus kennettii,
Asteromphalus parvulus,82148,diatoms,Asteromphalus parvulus,
Asteromphalus robustus,82148,diatoms,Asteromphalus robustus,
Asteromphalus spp.,82148,diatoms,Asteromphalus spp.,
Asteromphalus symmetricus,82148,diatoms,Asteromphalus symmetricus,
Asterorotalia gaimardii,910,benthic_forams,Asterorotalia gaimardii,
Astrononion antarcticus,911,benthic_forams,Astrononion antarcticus,
Astrononion echolsi,911,benthic_forams,Astrononion echolsi,
Astrononion kickinskii,911,benthic_forams,Astrononion kickinskii,
Astrononion parki,911,benthic_forams,Astrononion parki,
Astrononion sp.,911,benthic_forams; benthic_forams,Astrononion sp. indet.; Astrononion sp.,
Astrononion spp.,911,benthic_forams; benthic_forams,Astorononion spp.; Astrononion spp.,genus misspelled
Astrophacus sp.,34,radiolarians,Astrophacus sp.,
Astrorhiza sp.,912,benthic_forams,Astrorhiza sp.?,
