genus_taxon_name,pbdb_taxon_rank,pbdb_taxon_name,pbdb_taxon_id,checked,genus_taxon_id,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,unranked clade_taxon_id,unranked clade_taxon_name
Euuvigerina,genus,Euuvigerina,1408,True,1408,288974,Foraminifera,212476,Rhizaria,,,,,,,,
Nodosaria,genus,Nodosaria,1952,True,1952,288974,Foraminifera,212476,Rhizaria,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,,
Cibicides,genus,Cibicides,1107,True,1107,288974,Foraminifera,212476,Rhizaria,82208,Cibicididae,,,,,,
Brizalina,genus,Brizalina,1017,True,1017,288974,Foraminifera,212476,Rhizaria,112279,Bolivinidae,,,,,,
Candeina,genus,Candeina,1053,True,1053,288974,Foraminifera,212476,Rhizaria,422277,Candeinidae,,,,,,
Dentoglobigerina,genus,Dentoglobigerina,1264,True,1264,288974,Foraminifera,212476,Rhizaria,82191,Globigerinidae,,,,,,
Globigerina,genus,Globigerina,1498,True,1498,288974,Foraminifera,212476,Rhizaria,82191,Globigerinidae,,,,,,
Globoturborotalita,genus,Globoturborotalita,1529,True,1529,288974,Foraminifera,212476,Rhizaria,82191,Globigerinidae,,,,,,
Globigerinella,genus,Globigerinella,1501,True,1501,288974,Foraminifera,212476,Rhizaria,82191,Globigerinidae,,,,,,
Globigerinita,genus,Globigerinita,1503,True,1503,288974,Foraminifera,212476,Rhizaria,422373,Globigerinitidae,,,,,,
Globigerinoides,genus,Globigerinoides,1504,True,1504,288974,Foraminifera,212476,Rhizaria,82191,Globigerinidae,,,,,,
Trilobatus,genus,Trilobatus,422361,True,422361,288974,Foraminifera,212476,Rhizaria,82191,Globigerinidae,,,,,,
Globoconella,genus,Globoconella,103797,True,103797,288974,Foraminifera,212476,Rhizaria,82192,Globorotaliidae,,,,,,
Globorotalia,genus,Globorotalia,1521,True,1521,288974,Foraminifera,212476,Rhizaria,82192,Globorotaliidae,,,,,,
Neogloboquadrina,genus,Neogloboquadrina,1917,True,1917,288974,Foraminifera,212476,Rhizaria,82192,Globorotaliidae,,,,,,
Orbulina,genus,Orbulina,2002,True,2002,288974,Foraminifera,212476,Rhizaria,82191,Globigerinidae,,,,,,
Pulleniatina,genus,Pulleniatina,2325,True,2325,288974,Foraminifera,212476,Rhizaria,82192,Globorotaliidae,,,,,,
Sphaeroidinellopsis,genus,Sphaeroidinellopsis,2569,True,2569,288974,Foraminifera,212476,Rhizaria,82191,Globigerinidae,,,,,,
