taxon_group,genus name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name
benthic_forams,Asterorotalia,910,Asterorotalia,genus,103768,Rotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Astrononion,911,Astrononion,genus,82211,Nonionidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Awhea,928,Awhea,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Baculogypsina,932,Baculogypsina,genus,112346,Calcarinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Bathysiphon,948,Bathysiphon,genus,113019,Bathysiphonidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Berthelina,957,Berthelina,genus,112328,Gavelinellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Bigenerina,969,Bigenerina,genus,82194,Textulariidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Biloculina,98749,Biloculina,genus,155936,Hauerinidae,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Biloculinella,972,Biloculinella,genus,155936,Hauerinidae,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Bolivina,995,Bolivina,genus,112279,Bolivinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Bolivinella,996,Bolivinella,genus,432449,Bolivinellidae,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Bolivinellina,997,Bolivinellina,genus,155884,Bolivinitidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Bolivinita,998,Bolivinita,genus,155884,Bolivinitidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Bolivinopsis,1000,Bolivinopsis,genus,82194,Textulariidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Borelis,1004,Borelis,genus,98785,Alveolinidae,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Buccella,1023,Buccella,genus,82203,Discorbidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Bulbobaculites,1029,Bulbobaculites,genus,154159,Ammobaculinidae,428780,Lituolida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Bulimina,1032,Bulimina,genus,103766,Buliminidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Buliminella,1033,Buliminella,genus,103766,Buliminidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Calcarina,1042,Calcarina,genus,112346,Calcarinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cancris,1051,Cancris,genus,241044,Bagginidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cassidulina,1064,Cassidulina,genus,103771,Cassidulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cassidulinoides,1067,Cassidulinoides,genus,158932,Islandiellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Caudammina,424049,Caudammina,genus,432447,Hormosinellidae,,,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Ceratobulimina,1075,Ceratobulimina,genus,103771,Cassidulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Ceratocancris,1076,Ceratocancris,genus,112260,Ceratobuliminidae,430090,Robertinida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cerebrina,424052,Cerebrina,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Charltonina,1085,Charltonina,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Chilostomella,1093,Chilostomella,genus,103796,Chilostomellidae,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Chilostomellina,424078,Chilostomellina,genus,82211,Nonionidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Chrysalogonium,1103,Chrysalogonium,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cibicidina,1108,Cibicidina,genus,82208,Cibicididae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cibicidoides,1109,Cibicidoides,genus,82208,Cibicididae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Citharina,1115,Citharina,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Clavulina,1124,Clavulina,genus,103762,Valvulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Clavulinoides,1125,Clavulinoides,genus,428700,Pseudogaudryinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Clinapertina,1128,Clinapertina,genus,82213,Alabaminidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Conglophragmium,424083,Conglophragmium,genus,154152,Lituotubidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Conorboides,1153,Conorboides,genus,432387,Conorboididae,430090,Robertinida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Conorotalites,1154,Conorotalites,genus,82213,Alabaminidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cornuspira,1161,Cornuspira,genus,112295,Cornuspiridae,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Coscinospira,1167,Coscinospira,genus,153354,Peneroplidae,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Coryphostoma,1165,Coryphostoma,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cribrostomoides,1201,Cribrostomoides,genus,103760,Lituolidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cribroelphidium,1184,Cribroelphidium,genus,82206,Elphidiidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cribrorobulina,1197,Cribrorobulina,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cribromiliolinella,240362,Cribromiliolinella,genus,155936,Hauerinidae,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cribronodosaria,1192,Cribronodosaria,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cribrononion,1193,Cribrononion,genus,82211,Nonionidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cristellaria,153335,Cristellaria,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cushmanina,1216,Cushmanina,genus,155901,Ellipsolagenidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cyclammina,1218,Cyclammina,genus,103760,Lituolidae,,,,,288974,Foraminifera,212476,Rhizaria
