genus name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name
Euuvigerina,1408,Euuvigerina,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
Nodosaria,1952,Nodosaria,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
Cibicides,1107,Cibicides,genus,82208,Cibicididae,,,,,288974,Foraminifera,212476,Rhizaria
Brizalina,1017,Brizalina,genus,112279,Bolivinidae,,,,,288974,Foraminifera,212476,Rhizaria
Candeina,1053,Candeina,genus,422277,Candeinidae,,,,,288974,Foraminifera,212476,Rhizaria
Dentoglobigerina,1264,Dentoglobigerina,genus,82191,Globigerinidae,,,,,288974,Foraminifera,212476,Rhizaria
Globigerina,1498,Globigerina,genus,82191,Globigerinidae,,,,,288974,Foraminifera,212476,Rhizaria
Globigerinella,1501,Globigerinella,genus,82191,Globigerinidae,,,,,288974,Foraminifera,212476,Rhizaria
Globigerinita,1503,Globigerinita,genus,422373,Globigerinitidae,,,,,288974,Foraminifera,212476,Rhizaria
Globigerinoides,1504,Globigerinoides,genus,82191,Globigerinidae,,,,,288974,Foraminifera,212476,Rhizaria
Globoconella,103797,Globoconella,genus,82192,Globorotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
Globorotalia,1521,Globorotalia,genus,82192,Globorotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
Globoturborotalita,1529,Globoturborotalita,genus,82191,Globigerinidae,,,,,288974,Foraminifera,212476,Rhizaria
Neogloboquadrina,1917,Neogloboquadrina,genus,82192,Globorotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
Orbulina,2002,Orbulina,genus,82191,Globigerinidae,,,,,288974,Foraminifera,212476,Rhizaria
Pulleniatina,2325,Pulleniatina,genus,82192,Globorotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
Sphaeroidinellopsis,2569,Sphaeroidinellopsis,genus,82191,Globigerinidae,,,,,288974,Foraminifera,212476,Rhizaria
Turborotalita,2740,Turborotalita,genus,82191,Globigerinidae,,,,,288974,Foraminifera,212476,Rhizaria
Abyssamina,762,Abyssamina,genus,103796,Chilostomellidae,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
Acervulina,766,Acervulina,genus,54414,Acervulinidae,,,,,288974,Foraminifera,212476,Rhizaria
