Any taxon above genus,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,kingdom_taxon_id,kingdom_taxon_name
Foraminifera indet.,288974,Foraminifera,phylum,212476,Rhizaria
Dinophyceae indet.,321578,Dinophyceae,class,,
"""Fish scales""",,,,,
"""Fish teeth""",,,,,
"""Otoliths""",,,,,
"""Undifferentiated pollen from herbs""",,,,,
"""Undifferentiated pollen""",,,,,
"""Undifferentiated pollen from shrubs""",,,,,
"""Undifferentiated pollen from trees""",,,,,
"""Reworked palynomorphs""",,,,,
"""Undifferentiated spores from moss or ferns""",,,,,
