expedition name,lithology csv,micropal csv
317,11,16
318,,52
320,16,82
321,,15
323,24,132
324,4,10
327,5,
329,33,
330,7,15
334,4,
336,5,
339,24,130
340,21,36
341,20,59
342,27,90
344,10,24
346,29,78
349,10,27
350,7,15
351,4,16
352,5,5
353,18,23
354,17,27
355,8,22
356,20,56
359,20,34
361,34,23
362,8,29
363,29,39
366,18,
367,4,8
368,11,26
369,11,27
371,11,52
372,1,4
374,9,35
375,10,46
376,21,
