name,taxon_group,pbdb_taxon_id,verbatim_name,comment
? Bulbobaculites sp.,benthic_forams,1029,Bulbobaculites ?,
? Cancris sp.,benthic_forams,1051,Cancris ?,
? Cassidulina sp.,benthic_forams,1064,Cassidulina? sp.,
? Cyclicargolithus luminis,nannofossils,366219,Cyclicargolithus? luminis,
? Cycloclypeus sp.,benthic_forams,1221,Cycloclypeus? sp.,
? Dendrospyris sakaii,radiolarians,491,Dendrospyris ? sakaii,
? Discorbis sp.,benthic_forams,1285,Discorbis?,
? Gavelinopsis sp.,benthic_forams,1481,Gavelinopsis? Sp.,
? Glencoeleberis sp.,ostracods,435350,Glencoeleberis? sp.,
? Globocassidulina sp. 1,benthic_forams,1513,Globocassidulina? sp. 1,
? Hanzawaia sp.,benthic_forams,1581,Hanzawaia? sp.,
? Helotholus haysi,radiolarians,532,Helotholus? haysi,
? Hoeglundina sp.,benthic_forams,1633,Hoeglundina ?,
? Kalamopsis sp.,benthic_forams,1693,Kalamopsis (?); Kalamopsis? sp.,
? Morozovella spp.,planktic_forams,1881,?Morozovella spp.,
? Nitzschia sp. 1,diatoms,82165,Nitzschia? sp. 1,
? Nonion sp.,benthic_forams,1955,Nonion ?,
? Oertliella sp.,ostracods,24349,Oertliella? sp.,
? Operculodinium eirikianum,palynology,264651,Operculodinium? eirikianum,
? Peritiviator dumitricai,radiolarians,166535,Peritiviator(?) dumitricai,
? Planulina sp.,benthic_forams,2149,Planulina? sp.,
? Pterocodon poculum,radiolarians,624,Pterocodon (?) poculum,
? Pyrulina angusta,benthic_forams,2336,Pyrulina? angusta,
? Quadrimorphina sp.,benthic_forams,2341,Quadrimorphina? sp.,
? Rhabdammina sp.,benthic_forams,2410,Rhabdammina? sp.,
? Rhodospyris sp.,radiolarians,85772,Rhodospyris ?sp.,
? Siphocampe acephala,radiolarians,648,Siphocampe? acephala,
? Siphocampe amygdala,radiolarians,648,Siphocampe? amygdala,
? Spongurus sp.,radiolarians,328,Spongurus (?) sp.,
? Trochammina sp.,benthic_forams,2721,Trochammina(?) sp.; Trochamminas? sp.,genus misspelled
? Trochamminoides sp.,benthic_forams,2722,Trochamminoides? sp.,
Abathomphalus intermedia,planktic_forams,758,Abathomphalus intermedia,
Abathomphalus mayaroensis,planktic_forams,758,Abathomphalus mayaroensis,
Abyssamina poagi,benthic_forams,762,Abyssamina poagi,
Abyssamina quadrata,benthic_forams,762,Abyssamina quadrata,
Abyssamina spp.,benthic_forams,762,Abyssammina spp.,
Acanthodesmia spp.,radiolarians,85776,Acanthodesmia spp.,
Acarinina acarinata,planktic_forams,763,Acarinina acarinata,
Acarinina alticonica,planktic_forams,763,Acarinina alticonica,
Acarinina angulosa,planktic_forams,763,Acarinina angulosa,
Acarinina aspensis,planktic_forams,763,Acarinina aspensis,
Acarinina bullbrooki,planktic_forams,763,"Acarinina bullbrooki (Bolli, 1957 p.167, pl.38, figs.5a-b as Globorotalia); Acarinina bullbrooki",
Acarinina cf. medizzi,planktic_forams,763,Acarinina cf. medizzi,
Acarinina coalingensis,planktic_forams,763,Acarinina coalingensis,
Acarinina collactea,planktic_forams,763,Acarinina collactea,
Acarinina cuneicamerata,planktic_forams,763,Acarinina cuneicamerata,
Acarinina densa,planktic_forams,763,Acarinina densa,
Acarinina esnehensis,planktic_forams,763,Acarinina esnaensis; Acarinina esnehensis,
Acarinina mcgowrani,planktic_forams,763,Acarinina mcgowrani,
Acarinina mckannai,planktic_forams,763,Acarinina mckannai,
Acarinina medizzai,planktic_forams,763,Acarinina medizzai,
Acarinina nitida,planktic_forams,763,Acarinina nitida,
Acarinina pentacamerata,planktic_forams,763,Acarinina pentacamerata,
Acarinina praetopilensis,planktic_forams,763,Acarinina praetopilensis,
Acarinina primitiva,planktic_forams,763,Acarinina primitiva,
Acarinina pseudosubsphaerica,planktic_forams,763,"Acarinina pseudosubsphaerica Pearson and Berggren, 2006; Acarinina pseudosubsphaerica",
Acarinina pseudotopilensis,planktic_forams,763,Acarinina pseudotopilensis,
Acarinina punctocarinata,planktic_forams,763,Acarinina punctocarinata,
Acarinina quetra,planktic_forams,763,Acarinina quetra,
Acarinina rohri,planktic_forams,763,Acarinina rohri,
Acarinina sibaiyaensis,planktic_forams,763,Acarinina sibaiyaensis,
Acarinina soldadoensis,planktic_forams,763,Acarinina soldadoensis,
Acarinina spp.,planktic_forams,763,Acarinina spp.,
Acarinina strabocella,planktic_forams,763,Acarinina strabocella,
Acarinina subsphaerica,planktic_forams,763,Acarinina subsphaerica,
Acarinina topilensis,planktic_forams,763,Acarinina topilensis,
Acarinina triplex,planktic_forams,763,Acarinina triplex,
Acarinina wilcoxensis,planktic_forams,763,Acarinina wilcoxensis,
Acervulina mabahethi,benthic_forams,766,Acervulina mabahethi,
Achnanthes brevipes,diatoms,83624,Achnanthes brevipes,
Achnanthes diapar,diatoms,83624,Achnanthes diapar,
Achnanthes inflata,diatoms,83624,Achnanthes inflata,
Achnanthes lanceolata,diatoms,83624,Achnanthes lanceolata,
Achnanthes lanceolatum,diatoms,83624,Achnanthes lanceolatum,
Achnanthes sp.,diatoms,83624,Achnanthes sp.,
Achnanthes spp.,diatoms,83624,Achnanthes spp.,
Achomosphaera spp.,palynology,277048,Achomosphaera spp.,
Acritarcha indet.,dinoflagellates,141161,Acritarchs,
Acrobotrys tritubus,radiolarians,409,Acrobotris tritubus; Acrobotrys tritubus,
Acrocubus octopylus,radiolarians,85782,Acrocubus octopylus,
Acrosphaera australis,radiolarians,9,Acrosphaera australis,
Acrosphaera collina,radiolarians,9,Acrosphaera collina,
Acrosphaera cyrtodon,radiolarians,9,Acrosphaera cyrtodon,
Acrosphaera inflata,radiolarians,9,Acrosphaera inflata,
Acrosphaera lappacea,radiolarians,9,Acrosphaera lappacea,
Acrosphaera murrayana,radiolarians,9,Acrosphaera murrayana,
Acrosphaera sp.,radiolarians,9,Acrosphaera sp.,
Acrosphaera spinosa,radiolarians,9,Acrosphaera spinosa (=Collosphaera spinosa); Acrosphaera spinosa,
Acrosphaera spinosa echinoides,radiolarians,9,Acrosphaera spinosa echinoides,
Acrosphaera spinosa fasciculopora,radiolarians,9,Acrosphaera spinosa fasciculopora,
Acrosphaera trepanata,radiolarians,9,Acrosphaera trepanata,
Actiniscus pentasterias,dinoflagellates,434218,Actiniscus pentasterias,
Actinocyclus actinochilus,diatoms,82146,Actinocyclus actinochilus; Actinocylus actinochilus,genus misspelled
Actinocyclus aff. karstenii,diatoms,82146,Actynocyclus cf. aff. karstenii,
Actinocyclus cf. tsugaruensis,diatoms,82146,Actinocyclus sp. cf. tsugaruensis,
Actinocyclus curvatulus,diatoms,82146,Actinocyclus curvatulus; Actinocycluscurvatulus,genus misspelled
Actinocyclus dimorphus,diatoms,82146,Actinocyclus dimorphus,
Actinocyclus ellipticus,diatoms,82146,Actinocyclus ellipticus,
Actinocyclus ellipticus f. lanceolata,diatoms,82146,Actynocyclus ellipticus fa. lanceolata,
Actinocyclus ellipticus lanceolata,diatoms,82146,Actinocyclus ellipticus f. lanceolata; Actinocyclus ellipticus fa. lanceolata,
Actinocyclus ellipticus var. javanica,diatoms,82146,Actynocyclus ellipticus var. javanica,
Actinocyclus elongatus,diatoms,82146,Actynocyclus elongatus; Actinocyclus elongatus,
Actinocyclus endoi,diatoms,82146,Actinocyclus endoi,
Actinocyclus fasciculatus,diatoms,82146,Actinocyclus fasciculatus,
Actinocyclus fryxellae,diatoms,82146,Actinocyclus fryxellae,
Actinocyclus ingens,diatoms,82146,Actinocyclus ingens,
Actinocyclus ingens ingens,diatoms,82146,Actinocyclus ingens var. ingens,
Actinocyclus ingens nodus,diatoms,82146,Actinocyclus ingens f. nodus; Actinocyclus ingens  var. nodus; Actinocyclus ingens var. nodus,
Actinocyclus ingens ovalis,diatoms,82146,Actinocyclus ingens var. ovalis,
Actinocyclus karstenii,diatoms,82146,Actinocyclus karstenii; Actinocylus karstenii,genus misspelled
Actinocyclus maccollumii,diatoms,82146,Actinocyclus maccollumii,
Actinocyclus mahoodii,diatoms,82146,Actinocyclus mahoodii,
Actinocyclus moronensis,diatoms,82146,Actinocyclus moronensis,
Actinocyclus ochotensis,diatoms,82146,Actinocyclus ochotensis,
Actinocyclus octonarius,diatoms,82146,Actinocyclus octonarius,
Actinocyclus octonarius tenellus,diatoms,82146,Actinocyclus octonarius var. tenellus,
Actinocyclus octonarius var. asteriscus,diatoms,82146,Actinocylus octonarius var. asteriscus,
Actinocyclus oculatus,diatoms,82146,Actinocyclus oculatus,
Actinocyclus robustus,diatoms,82146,Actinocyclus robustus,
Actinocyclus senarius,diatoms,82146,Actinoptychus senarius,
Actinocyclus sp.,diatoms,82146,Actinocyclus sp. cf. A. actinochilus early form,
Actinocyclus sp. 1,diatoms,82146,Actinocyclus sp. 1; Actinocyclus sp.1,
Actinocyclus sp. 2,diatoms,82146,Actinocyclus sp. 2,
Actinocyclus sp. C,diatoms,82146,Actinocyclus sp. C H&M1992,
Actinocyclus sp. F,diatoms,82146,Actinocylus sp. F,
Actinocyclus splendens,diatoms,82146,Actinoptychus splendens,
Actinocyclus spp.,diatoms,82146,Actinocyclus spp.; Actinoptychus spp.,
Actinocyclus subtilis,diatoms,82146,Actinocyclus subtilis,
Actinocyclus undulatus,diatoms,82146,Actinoptychus undulatus,
Actinocyclus vulgaris,diatoms,82146,Actinoptychus vulgaris,
Actinomma antarcticum,radiolarians,10,Actinomma antarcticum,
Actinomma arcadophorum,radiolarians,10,Actinomma arcadophorum,
Actinomma boreale,radiolarians,10,Actinomma boreale,
Actinomma delicatulum,radiolarians,10,Actinomma delicatulum,
Actinomma leptodermum,radiolarians,10,Actinomma leptodermum,
Actinomma leptodermum longispinum,radiolarians,10,Actinomma leptodernum longispinum,
Actinomma medianum,radiolarians,10,Actinomma medianum,
Actinomma popofskii,radiolarians,10,Actinomma popofskii,
Actinomma sp.,radiolarians,10,Actinomma sp.,
Actinoptychus senarius,diatoms,71244,Actinoptycus senarius,genus misspelled
Adelosina ? dubia,benthic_forams,772,Adelosina dubia?,
Ahmuellerella octoradiata,nannofossils,87885,Ahmuellerella octoradiata,
Alabamina cf. dissonata,benthic_forams,788,Alabamina cf. dissonata,
Alabamina creta,benthic_forams,788,Alabamina creta,
Alabamina dissonata,benthic_forams,788,Alabammina dissonata; Alabamina dissonata,
Alabamina sp.,benthic_forams,788,Alabammina sp.; Alabamina sp.,genus misspelled
Alabamina spp.,benthic_forams,788,Alabammina spp.,
Alabamina tenuimarginata,benthic_forams,788,Alabamina tenuimarginata,
Alabaminella sp.,benthic_forams,423746,Alabaminella sp.,
Alabaminella weddelensis,benthic_forams,423746,Alabaminella weddelensis; Alabamminella weddelensis,genus misspelled
Alabaminella weddellensis,benthic_forams,423746,Alabaminella weddellensis; Alabamminella weddellensis,
Algirosphaera robusta,nannofossils,424331,Algirosphaera robusta,
Allomorphina conica,benthic_forams,794,Allomorphina conica,
Allomorphina pacifica,benthic_forams,794,Allomorphina pacifica,
Allomorphina polonica,benthic_forams,794,Allomorphina polonica,
Allomorphina velascoensis,benthic_forams,794,Allomorphina velascoensis,
Allomorphina whangaia,benthic_forams,794,Allomorphina whangaia,
Alnus sp.,palynology,54588,Alnus,
Alveus marinus,diatoms,432678,Alveus marinus; Alveus marina,
Amaurolithus amplificus,nannofossils,388308,Amaurolithus amplificus,
Amaurolithus bizarrus,nannofossils,388308,Amaurolithus bizarrus,
Amaurolithus delicatus,nannofossils,388308,Amaurolithus delicatus,
Amaurolithus primus,nannofossils,388308,Amaurolithus primus,
Amaurolithus spp.,nannofossils,388308,Amaurolithus spp.,
Amaurolithus tricorniculatus,nannofossils,388308,Amaurolithus tricorniculatus,
Ammobaculites agglutinans,benthic_forams,813,Ammobaculites agglutinans,
Ammobaculites filiformis,benthic_forams,813,Ammobaculites filiformis,
Ammobaculites sp.,benthic_forams,813,Ammobaculites sp.,
Ammobaculites wallalensis,benthic_forams,813,Ammobaculites wallalensis,
Ammodiscus cretaceus,benthic_forams,818,Ammodiscus cretaceus,
Ammodiscus latus,benthic_forams,818,Ammodiscus latus,
Ammodiscus sp.,benthic_forams,818,Ammodiscus sp.,
Ammodiscus spp.,benthic_forams,818,Ammodiscus spp.,
Ammodochium rectangulare,ebridians,436068,Ammodochium rectangulare; Ammodochium rectangulare (Ebridian),
Ammoelphidiella pustulosa,benthic_forams,819,Ammoelphidiella pustulosa,
Ammoelphidiella sp.,benthic_forams,819,Ammoelphidiella sp.,
Ammoelphidiella uniforamina,benthic_forams,819,Ammoelphidiella uniforamina,
Ammoglobigerina sp.,benthic_forams,820,Ammoglobigerina sp.,
Ammonia beccarii,benthic_forams,823,Ammonia beccarii,
Ammonia parkinsoniana f. aoteana,benthic_forams,823,Ammonia parkinsoniana f. aoteana,
Ammonia sp.,benthic_forams,823,Ammonia sp.,
Ammonia spp.,benthic_forams,823,Ammonia spp.,
Ammonia tepida,benthic_forams,823,Ammonia tepida,
Ammosphaeroidina pseudopauciloculata,benthic_forams,827,Ammosphaeroidina pseudopauciloculata,
Ammosphaeroidina sp.,benthic_forams,827,Ammoshpaeroidina,
Amphicoryna scalaris,benthic_forams,835,Amphicoryna scalaris,
Amphicoryna separans,benthic_forams,835,Amphicoryna separans,
Amphicoryna sp.,benthic_forams,835,Amphicoryna; Amphicoryna sp.,
Amphicoryna spp.,benthic_forams,835,Amphicoryna spp.,
Amphicraspedum murrayanum,radiolarians,152534,Amphicraspedum murrayanum,
Amphicraspedum prolixum,radiolarians,152534,Amphicraspedum prolixum group,
Amphimelissa setosa,radiolarians,85924,Amphimelissa setosa,
Amphipyndax stocki,radiolarians,414,Amphipyndax stocki,
Amphirhopalum ypsilon,radiolarians,84844,Amphirhopalum ypsilon,
Amphisorus hemprichii,benthic_forams,837,Amphisorus hemprichii,
Amphisphaera coronata,radiolarians,16,Amphisphaera coronata,
Amphisphaera goruna,radiolarians,16,Amphisphaera goruna,
Amphisphaera radiosa,radiolarians,16,Amphisphaera radiosa,
Amphisphaera s.l. coronata,radiolarians,16,Amphisphaera coronata s.l.,
Amphistegina bicirculata,benthic_forams,838,Amphistegina bicirculata,
Amphistegina hauerina,benthic_forams,838,Amphistegina hauerina,
Amphistegina lessonii,benthic_forams,838,Amphistegina lessonii,
Amphistegina lobifera,benthic_forams,838,Amphistegina lobifera,
Amphistegina papillosa,benthic_forams,838,Amphistegina papillosa,
Amphistegina radiata,benthic_forams,838,Amphistegina radiata,
Amphistegina sp.,benthic_forams,838,Amphistegina sp.,
Amphistegina spp.,benthic_forams,838,Amphistegina spp.,
Amphistylus angelinus,radiolarians,17,Amphistylus angelinus,
Amphitetras spp.,diatoms,432847,Amphitetras spp.,
Amphora sp.,diatoms,387135,Amphora sp.,
Amphora spp.,diatoms,387135,Amphora spp.,
Amphymenium splendiarmatum,radiolarians,15,Amphymenium splendiarmatum,
Anaulus spp.,diatoms,71245,Anaulus spp.,
Angulogerina aff. fueguina,benthic_forams,852,Angulogerina aff. fueguina,"in PBDB but Unaccepted? Trifarina (Cushman, 1923)"
Angulogerina angulosa,benthic_forams,852,Angulogerina angulosa,"in PBDB but Unaccepted? Trifarina (Cushman, 1923)"
Angulogerina earlandi,benthic_forams,852,Angulogerina earlandi,"in PBDB but Unaccepted? Trifarina (Cushman, 1923)"
Angulogerina fluens,benthic_forams,852,Angulogerina fluens,"in PBDB but Unaccepted? Trifarina (Cushman, 1923)"
Angulogerina pauperata,benthic_forams,852,Angulogerina pauperata,"in PBDB but Unaccepted? Trifarina (Cushman, 1923)"
Annectina sp.,benthic_forams,854,Annectina sp.,
Annellus californicus,diatoms,82147,Annellus californicus,
Anomalacantha dentata,radiolarians,432597,Anomalacantha dentata,
Anomalina aotea,benthic_forams,86769,Anomalina aotea,
Anomalina indica,benthic_forams,86769,Anomalina indica,
Anomalina praeacuta,benthic_forams,86769,Anomalina praeacuta,
Anomalina sp.,benthic_forams,86769,Anomalina sp.,
Anomalina spherica,benthic_forams,86769,Anomalina spherica,
Anomalina spp.,benthic_forams,86769,Anomalina spp.,
Anomalina visenda,benthic_forams,86769,Anomalina visenda,
Anomalinoides acutus,benthic_forams,859,Anomalinoides acutus,
Anomalinoides affinis,benthic_forams,859,Anomalinoides affinis,
Anomalinoides ammonoides,benthic_forams,859,Anomalinoides ammonoides,
Anomalinoides capitatus,benthic_forams,859,Anomalinoides capitatus,
Anomalinoides cf. globulosus,benthic_forams,859,Anomalinoides cf. globulosus,
Anomalinoides fasciatus,benthic_forams,859,Anomalinoides fasciatus,
Anomalinoides globosus,benthic_forams,859,Anomalinoides globosus,
Anomalinoides globulosus,benthic_forams,859,Anomalinoides globulosus,
Anomalinoides orbiculus,benthic_forams,859,Anomalinoides orbiculus,
Anomalinoides parvumbilia,benthic_forams,859,Anomalinoides parvumbilia; Anomalinoides parvumbilianus; Anomalinoides parvumbilius,ET species misnamed; ET species misnamed
Anomalinoides piripaua,benthic_forams,859,Anomalinoides piripaua,
Anomalinoides rubiginosus,benthic_forams,859,Anomalinoides rubiginosus; Anomalinoides rubignosus,
Anomalinoides semicribratus,benthic_forams,859,Anomalinoides semicribratus,
Anomalinoides sp.,benthic_forams,859,Anomalinoides sp. indet.; Anomalinoides sp.,
Anomalinoides sp. 1,benthic_forams,859,Anomalinoides sp. 1,
Anomalinoides sp. A,benthic_forams,859,Anomalinoides sp. A; Anomalinoides sp.A,
Anomalinoides sp. B,benthic_forams,859,Anomalinoides sp. B,
Anomalinoides sphericus,benthic_forams,859,Anomalinoides sphericus,
Anomalinoides spissiformis,benthic_forams,859,Anomalinoides spissiformis,
Anomalinoides spp.,benthic_forams,859,Anomalinoides spp.,
Anomalinoides subnonionoides,benthic_forams,859,Anomalinoides subnonionoides,
Antarcticella antarctica,benthic_forams,861,Antarcticella antarctica,
Antarctissa cylindrica,radiolarians,416,Antarctissa cylindrica,
Antarctissa deflandrei,radiolarians,416,Antarctissa deflandrei,
Antarctissa denticulata,radiolarians,416,Antarctissa denticulata,
Antarctissa robusta,radiolarians,416,Antarctissa robusta,
Antarctissa strelkovi,radiolarians,416,Antarctissa strelkovi,
Anthemis sp.,palynology,434782,Anthemis type,
Anthocyrtella ? callopisma,radiolarians,85907,Anthocyrtella (?) callopisma,
Anthocyrtidium angulare,radiolarians,417,Anthocyrtidium angulare,
Anthocyrtidium jenghisi,radiolarians,417,Anthocyrtidium jenghisi,
Anthocyrtidium marieae,radiolarians,417,Anthocyrtidium marieae; Anthocyrtidium  marieae,
Anthocyrtidium ophirense,radiolarians,417,Anthocyrtidum ophirense; Anthocyrtidium ophirense,
Anthocyrtidium pliocenica,radiolarians,417,Anthocyrtidium pliocenica; Anthocyrtidum pliocenica,
Anthocyrtidium sp.,radiolarians,417,Anthocytidium sp.; Anthocyrtidium sp.,misspelling
Anthocyrtidium zanguebaricum,radiolarians,417,Anthocyrtidium zanguebaricum,
Anthocyrtis ehrenbergi var. pliocenica,radiolarians,418,Anthocyrtis ehrenbergi var. pliocenica,
Anthocyrtoma sp.,radiolarians,419,Anthocyrtoma sp.,
Anthocyrtoma spp.,radiolarians,419,Anthocyrtoma spp.,
Aphetocyrtis bianulus,radiolarians,87068,Aphetocyrtis bianulus,
Aphetocyrtis gnomabax,radiolarians,87068,Aphetocyrtis gnomabax,
Aphetocyrtis rossi,radiolarians,87068,Aphetocyrtis rossi,
Apiaceae indet.,palynology,183090,Apiaceae,
Arachnoidiscus ehrenbergi,diatoms,71246,Arachnodiscus ehrenbergi,
Arachnoidiscus spp.,diatoms,71246,Arachnoidiscus spp.,
Aragonia aragonensis,benthic_forams,865,Aragonia aragonensis,
Aragonia materna kugleri,benthic_forams,865,Aragonia materna kugleri,
Aragonia ouezzanensis,benthic_forams,865,Aragonia ouezzanensis,
Aragonia sp.,benthic_forams,865,Aragonia sp.; Aragonia,
Aragonia sp. 1,benthic_forams,865,Aragonia sp. 1,
Aragonia tenera,benthic_forams,865,Aragonia tenera,
Aragonia zelandica,benthic_forams,865,Aragonia zelandica,
Araniscus lewisianus,diatoms,432223,Araniscus lewisianus,
Araniscus spp.,diatoms,432223,Araniscus spp.,
Archaeoglobigerina australis,planktic_forams,71224,Archaeoglobigerina australis,
Archaeoglobigerina blowi,planktic_forams,71224,Archaeoglobigerina blowi,
Archaeoglobigerina bosquensis,planktic_forams,71224,Archaeoglobigerina bosquensis,
Archaeoglobigerina cretacea,planktic_forams,71224,Archaeoglobigerina cretacea,
Archaeoglobigerina sp.,planktic_forams,71224,Archaeoglobigerina sp.,
Archaeosphaeridium australensis,chrysophyte_cysts,435929,Archaeosphaeridium australensis,
Arcticacysta sp.,palynology,435348,Arcticacysta sp.,
Arenobulimina sp.,benthic_forams,879,Arenobulimina sp.,
Arenobulimina truncata,benthic_forams,879,Arenobulimina truncata,
Arenodosaria antipoda,benthic_forams,880,Arenodosaria antipoda,
Argilloecia spp.,ostracods,23901,Argilloecia spp.,
Arkhangelskiella cymbiformis,nannofossils,87794,Arkhangelskiella cymbiformis,
Arkhangelskiella maastrichtiensis,nannofossils,87794,Arkhangelskiella maastrichtiensis,
Arkhangelskiella sp.,nannofossils,87794,Arkhangelskiella sp.,
Arkhangelskiella specillata,nannofossils,87794,Arkhangelskiella specillata,
Artemisia sp.,palynology,434783,Artemisia,
Articulina alticostata,benthic_forams,890,Articulina alticostata,
Articulina cf. tubulosa,benthic_forams,890,Articulina cf. tubulosa,
Articulina pacifica,benthic_forams,890,Articulina pacifica,
Artobotrys auriculaleporis,radiolarians,86220,Artobotrys auriculaleporis,
Artobotrys biaurita,radiolarians,86220,Artobotrys biaurita,
Artophormis barbadensis,radiolarians,426,Artophormis barbadensis,
Artophormis gracilis,radiolarians,426,Artophormis gracilis,
Aschemonella spp.,benthic_forams,424030,Aschemonella spp.,
Asphodelus sp.,palynology,434781,Asphodelus,
Astacolus bradyi,benthic_forams,898,Astalocus bradyi,
Astacolus crepidulus,benthic_forams,898,Astacolus crepidulus,
Astacolus parallelus,benthic_forams,898,Astacolus parallelus,
Astacolus sp.,benthic_forams,898,Astacolus sp.,
Astacolus spp.,benthic_forams,898,Astacolus spp.,
Aster sp.,palynology,434784,Aster type,
Asterigerina planorbis,benthic_forams,899,Asterigerina planorbis,
Asterigerina sp.,benthic_forams,899,Asterigerina sp.,
Asterigerina spp.,benthic_forams,899,Asterigerina spp.,
Asterigerinata sp.,benthic_forams,900,Asterigerinata sp.,
Asterolampra acutiloba,diatoms,432982,Asterolampra acutiloba,
Asterolampra arachne,diatoms,432982,Asteromphalus arachne,
Asterolampra cleveanus,diatoms,432982,Asteromphalus cleveanus,
Asterolampra concavus,diatoms,432982,Asteromphalus concavus,
Asterolampra eximia,diatoms,432982,Asterolampra eximia,
Asterolampra grevillei,diatoms,432982,Asterolampra grevillei,
Asterolampra marylandica,diatoms,432982,Asterolampra marylandica,
Asteromphalus brookei,diatoms,82148,Astromphalus brookei,genus misspelled
Asteromphalus darwinii,diatoms,82148,Asteromphalus darwinii in Koizumi 1968,
Asteromphalus elegans,diatoms,82148,Asteromphalus elegans,
Asteromphalus flabellatus,diatoms,82148,Asteromphalus flabellatus,
Asteromphalus grevillei,diatoms,82148,Asteromphalus grevillei,
Asteromphalus hookeri,diatoms,82148,Asteromphalus hookeri; Asteromphalus hookerii,
Asteromphalus kennettii,diatoms,82148,Asteromphalus kennettii,
Asteromphalus parvulus,diatoms,82148,Asteromphalus parvulus,
Asteromphalus robustus,diatoms,82148,Asteromphalus robustus,
Asteromphalus spp.,diatoms,82148,Asteromphalus spp.,
Asteromphalus symmetricus,diatoms,82148,Asteromphalus symmetricus,
Asterorotalia gaimardii,benthic_forams,910,Asterorotalia gaimardii,
Astrononion antarcticus,benthic_forams,911,Astrononion antarcticus,
Astrononion echolsi,benthic_forams,911,Astrononion echolsi,
Astrononion kickinskii,benthic_forams,911,Astrononion kickinskii,
Astrononion parki,benthic_forams,911,Astrononion parki,
Astrononion sp.,benthic_forams,911,Astrononion sp. indet.; Astrononion sp.,
Astrononion spp.,benthic_forams,911,Astrononion spp.; Astorononion spp.,genus misspelled
Astrophacus sp.,radiolarians,34,Astrophacus sp.,
Astrorhiza sp.,benthic_forams,912,Astrorhiza sp.?,
Astrorhizidae indet.,benthic_forams,147614,Astrorhizids,
Aulacodiscus brownei,diatoms,71247,Aulacodiscus brownei,
Aulacoseira granulata,diatoms,432983,Aulacoseira granulata,
Aulacoseira spp.,diatoms,432983,Aulacoseira spp.,
Awhea spp.,benthic_forams,928,Awhea spp.,"in PBDB but Not accepted, Accepted as Staffia (Schubert, 1911)"
Awhea tosta,benthic_forams,928,Awhea tosta,
