Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,normalized_name,taxon_group,verbatim_name,name comment field,Comment,Notes (change to Internal only notes?),comments
,,Euuvigerina,,,,miozea,,,,Euuvigerina miozea,benthic_forams,Euuvigerina miozea (group) >100 m,,group,"Summer 2020: enter ""Euuvigerina miozea"" and reproduce the entry as comment LL: agree with this b/c the way this is listed does not make sense AF: let's have a benthic foram person review ones that we make calls like this Spring 2021: AF: From ET, despite reservations about Euuvigerina being not a good genus to use, the 'group' refers to the waterdepth (>100 m). Both could be moved to the comment field",Euuvigerina miozea (group) >100 m
,,Euuvigerina,,,,rodleyi,,,,Euuvigerina rodleyi,benthic_forams,Euuvigerina rodleyi (group) >50 m,,group,"Summer 2020: enter ""Euuvigerina miozea"" and reproduce the entry as comment? LL: same as above",Euuvigerina rodleyi (group) >50 m
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Others,,not a taxa,Andy,other benthic foraminifera
Pleurostomellidae indet.,,,,,,,,,,Pleurostomellidae indet.,benthic_forams,Pleurostomellids comment,,not a taxa,Andy,
Ostracoda indet.,,,,,,,,,,Ostracoda indet.,benthic_forams,Ostracoda spp.,Ostracoda spp.,group abundance,"Summer 2020: go in as Ostracoda indet, and the abu? LL: I think of spp. and indet. as two different things. Can we just list as Ostracoda with out the modifier? Unfortunately no, and strict taxonomic rule doesn't allow spp. above the generic level AF: I agree with Leah about the difference, but if that's the way we have to do it then that's the way it should be done.",
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Elongated,Elongated,not a taxa,"Summer 2020: Andy; AF: same as above. I bet this was one person. TBH, if I were seeing loads of benthics in my samples, i wonder if this is what would happen? hmm",
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Planispiral,Planispiral,not a taxa,Summer 2020: Andy AF: Can't do better than 'benthic foraminifer' with this level of detail. Boooooooooooooooooo,
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Trochospiral,Trochospiral,not a taxa,"Summer 2020: Andy; AF: Same, this is a morphological grouping that is nonsense at a taxonomic level. Benthic foraminifer",
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_forams,Tube-shaped agglutinated forms,Tube-shaped agglutinated forms,not a taxa,"Summer 2020: ""Agglutinated"" isn't a taxonomic name, so go in as ‎Foraminifera indet., this text as comment? Andy, could this be resolved further? AF: Agglutinates are the subclass Textulariia http://www.marinespecies.org/foraminifera/aphia.php?p=sourcedetails&id=131347",
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_forams,Unidentified agglutinants,Unidentified agglutinants,not a taxa,"Summer 2020: ""Agglutinated"" isn't a taxonomic name, so go in as ‎Foraminifera indet., this text as comment? Andy, could this be resolved further?; AF: Agglutinates are a subclass (lots of our taxonomic hierarchy at the higher level is based on test construction), so we can do Textulariia (subclass) as best.",
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Unidentified benthic forams,,not a taxa,"Summer 2020: Andy; AF: This however sucks and can only be benthic foraminifera. Which given the way the taxonomy is, means that we can't do better than Foraminifera. Benthics are a big group.",
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Unilocular species,,not a taxa,Summer 2020: Andy; AF: Foraminifera,
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Tapered,Tapered,not a taxa,"Summer 2020: Andy; AF: Same, this is a morphological grouping that is nonsense at a taxonomic level. Benthic foraminifer",
,,Nodosaria,,,,spp.,,,,Nodosaria spp.,benthic_forams,Nodosariid taxa,Nodosariid taxa,not a taxa; Nodosariata (class) or Nodosariana (subclass)?,Summer 2020: Andy AF: genus Nodosaria,
,,Nodosaria,,,,spp.,,,,Nodosaria spp.,benthic_forams,Nodosariids,Nodosariids,not a taxa; Nodosariata (class) or Nodosariana (subclass)?,Summer 2020: Andy AF: genus Nodosaria,
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_forams,Agglutinated,Agglutinated,not a specific taxa,"Summer 2020: ""Agglutinated"" isn't a taxonomic name, so go in as ‎Foraminifera indet., this text as comment? Andy, could this be resolved further? AF: Agglutinates are the subclass Textulariia http://www.marinespecies.org/foraminifera/aphia.php?p=sourcedetails&id=131347",
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_forams,Agglutinated gen. et sp. indet.,Agglutinated gen. et sp. indet.,not a specific taxa,"""Agglutinated"" isn't a taxonomic name, so go in as ‎Foraminifera indet., this text as comment? Andy, could this be resolved further?",
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_forams,Agglutinated spp. (indeterminate),Agglutinated spp. (indeterminate),not a specific taxa,"""Agglutinated"" isn't a taxonomic name, so go in as ‎Foraminifera indet., this text as comment? Andy, could this be resolved further?",
,,Cibicides,,,,spp.,,,,Cibicides spp.,benthic_forams,Cibicides/Cibicidoides spp.,Cibicides/Cibicidoides spp.,multiple taxa names,"Summer 2020: IDK these; deal with later? Andy? Cibicides is the correct, current name, but Cibicidoides still gets used because Geochemists don't do taxonomy *shakes fist*.",
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_forams,Calcareous gen. et sp. indet.,Calcareous gen. et sp. indet.,not a taxa name,"Summer 2020: Andy - enter as ""Foraminifera"", entry as a comment? AF: Yes.",
,,Brizalina,,,,spp.,,,,Brizalina spp.,benthic_forams,Bolivina/Brizalina spp.,Bolivina/Brizalina spp.,multiple taxa names,Summer 2020: IDK these; deal with later? Andy? LL: Brizalina is an older genera name that is now Bolivina; entry as comment; AF yep!,
,,Candeina,,,,nitida,,,,Candeina nitida,planktic_forams,Candeina nitida,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Dentoglobigerina,,,,altispira,,,,Dentoglobigerina altispira,planktic_forams,Dentoglobigerina altispira,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Dentoglobigerina,,,,baroemoenensis,,,,Dentoglobigerina baroemoenensis,planktic_forams,Dentoglobigerina baroemoenensis,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerina,,,,bulloides,,,,Globigerina bulloides,planktic_forams,Globigerina bulloides,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerina,,,,falconensis,,,,Globigerina falconensis,planktic_forams,Globigerina falconensis,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerina,,,,rubescens,,,,Globigerina rubescens,planktic_forams,Globigerina rubescens,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerinella,,,,calida,,,,Globigerinella calida,planktic_forams,Globigerinella calida,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerinella,,,,siphonifera,,,,Globigerinella siphonifera,planktic_forams,Globigerinella siphonifera,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerinita,,,,glutinata,,,,Globigerinita glutinata,planktic_forams,Globigerinita glutinata,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerinoides,,,,bulloideus,,,,Globigerinoides bulloideus,planktic_forams,Globigerinoides bulloideus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerinoides,,,,conglobatus,,,,Globigerinoides conglobatus,planktic_forams,Globigerinoides conglobatus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerinoides,,,,extremus,,,,Globigerinoides extremus,planktic_forams,Globigerinoides extremus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerinoides,,,,fistulosus,,,,Globigerinoides fistulosus,planktic_forams,Globigerinoides fistulosus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerinoides,,,,immaturus,,,,Globigerinoides immaturus,planktic_forams,Globigerinoides immaturus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerinoides,,,,obliquus,,,,Globigerinoides obliquus,planktic_forams,Globigerinoides obliquus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerinoides,,,,pyramidalis,,,,Globigerinoides pyramidalis,planktic_forams,Globigerinoides pyramidalis,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerinoides,,,s.l.,ruber,,,,Globigerinoides s.l. ruber,planktic_forams,"Globigerinoides ruber s.l. Wang, 2000","Globigerinoides ruber s.l. Wang, 2000",,"in PBDB, so it will be classified correctly; this is a planktic foram","Globigerinoides ruber s.l. Wang, 2000"
,,Globigerinoides,,,s.s.,ruber,,,,Globigerinoides s.s. ruber,planktic_forams,Globigerinoides ruber s.s.,Globigerinoides ruber s.s.,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerinoides,,,,sacculifer,,,,Globigerinoides sacculifer,planktic_forams,Globigerinoides sacculifer,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerinoides,,,,sacculifer,,,without sac,Globigerinoides sacculifer (without sac),planktic_forams,Globigerinoides sacculifer (without sac),Globigerinoides sacculifer (without sac),,"Andy, how would you  handle this?  comment field (i.e., informal modifier) or formal subspecies modifier?; this is a planktic foram",Globigerinoides sacculifer (without sac)
,,Globigerinoides,,,,subquadratus,,,,Globigerinoides subquadratus,planktic_forams,Globigerinoides subquadratus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globigerinoides,,,,trilobus,,,,Globigerinoides trilobus,planktic_forams,Globigerinoides trilobus,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globoconella,,,,inflata,,,,Globoconella inflata,planktic_forams,Globoconella inflata,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
,,Globorotalia,,,,crassaformis,,,,Globorotalia crassaformis,planktic_forams,Globorotalia crassaformis,,,"in PBDB, so it will be classified correctly; this is a planktic foram",
