Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,normalized_name,taxon_group,verbatim_name,initial_comments,comments
,,Bachmannocena,,,,pappii,,,,Bachmannocena pappii,silicoflagellates,Bachmannocena pappii,,
,,Distephanus,,,,crux,,,,Distephanus crux,silicoflagellates,Distephanus crux,,
,,Corbisema,,,,flexuosa,,,,Corbisema flexuosa,silicoflagellates,Corbisema flexuosa,,
,,Dictyocha,,,,deflandrei,,,,Dictyocha deflandrei,silicoflagellates,Dictyocha deflandrei,,
,,Dictyocha,,,,frenguellii,,,,Dictyocha frenguellii,silicoflagellates,Dictyocha frenguellii,,
,,Distephanus,,,,boliviensis,,,,Distephanus boliviensis,silicoflagellates,Distephanus boliviensis (binoculoid),,Distephanus boliviensis (binoculoid)
,,Distephanus,,,,crux,,,,Distephanus crux,silicoflagellates,Distephanus crux group,,
,,Distephanus,,,,pseudofibulua,,,,Distephanus pseudofibulua,silicoflagellates,Distephanus pseudofibulua,,
,,Distephanus,,,,speculum,,,,Distephanus speculum,silicoflagellates,Distephanus speculum,,
,,Mesocena,,,,diodon,,diodon,,Mesocena diodon diodon,silicoflagellates,Mesocena diadon diadon,misspelling,
,,Naviculopsis,,,,foliacea,,,,Naviculopsis foliacea,silicoflagellates,Naviculopsis foliacea,,
