taxon_group,Any taxon above genus,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name
benthic_forams,Foraminifera indet.,288974,Foraminifera,phylum,,,,,,,,,212476,Rhizaria
benthic_forams,Pleurostomellidae indet.,155922,Pleurostomellidae,family,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Ostracoda indet.,22826,Ostracoda,class,,,,,,,18891,Arthropoda,325038,Animalia
benthic_forams,Textulariia indet.,434530,Textulariia,subclass,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Elphidiidae indet.,82206,Elphidiidae,family,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Astrorhizidae indet.,147614,Astrorhizidae,family,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Trochamminidae indet.,112265,Trochamminidae,family,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Discorboidea indet.,429726,Discorboidea,superfamily,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Miliolidae indet.,81704,Miliolidae,family,,,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nodosariidae indet.,82197,Nodosariidae,family,,,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nonionidae indet.,82211,Nonionidae,family,,,,,,,288974,Foraminifera,212476,Rhizaria
radiolarians,"""Challengeria spp.""",,,,,,,,,,,,,
benthic_forams,Miliolina indet.,108193,Miliolina,suborder,,,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Stilostomellidae indet.,155931,Stilostomellidae,family,,,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
