Any taxon above genus,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,unranked clade_taxon_id,unranked clade_taxon_name
Textulariia indet.,434530,Textulariia,subclass,288974,Foraminifera,212476,Rhizaria,,,,,,
Foraminifera indet.,288974,Foraminifera,phylum,,,212476,Rhizaria,,,,,,
Dinoflagellata indet.,354791,Dinoflagellata,superclass,277918,Myzozoa,,,,,,,,
Ostracoda indet.,22826,Ostracoda,class,18891,Arthropoda,325038,Animalia,,,,,,
Bryozoa indet.,24773,Bryozoa,phylum,,,325038,Animalia,,,,,,
Echinoidea indet.,32733,Echinoidea,class,30739,Echinodermata,325038,Animalia,,,,,,
"""Fish scales""",,,,,,,,,,,,,
"""Fish teeth""",,,,,,,,,,,,,
Holothuriidae indet.,60668,Holothuriidae,family,30739,Echinodermata,325038,Animalia,31262,Aspidochirotida,31227,Holothuroidea,,
Bivalvia indet.,16005,Bivalvia,class,7805,Mollusca,325038,Animalia,,,,,,
Gastropoda indet.,8304,Gastropoda,class,7805,Mollusca,325038,Animalia,,,,,,
"""Otoliths""",,,,,,,,,,,,,
Radiolaria indet.,4,Radiolaria,phylum,,,212476,Rhizaria,,,,,,
Scaphopoda indet.,8166,Scaphopoda,class,7805,Mollusca,325038,Animalia,,,,,,
"""Undifferentiated pollen from herbs""",,,,,,,,,,,,,
"""Undifferentiated pollen""",,,,,,,,,,,,,
"""Undifferentiated pollen from shrubs""",,,,,,,,,,,,,
"""Undifferentiated pollen from trees""",,,,,,,,,,,,,
"""Reworked palynomorphs""",,,,,,,,,,,,,
"""Undifferentiated spores from moss or ferns""",,,,,,,,,,,,,
Pteridophyta indet.,54828,Pteridophyta,phylum,,,54311,Plantae,,,,,,
Mollusca indet.,7805,Mollusca,phylum,,,325038,Animalia,,,,,,
Dictyochaceae indet.,69592,Dictyochaceae,family,,,,,69591,Phytomastigophora,69590,Chrysophyceae,28595,Life
