,genus name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank
141,Gavelinella,1480,Gavelinella,genus
142,Gavelinopsis,1481,Gavelinopsis,genus
143,Glabratella,1490,Glabratella,genus
144,Glandulina,1492,Glandulina,genus
145,Glandulonodosaria,432133,Glandulonodosaria,genus
146,Globobulimina,1512,Globobulimina,genus
147,Globocassidulina,1513,Globocassidulina,genus
148,Globorotalites,1522,Globorotalites,genus
149,Globulina,1531,Globulina,genus
150,Globulotuba,432132,Globulotuba,genus
151,Glomospira,1535,Glomospira,genus
152,Glomospirella,1537,Glomospirella,genus
153,Grigelis,1550,Grigelis,genus
154,Guttulina,1563,Guttulina,genus
155,Gyroidina,1566,Gyroidina,genus
156,Gyroidinoides,1568,Gyroidinoides,genus
157,Hanzawaia,1581,Hanzawaia,genus
158,Haplophragmoides,1586,Haplophragmoides,genus
159,Hauerina,1591,Hauerina,genus
160,Hauerinella,433663,Hauerinella,genus
161,Haynesina,1594,Haynesina,genus
162,Heronallenia,1616,Heronallenia,genus
163,Heterolepa,1621,Heterolepa,genus
164,Heterostegina,1623,Heterostegina,genus
165,Hoeglundina,1633,Hoeglundina,genus
166,Hopkinsina,1641,Hopkinsina,genus
167,Hormosina,1643,Hormosina,genus
168,Hyalinea,1653,Hyalinea,genus
169,Hyalinonetrion,1654,Hyalinonetrion,genus
170,Hyperammina,1657,Hyperammina,genus
171,Inaequalina,1666,Inaequalina,genus
172,Islandiella,1679,Islandiella,genus
173,Kalamopsis,1693,Kalamopsis,genus
174,Karreria,1701,Karreria,genus
175,Karreriella,1702,Karreriella,genus
176,Karrerulina,288159,Karrerulina,genus
177,Laevidentalina,1736,Laevidentalina,genus
178,Lagena,1739,Lagena,genus
179,Lamarckina,1744,Lamarckina,genus
180,Latibolivina,1756,Latibolivina,genus
181,Laticarinina,1757,Laticarinina,genus
182,Lenticulina,1763,Lenticulina,genus
183,Lenticulinella,1764,Lenticulinella,genus
184,Lepidocyclina,1765,Lepidocyclina,genus
185,Liebusella,1771,Liebusella,genus
186,Lingulina,1775,Lingulina,genus
187,Lobatula,1786,Lobatula,genus
188,Loxostomina,1793,Loxostomina,genus
189,Loxostomum,1795,Loxostomum,genus
190,Marginulina,1810,Marginulina,genus
191,Marginulinopsis,1812,Marginulinopsis,genus
192,Martinotiella,1817,Martinottiella,genus
193,Marssonella,1815,Marssonella,genus
194,Martinottiella,1817,Martinottiella,genus
195,Matanzia,1820,Matanzia,genus
196,Melonis,1836,Melonis,genus
197,Migros,1846,Migros,genus
198,Miliammina,1849,Miliammina,genus
199,Miliolinella,1852,Miliolinella,genus
200,Monalysidium,240608,Monalysidium,genus
201,Mucronina,1884,Mucronina,genus
202,Myllostomella,433665,Myllostomella,genus
203,Neobulimina,1908,Neobulimina,genus
204,Neoconorbina,97769,Neoconorbina,genus
205,Neoeponides,1913,Neoeponides,genus
206,Neoflabellina,1914,Neoflabellina,genus
207,Neolenticulina,1920,Neolenticulina,genus
208,Neorotalia,1925,Neorotalia,genus
209,Nodogenerina,1945,Nodogenerina,genus
210,Nodosarella,1951,Nodosarella,genus
211,Nonion,1955,Nonion,genus
212,Nonionella,1956,Nonionella,genus
