Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Toweius gammation,Sphenolithus stellatus,Sphenolithus spiniger,Sphenolithus radians,Sphenolithus moriformis,Rhabdosphaera inflata,Reticulofenestra samodurovii,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Pontosphaera segmenta,Pedinocyclus larvalis,Neocrepidolithus sp.,Nannotetrina sp. (small),Markalius sp. 1,Lophodolithus acutus,Holococcolith type A,Helicosphaera seminulum,Helicosphaera lophota,Ericsonia formosa,Discoaster sublodoensis,Discoaster lodoensis,Discoaster kuepperi,Discoaster barbadiensis,Cyclicargolithus floridanus,Cruciplacolithus vanheckae,Cruciplacolithus spp.,Coccolithus pelagicus,Coccolithus eopelagicus,Chiasmolithus solitus,Chiasmolithus grandis,Campylosphaera dela,Nannotetrina alata,Lophodolithus mochlophorus,Ericsonia pacifica,Discoaster saipanensis,Cruciplacolithus staurion,Coccolithus sp.1,Chiasmolithus medius,Chiasmolithus consuetus,Calcidiscus protoannulus,Triquetrorhabdulus carinatus,Sphenolithus (all Sphenolithus taxa),Reticulofenestra reticulata,Reticulofenestra bisecta,Helicosphaerid (all Helicosphaerid taxa),Discoaster (all Discoaster taxa),Coronocyclus nitescens,Coccolithus formosus,Clausicoccus fenestratus,Chiasmoliths (all Chiasmolith taxa),Bramletteius serraculoides,Sphenolithus sp. 1,Chiasmolithus expansus,Markalius inversus,Cruciplacolithus cf. tarquinius,Cyclolithella kalianata,Sphenolithus pseudoradians,Markalius sp. 2,Chiasmolithus titus,Chiasmolithus gigas,Sphenolithus furcatolithoides,Discoaster tanii,Pontosphaera formosa,Nannotetrina austriacus,Toweius? sp. 1,Pontosphaera scissura,Helicosphaera heezenii,Cribrocentrum reticulatum,Discoaster bifax,Discoaster nodifer,Calcidiscus kingii,Cruciplacolithus cruciformis,Reticulofenestra umbilica,Discoaster deflandrei,Helicosphaera compacta,Dictyococcites scrippsae,Sphenolithus obtusus,Sphenolithus intercalaris,Dictyococcites bisectus,Sphenolithus predistentus,Helicosphaera reticulata,Hayella situliformis,Isthmolithus recurvus,Ericsonia subdisticha,Braarudosphaera bigelowii,Ericsonia obruta,Lanternithus minutus,Helicosphaera euphratis,Cruciplacolithus tarquinius,Helicosphaera wilcoxonii,Helicosphaera intermedia,Sphenolithus aff. distentus,Discoaster adamanteus,Helicosphaera perch-nielseniae,Helicosphaera bramlettei,Chiasmolithus altus,Cyclicargolithus abisectus,Sphenolithus distentus,Sphenolithus aff. ciperoensis,Sphenolithus ciperoensis,Triquetrorhabdulus milowii,Coccolithus miopelagicus,Coccolithus fuscus,Catinaster umbrellus,Crassidiscus backmanii,Sphenolithus dissimilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,115, 711,A,  9,H, 6,  40.00,     83.5000,Okada    ,Nannofossils                                 ,A              ,M                 ,                       ,                 ,                      ,                     ,                    ,10.0%                  ,                     ,                            ,                         ,                                 ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,64.0%                      ,                          ,                     ,13.0%                ,                       ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,                        ,4.0%                        ,                                    ,                           ,                        ,                                        ,                                ,R                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,3.0%                 ,                      ,F                       ,                    ,                         ,F                      ,                         ,                        ,                    ,                     ,                     ,                         ,F               ,                    ,                       ,                           ,                        ,                        ,                           ,F                    ,                              ,                        ,                   ,F                         ,                      ,                             ,F                       ,R                         ,F                       ,F                 ,F                   ,                      ,2.0%                   ,from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 711,A,  9,H, 6, 100.00,     84.1000,Wei      ,Nannofossils                                 ,               ,                  ,                       ,                 ,                      ,                     ,                    ,                       ,                     ,                            ,                         ,.0%                              ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,32.7%                      ,                          ,                     ,6.8%                 ,                       ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,.0%                     ,3.2%                        ,.3%                                 ,.0%                        ,.3%                     ,.0%                                     ,8.6%                            ,.3%                   ,.0%                 ,4.1%                    ,.0%                                ,.0%                       ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,                     ,                      ,                        ,                    ,                         ,                       ,                         ,                        ,                    ,                     ,                     ,                         ,                ,                    ,                       ,                           ,                        ,                        ,                           ,                     ,                              ,                        ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from ODP Leg 120 SR Vol 2  Chapter 55 Table 1 p 984-985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,115, 711,A,  9,H,CC,  14.00,     85.0900,Okada    ,Nannofossils                                 ,A              ,M                 ,                       ,                 ,                      ,                     ,                    ,29.0%                  ,                     ,                            ,                         ,                                 ,R                    ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,33.0%                      ,                          ,                     ,17.0%                ,R                      ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,                        ,1.0%                        ,                                    ,                           ,                        ,                                        ,                                ,R                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,6.0%                 ,                      ,F                       ,                    ,                         ,F                      ,                         ,                        ,                    ,                     ,                     ,                         ,2.0%            ,                    ,R                      ,                           ,                        ,                        ,                           ,F                    ,                              ,                        ,                   ,1.0%                      ,                      ,                             ,4.0%                    ,R                         ,F                       ,F                 ,F                   ,                      ,2.0%                   ,slight reworking.from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,115, 711,A, 10,H, 1,  40.00,     85.6000,Okada    ,Nannofossils                                 ,A              ,M                 ,                       ,                 ,                      ,                     ,                    ,20.0%                  ,                     ,                            ,                         ,                                 ,R                    ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,47.0%                      ,                          ,                     ,13.0%                ,                       ,                     ,                     ,                   ,                  ,                          ,                  ,rR                    ,                         ,                ,                    ,                       ,                        ,2.0%                        ,                                    ,                           ,                        ,                                        ,                                ,F                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,6.0%                 ,                      ,R                       ,                    ,                         ,F                      ,                         ,                        ,                    ,                     ,                     ,                         ,3.0%            ,                    ,R                      ,                           ,                        ,                        ,                           ,R                    ,                              ,                        ,                   ,F                         ,                      ,R                            ,2.0%                    ,R                         ,F                       ,R                 ,1.0%                ,                      ,3.0%                   ,slight reworking.from 115 SR. Chapter 14. Table 11. pages 154-155.
