leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id,sample
74,526,C,12,3,0.0,150.0,261.00,264.00,265.50,PEB, FOSSILIFEROUS SAND, PALE ORANGE,,, PEBBLES,," ALGAE,FORAMINIFERS,BRYOZOANS",, FIRM, 00000000,ee87ded9c3a551d84122a68e70a3cba4,74-526C-12-3
74,526,C,12,4,0.0,150.0,261.00,265.50,267.00,SOC, FOSSILIFEROUS SAND, PALE ORANGE,,, PEBBLES,," ALGAE,FORAMINIFERS,BRYOZOANS",, FIRM, 00000000,a07d763c006cfdbc54b47c20549b279c,74-526C-12-4
74,526,C,12,5,0.0,150.0,261.00,267.00,268.50,SOC, FOSSILIFEROUS SAND, PALE ORANGE,,, PEBBLES,," ALGAE,FORAMINIFERS,BRYOZOANS",, FIRM, 00000000,3874abf8e531d3f5acd0f50a116f8ace,74-526C-12-5
74,526,C,12,6,0.0,12.0,261.00,268.50,268.62,SOC, FOSSILIFEROUS SAND, PALE ORANGE,,, PEBBLED,," ALGAE,FORAMINIFERS,BRYOZOANS",, FIRM, 00000000,8012f2fab8a3b5bdb2ce9b1b412f7133,74-526C-12-6
74,526,C,12,CC,0.0,20.0,261.00,268.72,268.82,SOC, FOSSILIFEROUS SAND, PALE ORANGE,,, PEBBLES,," ALGAE,FORAMINIFERS,BRYOZOANS",, FIRM, 00000000,485663a1aa499d1257a07f2896cf4249,74-526C-12-CC
74,526,C,13,1,0.0,150.0,270.50,270.50,272.00,PEB, CALCAREOUS FOSSILIFEROUS SANDSTONE, PALE ORANGE,,, CALCITE,," FORAMINIFERS,BRYOZOANS, UNIDENTIFIED CALCAREOUS FOSSILS",, FIRM, 00000000,03624970296d6549c95a3f2ec45cd1cd,74-526C-13-1
74,526,C,13,2,0.0,65.0,270.50,272.00,272.65,SOC, CALCAREOUS FOSSILIFEROUS SANDSTONE, PALE ORANGE,,, CALCITE,," FORAMINIFERS,BRYOZOANS, UNIDENTIFIED CALCAREOUS FOSSILS",, FIRM, 00000000,041b2e7240f87ff39d988f3abccfdbaf,74-526C-13-2
74,526,C,14,1,0.0,150.0,280.00,280.00,281.50,SOC, CALCAREOUS FOSSILIFEROUS SANDSTONE, PALE ORANGE,,, CALCITE,," FORAMINIFERS,BRYOZOANS, UNIDENTIFIED CALCAREOUS FOSSILS",, FIRM, 00000000,3855a63884dabb2f948bae4271470ca1,74-526C-14-1
74,526,C,14,2,0.0,58.0,280.00,281.50,282.08,SOC, CALCAREOUS FOSSILIFEROUS SANDSTONE, PALE ORANGE,,, CALCITE,," FORAMINIFERS,BRYOZOANS, UNIDENTIFIED CALCAREOUS FOSSILS",, FIRM, 00000000,4f4a2cf55ef44de5d4bdcdd9e1612dd3,74-526C-14-2
74,526,C,14,CC,0.0,15.0,280.00,282.18,282.23,SOC, CALCAREOUS FOSSILIFEROUS SANDSTONE, PALE ORANGE,,, CALCITE,," FORAMINIFERS,BRYOZOANS, UNIDENTIFIED CALCAREOUS FOSSILS",, FIRM, 00000000,591225c7d552dbe4f8909458a99b1ca7,74-526C-14-CC
74,526,C,15,1,0.0,150.0,289.50,289.50,291.00,DF, CALCAREOUS SAND, OLIVE YELLOW,,," VOLCANOGENIC DEPOSITS,PEBBLES",,,, FIRM, 00000000,47ef47e5b98d65f6ab0e13f9043eee05,74-526C-15-1
74,526,C,15,2,0.0,150.0,289.50,291.00,292.50,DF, CALCAREOUS SAND, OLIVE YELLOW,,," VOLCANOGENIC DEPOSITS,PEBBLES",,,, FIRM, 00000000,cda83e403a6b869e4269fd4636a48546,74-526C-15-2
74,526,C,16,1,0.0,150.0,299.00,299.00,300.50,AL, CALCAREOUS SAND," GRAYISH ORANGE, YELLOWISH ORANGE",, GREATLY DEFORMED,," VOLCANIC GLASS,GLAUCONITE,IRON"," FORAMINIFERS,SHELL DEBRIS",, FIRM, 00000000,ba58069ebf220bea51220880340ea5a6,74-526C-16-1
74,526,C,16,2,0.0,75.0,299.00,300.50,301.25,AL, CALCAREOUS SAND," GRAYISH ORANGE, YELLOWISH ORANGE",, GREATLY DEFORMED,," VOLCANIC GLASS,GLAUCONITE,IRON"," FORAMINIFERS,SHELL DEBRIS",, FIRM, 00000000,376e86dda71326b0ba9af0c3c7e5b4c3,74-526C-16-2
74,526,C,17,CC,0.0,10.0,308.50,308.70,308.70,AL," CALCAREOUS SAND,CALCAREOUS SANDSTONE", OLIVE YELLOW,,,,,,, FIRM, 00000000,ce23582211c22a411d42a7e17c77e9f3,74-526C-17-CC
74,526,C,18,1,0.0,35.0,318.00,318.00,318.35,GD," CALCAREOUS SAND,SANDSTONE", OLIVE YELLOW,,,,," BRYOZOANS,SHELL DEBRIS",, HARD, 00000000,e69b68497c049757396d0f6fa0863947,74-526C-18-1
74,526,C,19,1,0.0,120.0,327.50,327.50,328.70,AL, SAND, BROWNISH GREY,,,," GLAUCONITE, IRON",,, FIRM, 00000000,5201760cea4d5295afd48fd69b4904a2,74-526C-19-1
74,526,C,19,CC,0.0,20.0,327.50,328.80,328.90,AL, SAND, LIGHT GRAY, SHELL DEBRIS,,,,,, FIRM, 00000000,7c2542554d66632b526fe77f59ef6a57,74-526C-19-CC
74,526,C,20,1,0.0,67.0,337.00,337.00,337.67,GD, CALCAREOUS SANDSTONE," YELLOWISH BROWN, LIGHT GRAY",,,,," ECHINOIDS,SPINES,SHELL DEBRIS",, FIRM, 00000000,130d609b229b3bacd922154447f0df9a,74-526C-20-1
74,526,C,20,CC,0.0,19.0,337.00,337.77,337.86,GD, CALCAREOUS SANDSTONE," YELLOWISH BROWN, LIGHT GRAY",,,,," ECHINOIDS,SPINES,SHELL DEBRIS",, FIRM, 00000000,f2a09b2fc771a1e90e94643a8a74dfc6,74-526C-20-CC
74,526,C,21,CC,0.0,10.0,346.50,346.60,346.60,AL, COARSE SAND AND GRAVEL, YELLOWISH BROWN,,,, GLAUCONITE,,, FIRM, 00000000,76a621f50de2bb14a0314c3e9d979846,74-526C-21-CC
