Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Orbulina universa,Orbulina bilobata,Neogloboquadrina acostaensis,Hastigerina pelagica,Globorotalia plesiotumida,Globorotalia merotumida,Globorotalia limbata,Globorotalia lenguaensis,Globoquadrina venezuelana,Globoquadrina dehiscens,Globoquadrina altispira globosa,Globoquadrina altispira altispira,Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides quadrilobatus,Globigerinoides obliquus,Globigerinoides immaturus,Globigerina nepenthes,Globigerina decoraperta,Globorotalia cf. Gr. miocenica,Globigerinella obesa,Globigerinella aequilateralis,Globigerinoides extremus,Globigerinita glutinata,Globorotalia scitula,Globorotalia cf. scitula,Globigerina druryi,Globorotalia cf. Gr. multicamerata,Candeina nitida,Sphaeroidinellopsis subdehiscens,Sphaeroidinellopsis paenedehiscens,Globigerinoides conglobatus,Globorotalia cibaoensis,Globorotalia paralenguaensis,Globorotalia juanai,Globoquadrina baroemoenensis,Globigerinoides bulloideus,Globigerina bulloides,Neogloboquadrina continuosa,Neogloboquadrina cf. humerosa,Globigerinoides bollii,Globigerina cf. falconensis,Globorotalia cf. Gr. margaritae,Neogloboquadrina humerosa,Globorotalia multicamerata,Globigerinoides ruber,Globigerinoides cf. conglobatus,Neogloboquadrina pseudopachyderma,Globorotalia margaritae evoluta,Globigerina cf. incisa,Globorotalia crassaformis crassaformis,Globigerina apertura,Globorotalia menardii,Sphaeroidinella dehiscens,Globorotalia miocenica,Globigerina falconensis,Globorotalia pseudomiocenica,Globorotalia crassaformis viola,Globorotalia crassaformis oceanica,Neogloboquadrina pseudopima,Globorotalia praehirsuta,Globigerina incisa,Globigerina calida praecalida,Neogloboquadrina incompta,Globorotalia exilis,Globorotalia crassaformis ronda,Globigerinoides trilobus fistulosus,Globorotalia pertenuis,Neogloboquadrina dutertrei,Globorotalia truncatulinoides,Globorotalia inflata,Pulleniatina obliquiloculata,Globorotalia cf. tumida,Globigerinoides siegliei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,G. fimbriata      ,              ,101, 630,A,  1,H, 3,  25.00,      3.2500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                              ,C                ,F                ,                            ,                    ,                         ,R                      ,                    ,                        ,                         ,r                      ,                               ,r                                ,R                       ,F                         ,R                            ,r                       ,F                        ,r                    ,r                      ,                              ,                    ,R                            ,r                       ,R                      ,                    ,                        ,                  ,                                  ,R              ,r                               ,r                                 ,                           ,r                      ,                            ,r                  ,                            ,                          ,                     ,                           ,                             ,                      ,                           ,                               ,                         ,                          ,                     ,F                              ,                                 ,                               ,                      ,                                      ,                    ,                     ,                         ,                      ,R                      ,                            ,                               ,                                  ,                           ,                        ,                  ,                             ,                         ,                   ,                               ,                                   ,                      ,                          ,R                            ,                    ,                            ,                       ,r                       ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,G. c. viola       ,              ,101, 630,A,  1,H, 4,  25.00,      4.7500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                              ,C                ,                 ,                            ,                    ,                         ,                       ,                    ,                        ,                         ,                       ,                               ,                                 ,C                       ,F                         ,                             ,                        ,F                        ,                     ,                       ,                              ,F                   ,R                            ,                        ,R                      ,                    ,                        ,                  ,                                  ,R              ,r                               ,r                                 ,R                          ,                       ,                            ,                   ,                            ,                          ,                     ,                           ,                             ,                      ,                           ,                               ,                         ,                          ,F                    ,                               ,                                 ,                               ,                      ,F                                     ,                    ,                     ,R                        ,                      ,                       ,                            ,F                              ,                                  ,                           ,                        ,                  ,R                            ,                         ,                   ,                               ,                                   ,                      ,F                         ,R                            ,                    ,R                           ,T                      ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,G. c. viola       ,              ,101, 630,A,  1,H,CC,  13.00,      8.6300,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                              ,F                ,R                ,                            ,                    ,                         ,                       ,                    ,                        ,                         ,                       ,                               ,                                 ,F                       ,F                         ,R                            ,                        ,F                        ,                     ,                       ,                              ,R                   ,F                            ,                        ,R                      ,                    ,                        ,                  ,                                  ,R              ,                                ,                                  ,R                          ,                       ,                            ,                   ,                            ,                          ,                     ,                           ,                             ,                      ,                           ,                               ,                         ,                          ,C                    ,                               ,                                 ,                               ,                      ,F                                     ,                    ,                     ,R                        ,                      ,                       ,                            ,R                              ,                                  ,                           ,                        ,                  ,R                            ,                         ,                   ,                               ,                                   ,                      ,F                         ,F                            ,R                   ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. exilis         ,              ,101, 630,A,  2,H, 4,  25.00,     13.3500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                              ,F                ,                 ,R                           ,R                   ,                         ,                       ,                    ,                        ,                         ,                       ,                               ,                                 ,T                       ,F                         ,T                            ,                        ,R                        ,                     ,T                      ,F                             ,T                   ,C                            ,                        ,R                      ,                    ,T                       ,                  ,                                  ,R              ,                                ,                                  ,                           ,                       ,                            ,                   ,                            ,                          ,                     ,                           ,                             ,                      ,                           ,                               ,R                        ,                          ,C                    ,R                              ,                                 ,                               ,                      ,R                                     ,                    ,                     ,R                        ,                      ,                       ,                            ,R                              ,R                                 ,                           ,                        ,R                 ,R                            ,                         ,F                  ,                               ,                                   ,                      ,R                         ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
