Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Globigerinoides immaturus	Sphaeroidinellopsis subdehiscens	Pulleniatina primalis	Globorotalia margaritae	Globorotalia limbata	Globorotalia juanai	Sphaeroidinellopsis paenedehiscens	Orbulina bilobata	Globorotalia cibaoensis	Globoquadrina dehiscens	Globigerinoides siegliei	Globigerinoides extremus	Globigerinoides conglobatus	Globigerinoides bollii	Globigerinita glutinata	Globigerinella aequilateralis	Globigerina nepenthes	Globigerina falconensis	Globigerina decoraperta	Candeina nitida	Globorotalia scitula	Globorotalia plesiotumida	Sphaeroidinellopsis seminulina	Neogloboquadrina cf. acostaensis	Globorotalia pseudomiocenica	Globorotalia cf. Gr. plesiotumida	Globorotalia cf. Gr. multicamerata	Globoquadrina altispira altispira	Globigerinoides sacculifer	Globorotalia cf. Gr. crassula	Globigerinoides trilobus	Globigerinoides ruber	Globigerinoides quadrilobatus	Neogloboquadrina incompta	Globoquadrina altispira globosa	Globorotalia menardii	Globorotalia crassula	Sphaeroidinella dehiscens	Globorotalia crassaformis ronda	Globorotalia crassaformis crassaformis	Globigerina cf. bulloides	Globorotalia cf. pseudomiocenica	Neogloboquadrina pseudopima	Neogloboquadrina continuosa	Globorotalia miocenica	Pulleniatina praecursor	Neogloboquadrina humerosa	Globorotalia exilis	Globorotalia crassaformis viola	Globigerina cf. falconensis	Pulleniatina obliquiloculata	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia inflata	Globorotalia cf. Gr. flexuosa	Globigerina rubescens	Globigerina palpebra	Globigerina cf. incisa	Globorotalia crassaformis hessi	Globorotalia crassaformis cf. hessi	Beella digitata	Globigerina calida praecalida	Globorotalia hirsuta	Globorotalia flexuosa	Globorotalia bermudezi	Comment



  SR	Pleistocene      	                 	G. c. hessi       	              	101	 632	A	  1	H	 3	  25.00	      3.2500	Melillo  	Planktonic Foraminifers                      	               	G                 	F                	F                        	                                	                     	                       	                    	                   	                                  	                 	                       	                       	                        	                        	F                          	                      	F                      	F                            	                     	                       	                       	T              	                    	                         	                              	                                	                            	                                 	                                  	                                 	                          	                             	                        	F                    	                             	                         	                               	F                    	                     	                         	                               	                                      	                         	                                	R                          	R                          	                      	                       	                         	                   	                               	                           	                            	R                  	F                            	                    	                             	R                    	                    	                      	R                              	R                                  	               	R                            	R                   	R                    	T                     	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Pleistocene      	                 	G. c. hessi       	              	101	 632	A	  1	H	CC	   5.00	      6.9300	Melillo  	Planktonic Foraminifers                      	               	G                 	C                	F                        	                                	                     	                       	                    	                   	                                  	                 	                       	                       	                        	                        	F                          	                      	F                      	                             	                     	                       	                       	R              	                    	                         	                              	                                	                            	                                 	                                  	                                 	R                         	                             	                        	C                    	F                            	                         	                               	                     	                     	R                        	                               	                                      	                         	                                	                           	R                          	                      	                       	                         	                   	                               	                           	R                           	R                  	C                            	                    	R                            	R                    	                    	                      	                               	R                                  	               	R                            	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Pleistocene      	                 	G. c. hessi       	              	101	 632	A	  2	H	 3	  25.00	     10.1500	Melillo  	Planktonic Foraminifers                      	               	M                 	C                	F                        	                                	                     	                       	                    	                   	                                  	T                	                       	                       	                        	                        	C                          	                      	F                      	F                            	                     	                       	                       	R              	                    	                         	                              	                                	                            	                                 	                                  	                                 	R                         	                             	R                       	F                    	                             	                         	                               	                     	R                    	F                        	R                              	                                      	                         	                                	                           	R                          	                      	                       	                         	                   	                               	                           	T                           	                   	F                            	R                   	                             	                     	                    	                      	                               	R                                  	               	R                            	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Pleistocene      	                 	G. c. viola       	              	101	 632	A	  2	H	CC	  11.00	     16.1900	Melillo  	Planktonic Foraminifers                      	               	G                 	C                	F                        	                                	                     	                       	                    	                   	                                  	R                	                       	                       	                        	                        	F                          	                      	R                      	F                            	                     	                       	                       	R              	                    	                         	                              	                                	                            	                                 	                                  	                                 	F                         	                             	R                       	C                    	F                            	                         	                               	                     	                     	F                        	                               	F                                     	                         	                                	                           	R                          	                      	                       	                         	                   	                               	                           	                            	                   	F                            	                    	                             	R                    	                    	                      	R                              	F                                  	R              	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30
