Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylosphaera angelina	Sphaeropyle robusta	Lipmanella redondoensis	Cyrtocapsella cornuta	Axoprunum acquilonius	Stichocorys sp. P	Stichocorys delmontensis	Cornutella profunda	Clathrocyclas bicornis group	Botryostrobus bramlettei	Lithocarpium polyacantha	Botryostrobus aquilonaris	Lithocarpium titan	Androcyclas heteroporos	Botryostrobus auritus/australis	Androcyclas neoheteroporos	Sphaeropyle langii	Cyrtocapsella japonica	Comment



  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 884	C	 10	X	CC	  33.00	     83.6100	Shilov   	Radiolarians                                 	R              	M                 	C                    	                   	                       	                     	A                    	                 	                        	                   	                            	                        	                        	                         	                  	                       	                               	                          	F                 	C                     	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 884	C	 11	X	CC	   0.00	     89.0800	Shilov   	Radiolarians                                 	R              	M                 	C                    	                   	                       	F                    	C                    	                 	                        	R                  	                            	                        	                        	                         	                  	                       	                               	                          	F                 	R                     	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 884	C	 12	X	CC	  12.00	    103.4900	Shilov   	Radiolarians                                 	R              	M                 	                     	                   	                       	                     	A                    	                 	                        	R                  	                            	                        	                        	R                        	                  	                       	                               	                          	R                 	R                     	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 884	C	 13	X	CC	  30.00	    116.5200	Shilov   	Radiolarians                                 	A              	G                 	F                    	R                  	                       	F                    	A                    	                 	                        	                   	                            	                        	                        	                         	                  	                       	                               	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 884	C	 14	X	CC	  33.00	    119.2400	Shilov   	Radiolarians                                 	C              	G                 	F                    	F                  	                       	C                    	C                    	                 	                        	                   	C                           	R                       	F                       	                         	                  	                       	F                              	                          	R                 	R                     	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Pliocene    	                 	A. acquilonius    	              	145	 884	C	 15	X	CC	  15.00	    135.9500	Shilov   	Radiolarians                                 	R              	G                 	R                    	                   	                       	                     	R                    	                 	                        	R                  	R                           	                        	                        	                         	R                 	                       	R                              	                          	                  	                      	L. titan is questionably identified; from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Pliocene    	                 	A. acquilonius    	              	145	 884	C	 16	X	CC	  13.00	    145.7400	Shilov   	Radiolarians                                 	R              	G                 	R                    	R                  	                       	R                    	R                    	                 	                        	                   	R                           	                        	R                       	                         	R                 	                       	                               	                          	                  	                      	L. titan is questionably identified; from Leg 145 SR; Ch 5; Table 6; p 105

