Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Orbulina universa,Neogloboquadrina acostaensis,Globorotaloides hexagona,Globorotalia scitula,Globorotalia plesiotumida,Globorotalia limbata,Globoquadrina venezuelana,Globoquadrina baroemoenensis,Globigerinoides quadrilobatus s.l.,Globigerinoides obliquus obliquus,Globigerinoides obliquus extremus,Globigerinella siphonifera,Dentoglobigerina altispira globosa,Dentoglobigerina altispira altispira,Candeina nitida,Neogloboquadrina humerosa,Globoturborotalita nepenthes,Orbulina suturalis,Globigerinita glutinata,Pulleniatina primalis,Pulleniatina obliquiloculata,Globorotalia tumida tumida,Globorotalia margaritae,Globigerinoides conglobatus,Globoquadrina dehiscens,Sphaeroidinella dehiscens,Globorotalia crassaformis,Globoquadrina conglomerata,Globigerinoides ruber s.l.,Globigerinoides fistulosus,Globigerinoides elongatus,Neogloboquadrina dutertrei,Globorotalia tosaensis,Globorotalia menardii s.l.,Globorotalia truncatulinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,115, 713,A,  1,R,CC,   0.00,      1.5300,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                              ,                         ,+                ,+                           ,+                       ,+                   ,                         ,                    ,                         ,                            ,+                                 ,                                 ,                                 ,+                         ,                                  ,                                    ,+              ,+                        ,                            ,                  ,+                      ,                     ,+                           ,+                         ,                       ,+                          ,                       ,+                        ,+                        ,                          ,+                         ,+?                        ,+                        ,+                         ,+                     ,                          ,+?                           ,benthic foraminifers few. ostracodes rare. foraminifers embedded rare. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,115, 713,A,  2,R, 2, 105.00,      4.1500,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                              ,                         ,+                ,+                           ,+                       ,+                   ,                         ,                    ,                         ,                            ,+                                 ,                                 ,                                 ,+                         ,                                  ,                                    ,+              ,+                        ,                            ,                  ,                       ,                     ,+                           ,+                         ,                       ,+                          ,                       ,+                        ,+?                       ,                          ,+                         ,+                         ,+                        ,+                         ,+                     ,+                         ,                             ,benthic foraminifers few. radiolarians rare. foraminifers embedded few/rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,115, 713,A,  2,R, 3, 105.00,      5.6500,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                              ,                         ,+                ,                            ,+                       ,+                   ,                         ,                    ,                         ,                            ,+                                 ,                                 ,                                 ,+                         ,                                  ,                                    ,               ,+                        ,                            ,                  ,                       ,                     ,+                           ,+                         ,                       ,+                          ,                       ,+                        ,+                        ,                          ,+                         ,+                         ,+                        ,+                         ,+?                    ,                          ,                             ,benthic foraminifers few. foraminifers embedded rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,115, 713,A,  2,R, 4, 105.00,      7.1500,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                              ,                         ,+                ,                            ,+                       ,                    ,                         ,                    ,                         ,                            ,+                                 ,                                 ,                                 ,+                         ,                                  ,                                    ,               ,+                        ,                            ,                  ,                       ,                     ,+                           ,+                         ,                       ,+                          ,                       ,+                        ,+                        ,+?                        ,+                         ,+                         ,+                        ,                          ,                      ,                          ,                             ,foraminifers embedded rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 11. page 819.
