Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Melonis barleeanus,Globobulimina affinis,Chilostomella oolina,Uvigerina peregrina,Hoeglundina elegans,Bulimina marginata,Gyroidinoides spp.,Fontbotia wuellerstorfi,Cibicidoides kullenbergi,Pullenia bulloides,Melonis pompilioides,Globocassidulina subglobosa,Nodosaria spp.,Uvigerina auberiana,Pyrgo spp.,Bulimina gr. costata,Oridorsalis umbonatus,Valvulineria laevigata,Nonionella atlantica,Bolivina paula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B,  1,H,CC,   9.00,      5.9800,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,+                 ,                     ,+                   ,                   ,+                  ,                  ,+                 ,                       ,                        ,                  ,                    ,                           ,              ,                   ,+         ,                    ,                     ,                      ,                    ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B,  2,H,CC,  24.00,     15.8200,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,+                 ,+                    ,                    ,+                  ,                   ,                  ,+                 ,+                      ,                        ,                  ,                    ,                           ,              ,                   ,+         ,                    ,                     ,                      ,                    ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B,  3,H,CC,  30.00,     25.4800,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,+                 ,+                    ,                    ,+                  ,                   ,                  ,                  ,                       ,                        ,                  ,+                   ,                           ,              ,                   ,          ,                    ,                     ,                      ,                    ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B,  4,H,CC,  23.00,     34.9400,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,F                 ,C                    ,                    ,                   ,                   ,                  ,                  ,                       ,                        ,                  ,                    ,                           ,              ,                   ,          ,                    ,                     ,R                     ,F                   ,R             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B,  5,H,CC,  23.00,     44.6100,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,+                 ,+                    ,                    ,                   ,                   ,                  ,                  ,                       ,                        ,                  ,                    ,                           ,              ,                   ,          ,                    ,                     ,+                     ,+                   ,+             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B,  6,H,CC,  23.00,     54.1400,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,+                 ,+                    ,                    ,                   ,                   ,+                 ,                  ,                       ,                        ,                  ,                    ,                           ,              ,                   ,          ,+                   ,                     ,+                     ,+                   ,              ,       
