Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triceratium sp. (large shallow-water species),Pseudopodosira spp.,Paralia sulcata,Liostephania/Asterolampra spp.,Grammatophora spp.,Entogonia spp.,Craspedodiscus umbonatus,Cocconeis spp.,Briggera spp.,Arachnoidiscus spp.,Abas wittii,Ethmodiscus spp.,Rhizosolenia interposita,Macrora barbadensis,Isthmia spp.,Diploneis spp.,Diatom (genus & species indet. 1),Dextradonator eximius,Stephanopyxis spp.,Xanthiopyxis spp.,Spermatogonia spp.,Skeletonemopsis barbabadensis,Macrora stella,Hemiaulus subacutus,Hemiaulus sp.,Hemiaulus polycystinorum var. mesolepta,Hemiaulus polycystinorum,Hemiaulus lyriformis,Hemiaulus exiguus,Hemiaulus altar,Diatom (genus & species indet.),Coscinodiscus oligocenicus,Clavicula spp.,Chaetoceros sp. 2,Chaetoceros sp. 1,Cestodiscus trochus,Cestodiscus mukhinae,Baxteriopsis brunii,Asterolampra vulgaris var. a,Asterolampra vulgaris,Asterolampra punctifera,Asterolampra marylandica,Melosira architecturalis,Coscinodiscus sp.,Cestodiscus demergitus,Chaetoceros asymmetricus,Rhizosolenia sp. 1,Hemiaulus taurus,Hemiaulus barbadensis,Cestodiscus sp. 1,Cestodiscus sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,                  ,              ,115, 707,C,  3,R, 2, 110.00,    196.1000,Fenner   ,Diatoms                                      ,C              ,P/M               ,T                                            ,                   ,F              ,                              ,A                 ,              ,                        ,F             ,R            ,                   ,           ,R               ,                        ,F                  ,            ,              ,                                 ,                     ,                  ,                 ,                  ,R                            ,F             ,F                  ,             ,                                       ,                        ,F                   ,                 ,F              ,T                              ,T                         ,              ,                 ,                 ,                   ,F                   ,T                  ,                            ,T                    ,F                      ,F                       ,F                       ,                 ,                      ,C                       ,T                 ,T               ,T                    ,F                ,F              ,questionable zonal assignment. from 115 SR. Chapter 24. Table 3. pages 438-442.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,B. brunii         ,              ,115, 707,C,  3,R, 4, 110.00,    199.1000,Fenner   ,Diatoms                                      ,R              ,P/M               ,F                                            ,                   ,F              ,                              ,D                 ,F             ,                        ,F             ,             ,F                  ,           ,                ,                        ,F                  ,            ,              ,T                                ,                     ,                  ,                 ,                  ,                             ,R             ,F                  ,F            ,                                       ,T                       ,                    ,                 ,R              ,R                              ,F                         ,F             ,                 ,                 ,                   ,R                   ,                   ,                            ,                     ,                       ,                        ,                        ,                 ,                      ,F                       ,                  ,                ,                     ,                 ,               ,from 115 SR. Chapter 24. Table 3. pages 438-442.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,B. brunii         ,              ,115, 707,C,  3,R, 6, 110.00,    202.1000,Fenner   ,Diatoms                                      ,C              ,P/M               ,F                                            ,                   ,C              ,                              ,A                 ,F             ,                        ,F             ,T            ,F                  ,           ,                ,                        ,F                  ,            ,              ,T                                ,                     ,                  ,                 ,                  ,                             ,              ,F                  ,             ,                                       ,                        ,T                   ,F                ,T              ,T                              ,                          ,R             ,                 ,C                ,R                  ,                    ,R                  ,                            ,                     ,R                      ,R                       ,T                       ,R                ,T                     ,                        ,                  ,                ,                     ,                 ,               ,from 115 SR. Chapter 24. Table 3. pages 438-442.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,B. brunii         ,              ,115, 707,C,  3,R,CC,  10.00,    203.1800,Fenner   ,Diatoms                                      ,C              ,M                 ,F                                            ,                   ,C              ,                              ,A                 ,F             ,                        ,F             ,R            ,F                  ,           ,                ,                        ,F                  ,            ,R             ,                                 ,                     ,                  ,R                ,T                 ,F                            ,T             ,F                  ,R            ,T                                      ,T                       ,F                   ,F                ,T              ,T                              ,F                         ,R             ,F                ,C                ,T                  ,R                   ,R                  ,T                           ,R                    ,T                      ,R                       ,                        ,                 ,                      ,                        ,                  ,                ,                     ,                 ,               ,from 115 SR. Chapter 24. Table 3. pages 438-442.
