Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Hendryhowella asperrima,Krithe sp. D 12,Argilloecia conoidea,Cytheropteron cf. hamaturn,Pterygocythereis mucronata,Krithe cf. glacialis,Krithe sp. (juvenile),Acanthocythereis dunelmensis,Cytheropteron nodosum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  4,H, 5, 113.00,     27.8300,Malz     ,Ostracodes                                   ,               ,                  ,                       ,               ,                    ,                          ,                          ,                    ,                     ,                            ,+                    ,Total specimens = 1; from ODP 104 SR Chapter 28 Table 2 p 771
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  6,H, 2,  54.00,     40.9400,Malz     ,Ostracodes                                   ,               ,                  ,                       ,               ,                    ,                          ,                          ,                    ,+                    ,+                           ,                     ,Total specimens = 2; from ODP 104 SR Chapter 28 Table 2 p 771
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  9,H, 2, 137.00,     69.2700,Malz     ,Ostracodes                                   ,               ,                  ,                       ,               ,                    ,                          ,                          ,+                   ,                     ,                            ,                     ,Total specimens = 1; from ODP 104 SR Chapter 28 Table 2 p 771
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B, 10,H, 1,  58.00,     76.4800,Malz     ,Ostracodes                                   ,               ,                  ,                       ,               ,                    ,                          ,                          ,+                   ,                     ,                            ,                     ,Total specimens = 2; from ODP 104 SR Chapter 28 Table 2 p 771
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B, 10,H, 3,  58.00,     79.4800,Malz     ,Ostracodes                                   ,               ,                  ,+                      ,               ,                    ,                          ,                          ,                    ,                     ,                            ,                     ,Total specimens = 1; from ODP 104 SR Chapter 28 Table 2 p 771
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B, 10,H, 4,  58.00,     80.9800,Malz     ,Ostracodes                                   ,               ,                  ,+                      ,               ,                    ,                          ,+                         ,                    ,                     ,                            ,                     ,Total specimens = 2; from ODP 104 SR Chapter 28 Table 2 p 771
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B, 10,H, 5,  58.00,     82.4800,Malz     ,Ostracodes                                   ,               ,                  ,                       ,               ,                    ,                          ,+                         ,                    ,                     ,                            ,                     ,Total specimens = 1; from ODP 104 SR Chapter 28 Table 2 p 771
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B, 12,H, 6,  61.00,    103.0100,Malz     ,Ostracodes                                   ,               ,                  ,                       ,               ,                    ,+                         ,                          ,                    ,                     ,                            ,                     ,Total specimens = 1; from ODP 104 SR Chapter 28 Table 2 p 771
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B, 13,H, 3, 104.00,    108.2400,Malz     ,Ostracodes                                   ,               ,                  ,                       ,               ,                    ,+                         ,                          ,                    ,                     ,                            ,                     ,Total specimens = 1; from ODP 104 SR Chapter 28 Table 2 p 771
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B, 13,H, 6, 104.00,    112.7400,Malz     ,Ostracodes                                   ,               ,                  ,                       ,               ,+                   ,                          ,                          ,                    ,                     ,                            ,                     ,Total specimens = 2; from ODP 104 SR Chapter 28 Table 2 p 771
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B, 16,H, 6, 116.00,    136.0100,Malz     ,Ostracodes                                   ,               ,                  ,+                      ,               ,                    ,                          ,                          ,                    ,                     ,                            ,                     ,Total specimens = 1; from ODP 104 SR Chapter 28 Table 2 p 771
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B, 18,H, 6, 114.00,    156.4400,Malz     ,Ostracodes                                   ,               ,                  ,                       ,+              ,                    ,                          ,                          ,                    ,                     ,                            ,                     ,Total specimens = 1; from ODP 104 SR Chapter 28 Table 2 p 771
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B, 19,H, 1, 105.00,    158.7500,Malz     ,Ostracodes                                   ,               ,                  ,+                      ,               ,                    ,                          ,                          ,                    ,                     ,                            ,                     ,Total specimens = 3; from ODP 104 SR Chapter 28 Table 2 p 771
,,,,,,,,,,,,,,,,,,,,,,,,,,
