Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Inoceramus (prisms),Comment
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  2,H, 5, 112.00,     11.9200,Spiegler ,Miscellaneous                                ,               ,                  ,VR                 ,Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  2,H, 6,  53.00,     12.8300,Spiegler ,Miscellaneous                                ,               ,                  ,R                  ,Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  3,H, 1, 106.00,     15.3600,Spiegler ,Miscellaneous                                ,               ,                  ,A                  ,Age of ice-rafted fossils = early Campanian to early Maastrichtian ; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  3,H, 2,  44.00,     16.2400,Spiegler ,Miscellaneous                                ,               ,                  ,C                  ,Age of ice-rafted fossils = early Campanian to early Maastrichtian ; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  3,H, 2, 106.00,     16.8600,Spiegler ,Miscellaneous                                ,               ,                  ,VR                 ,Age of ice-rafted fossils = early Campanian to early Maastrichtian ; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  4,H, 4,  43.00,     25.6300,Spiegler ,Miscellaneous                                ,               ,                  ,VR                 ,Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  4,H, 5,  43.00,     27.1300,Spiegler ,Miscellaneous                                ,               ,                  ,C                  ,Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  5,H, 2,  33.00,     31.2300,Spiegler ,Miscellaneous                                ,               ,                  ,R                  ,Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  5,H, 3,  33.00,     32.7300,Spiegler ,Miscellaneous                                ,               ,                  ,R                  ,Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  5,H, 3,  74.00,     33.1400,Spiegler ,Miscellaneous                                ,               ,                  ,-                  ,Age of ice-rafted fossils = early Miocene ; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  5,H, 7,  33.00,     38.7300,Spiegler ,Miscellaneous                                ,               ,                  ,R                  ,Age of ice-rafted fossils = late Campanian to late Maastrichtian ; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  6,H, 1, 104.00,     39.9400,Spiegler ,Miscellaneous                                ,               ,                  ,R                  ,Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  6,H, 2,  54.00,     40.9400,Spiegler ,Miscellaneous                                ,               ,                  ,VR                 ,Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  6,H, 4,  11.00,     43.5100,Spiegler ,Miscellaneous                                ,               ,                  ,R                  ,Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  6,H, 4,  92.00,     44.3200,Spiegler ,Miscellaneous                                ,               ,                  ,VR                 ,Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  7,H, 3,  20.00,     50.6000,Spiegler ,Miscellaneous                                ,               ,                  ,-                  ,Age of ice-rafted fossils = Miocene ; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  8,H, 3, 113.00,     61.0300,Spiegler ,Miscellaneous                                ,               ,                  ,A                  ,Age of ice-rafted fossils = Cretaceous & Miocene ; from ODP 104 SR  Chapter 36  Table 1  p 742
,,,,,,,,,,,,,,,,,,
