Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia pseudoampliapertura/increbescens,Turborotalia pseudoampliapertura,Turborotalia increbescens,Tenuitella munda,Tenuitella gemma,Tenuitella clemenciae,Subbotina utilisindex,Subbotina praeturritilina,Subbotina gortanii,Subbotina angiporoides angiporoides,Subbotina angiporoides,Pseudohastigerina naguewichiensis,Pseudohastigerina micra,Pseudohastigerina barbadoensis,Paragloborotalia sp.,Paragloborotalia pseudocontinuosa,Paragloborotalia opima nana,Globorotaloides variabilis,Globorotaloides suteri,Globoquadrina tapuriensis,Globigerina venezuelana,Globigerina sp. aff. G. ampliapertura,Globigerina prasaepis,Globigerina praebulloides occlusa,Globigerina praebulloides,Globigerina ouachitaensis,Globigerina officinalis,Globigerina euapertura,Globigerina ampliapertura,Dentoglobigerina sp. aff. D. larmeui,Dentoglobigerina galavisi,Chiloguembelinid (unspecified taxon or taxa),Catapsydrax sp.,Catapsydrax martini,Catapsydrax dissimilis dissimilis,Cassigerinella chipolensis,Tenuitella angustiumbilicata,Globoquadrina tripartita,Globoquadrina sellii,Catapsydrax unicavus,Tenuitella clemenciae/munda,Paragloborotalia siakensis,Dentoglobigerina globularis,Globorotaloides sp. 1,Globigerina ciperoensis,Cassigerinella globulosa,Tenuitella munda/juvenilis,Dentoglobigerina larmeui,Globoquadrina rohri,Dentoglobigerina galavisi/baroemoenensis,Dentoglobigerina baroemoenensis,Cassigerinella martinezpicoi,Globorotaloides permicus,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina dutertrei,Globorotalia truncatulinoides,Globorotalia theyeri,Globorotalia scitula,Globorotalia menardii s.l.,Globorotalia crassaformis,Globoquadrina conglomerata,Globigerinoides ruber s.l.,Globigerinoides quadrilobatus s.l.,Globigerinoides elongatus,Globigerinoides conglobatus,Globigerinella siphonifera,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Neogloboquadrina humerosa,Globorotalia tumida tumida,Dentoglobigerina altispira altispira,Globorotalia ungulata,Globigerinella calida,Candeina nitida,Globigerinella adamsi    ,Beella digitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P19               ,              ,115, 706,A,  2,H, 2,  86.00,      4.8600,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                                             ,+                               ,+                        ,+               ,+               ,+                    ,+                    ,+                        ,+                 ,                                   ,                      ,F                                ,+                      ,F                             ,                    ,                                 ,+                          ,+                         ,+                     ,                         ,                       ,                                     ,                     ,                                 ,+                        ,+                        ,+                      ,                      ,+                        ,+                                   ,+                        ,A                                           ,+              ,+                  ,                                 ,+                         ,+                           ,                        ,                    ,                    ,+                          ,                          ,+                          ,                     ,                       ,                        ,                          ,                        ,+                  ,                                        ,                               ,                            ,                        ,                         ,                            ,                 ,                          ,                             ,                    ,                    ,                          ,                         ,                          ,                          ,                                  ,                         ,                           ,                          ,                              ,                         ,                         ,                          ,                                    ,                     ,                     ,               ,                         ,               ,contamination common. from 115 SR. Chapter 19. Table 2. pages 281-282 .
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P19               ,              ,115, 706,A,  2,H, 3,  86.00,      6.3600,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                                             ,+                               ,+                        ,+               ,+               ,+                    ,+                    ,+                        ,+                 ,+                                  ,+                     ,+                                ,                       ,+                             ,+                   ,                                 ,+                          ,+                         ,+                     ,+                        ,+                      ,+                                    ,                     ,+                                ,+                        ,+                        ,+                      ,+                     ,+                        ,+                                   ,+                        ,+                                           ,               ,                   ,                                 ,+                         ,+                           ,+                       ,                    ,                    ,+                          ,                          ,+                          ,R                    ,+                      ,                        ,                          ,                        ,+                  ,                                        ,                               ,                            ,                        ,                         ,                            ,                 ,                          ,                             ,                    ,                    ,                          ,                         ,                          ,                          ,                                  ,                         ,                           ,                          ,                              ,                         ,                         ,                          ,                                    ,                     ,                     ,               ,                         ,               ,contamination present. from 115 SR. Chapter 19. Table 2. pages 281-282 .
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P19               ,              ,115, 706,A,  2,H, 4,  86.00,      7.8600,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                                             ,+                               ,C                        ,                ,+               ,+                    ,+                    ,+                        ,                  ,                                   ,+                     ,+                                ,R                      ,+                             ,+                   ,                                 ,+                          ,+                         ,                      ,+                        ,                       ,+                                    ,+                    ,+                                ,+                        ,C                        ,C                      ,                      ,+                        ,+                                   ,+                        ,+                                           ,               ,+                  ,                                 ,                          ,+                           ,+                       ,                    ,                    ,                           ,                          ,+                          ,                     ,+                      ,                        ,                          ,                        ,                   ,                                        ,cf                             ,                            ,                        ,                         ,                            ,                 ,                          ,                             ,                    ,                    ,                          ,                         ,                          ,                          ,                                  ,                         ,                           ,                          ,                              ,                         ,                         ,                          ,                                    ,                     ,                     ,               ,                         ,               ,contamination present. from 115 SR. Chapter 19. Table 2. pages 281-282 .
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P19               ,              ,115, 706,A,  2,H, 5,  86.00,      9.3600,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,+                                            ,+                               ,+                        ,                ,+               ,+                    ,+                    ,+                        ,+                 ,+                                  ,+                     ,+                                ,+                      ,+                             ,+                   ,                                 ,+                          ,+                         ,+                     ,+                        ,+                      ,                                     ,                     ,+                                ,                         ,+                        ,+                      ,                      ,+                        ,+                                   ,+                        ,+                                           ,               ,+                  ,                                 ,R                         ,+                           ,+                       ,+                   ,                    ,                           ,                          ,+                          ,                     ,+                      ,                        ,                          ,                        ,                   ,+                                       ,                               ,                            ,+                       ,                         ,                            ,                 ,                          ,                             ,                    ,                    ,                          ,                         ,                          ,                          ,                                  ,                         ,                           ,                          ,                              ,                         ,                         ,                          ,                                    ,                     ,                     ,               ,                         ,               ,contamination present. from 115 SR. Chapter 19. Table 2. pages 281-282 .
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P19               ,              ,115, 706,A,  2,H,CC,  17.00,     10.1700,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                                             ,+                               ,+                        ,+               ,+               ,+                    ,+                    ,+                        ,+                 ,+                                  ,+                     ,+                                ,+                      ,+                             ,+                   ,+                                ,+                          ,                          ,+                     ,+                        ,                       ,+                                    ,                     ,                                 ,+                        ,+                        ,+                      ,                      ,+                        ,+                                   ,+                        ,+                                           ,               ,+                  ,                                 ,+                         ,+                           ,+                       ,+                   ,                    ,+                          ,                          ,+                          ,                     ,+                      ,                        ,                          ,+                       ,+                  ,                                        ,+                              ,                            ,                        ,                         ,                            ,                 ,                          ,                             ,                    ,                    ,                          ,                         ,                          ,                          ,                                  ,                         ,                           ,                          ,                              ,                         ,                         ,                          ,                                    ,                     ,                     ,               ,                         ,               ,reworking few. contamination present. from 115 SR. Chapter 19. Table 2. pages 281-282 .
