Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Umbilicosphaera sp. 1,Transversopontis rectipons,Syracosphaera sp. 1,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus aff. distentus,Quinquerhabdus colossicus,Pontosphaera versa,Pontosphaera punctosa,Peritrachelina joidesa,Pedinocyclus larvalis,Micrantholithus procerus,Micrantholithus flos,Micrantholithus altus,Markalius sp. 1,Lanternithus minutus,Holococcolith type A,Helicosphaera reticulata,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera compacta,Helicosphaera bramlettei,Ericsonia obruta,Ericsonia formosa,Discoaster tanii,Discoaster deflandrei,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Cruciplacolithus tarquinius,Coronocyclus nitescens,Coccolithus sp.1,Coccolithus pelagicus,Coccolithus eopelagicus,Calcidiscus kingii,Bramletteius serraculoides,Braarudosphaera bigelowii,Blackites spinosus,Pontosphaera formosa,Discoaster adamanteus,Ilselithina fusa,Pontosphaera latoculata,Pontosphaera rimosa,Helicosphaera wilcoxonii,Coccolithus fuscus,Helicosphaera perch-nielseniae,Rhabdosphaera procera,Pontosphaera plana,Pontosphaera ocellata,Coccolithus miopelagicus,Helicosphaera obliqua,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  2,H, 2,  13.00,      4.1300,Okada    ,Nannofossils                                 ,A              ,M                 ,3.0%                   ,3.0%                 ,                          ,2.0%               ,                          ,6.0%                     ,4.0%                   ,F                          ,2.0%                     ,R                 ,                     ,R                     ,F                    ,                        ,1.0%                ,                     ,               ,2.0%                ,1.0%                ,F                       ,F                       ,F                      ,1.0%                  ,R                       ,2.0%            ,                 ,R               ,1.0%                 ,2.0%                    ,3.0%                   ,46.0%                      ,3.0%                       ,1.0%                  ,F               ,6.0%                 ,F                      ,R                 ,                          ,3.0%                     ,                  ,                    ,                     ,F               ,                       ,                   ,                        ,                  ,1.0%                          ,R                    ,R                 ,                     ,R                       ,R                    ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  2,H, 2, 130.00,      5.3000,Okada    ,Nannofossils                                 ,A              ,M                 ,2.0%                   ,2.0%                 ,                          ,2.0%               ,                          ,9.0%                     ,4.0%                   ,F                          ,1.0%                     ,F                 ,                     ,R                     ,F                    ,R                       ,F                   ,                     ,               ,1.0%                ,F                   ,1.0%                    ,F                       ,F                      ,2.0%                  ,R                       ,2.0%            ,                 ,R               ,F                    ,F                       ,1.0%                   ,50.0%                      ,3.0%                       ,F                     ,R               ,10.0%                ,F                      ,                  ,                          ,1.0%                     ,                  ,                    ,                     ,F               ,                       ,R                  ,                        ,                  ,1.0%                          ,R                    ,R                 ,R                    ,R                       ,F                    ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  2,H, 3, 130.00,      6.8000,Okada    ,Nannofossils                                 ,A              ,M                 ,4.0%                   ,7.0%                 ,                          ,1.0%               ,                          ,5.0%                     ,4.0%                   ,F                          ,7.0%                     ,F                 ,                     ,R                     ,1.0%                 ,R                       ,F                   ,                     ,               ,2.0%                ,1.0%                ,F                       ,F                       ,1.0%                   ,3.0%                  ,F                       ,1.0%            ,                 ,R               ,F                    ,F                       ,2.0%                   ,40.0%                      ,5.0%                       ,F                     ,R               ,7.0%                 ,F                      ,                  ,                          ,2.0%                     ,                  ,                    ,                     ,F               ,                       ,                   ,                        ,                  ,1.0%                          ,R                    ,R                 ,                     ,                        ,F                    ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  2,H, 4, 130.00,      8.3000,Okada    ,Nannofossils                                 ,A              ,M                 ,F                      ,2.0%                 ,                          ,2.0%               ,                          ,8.0%                     ,3.0%                   ,F                          ,3.0%                     ,R                 ,R                    ,R                     ,1.0%                 ,R                       ,F                   ,                     ,               ,7.0%                ,F                   ,F                       ,F                       ,1.0%                   ,2.0%                  ,F                       ,3.0%            ,                 ,R               ,1.0%                 ,1.0%                    ,2.0%                   ,45.0%                      ,2.0%                       ,1.0%                  ,R               ,6.0%                 ,R                      ,                  ,                          ,2.0%                     ,                  ,                    ,                     ,R               ,R                      ,                   ,                        ,                  ,F                             ,R                    ,                  ,                     ,R                       ,F                    ,from 115 SR. Chapter 14. Table 3. pages 134-135.
