Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma	Neogloboquadrina dutertrei	Hastigerina siphonifera	Globorotalia crassaformis	Globoconella inflata	Globigerinoides ruber	Globigerina bulloides	Globorotalia tumida flexuosa	Globigerinoides sacculifer	Globorotalia hirsuta	Globigerinoides ruber (pink)	Sphaeroidinella dehiscens	Menardella menardii	Beella digitata	Globorotalia tumida	Globorotalia scitula	Globigerina quinqueloba	Pulleniatina obliquiloculata	Comment



  IR	                 	                 	                  	              	175	1079	A	  1	H	CC	  23.00	      5.2900	Christensen	Planktonic Foraminifers                      	A              	VG                	A13              	1                                      	A7                         	1                         	A7                     	2                        	1                   	3                    	5                    	                            	A19                       	                    	3                           	                         	                   	               	                   	                    	                       	1                           	small shells

  IR	                 	                 	                  	              	175	1079	A	  2	H	CC	  22.00	     15.1600	Christensen	Planktonic Foraminifers                      	A              	VG                	D48              	1                                      	1                          	A11                       	5                      	                         	5                   	2                    	8                    	                            	7                         	                    	A11                         	                         	                   	               	                   	                    	                       	                            	as with Site 1078, the 150 - 250 fraction is dominated by same species except for Orbulina.

  IR	                 	                 	                  	              	175	1079	A	  3	H	CC	  15.00	     24.7800	Christensen	Planktonic Foraminifers                      	               	                  	A5               	3                                      	2                          	1                         	2                      	                         	A7                  	A9                   	A6                   	1                           	A5                        	                    	3                           	                         	+                  	               	+                  	1                   	                       	                            	Also contains small shells;  G. tumida flexuosa (top = 0.7 Ma)

  IR	                 	                 	                  	              	175	1079	A	  4	H	CC	  17.00	     34.0400	Christensen	Planktonic Foraminifers                      	               	                  	D92              	3                                      	2                          	2                         	5                      	3                        	1                   	A10                  	A7                   	2                           	5                         	                    	                            	                         	                   	               	                   	                    	1                      	                            	       

  IR	                 	                 	                  	              	175	1079	A	  5	H	CC	  27.00	     43.5700	Christensen	Planktonic Foraminifers                      	               	                  	D8               	                                       	1                          	1                         	1                      	1                        	                    	A3                   	A3                   	                            	D8                        	                    	1                           	                         	                   	               	1                  	                    	                       	                            	very dirty sample; the U pergrina are darker colored , possibly pyritized; fauna is different from the overlying sample; pyrite  Bolivina flood i the 150 - 259 fraction

  IR	                 	                 	                  	              	175	1079	A	  6	H	CC	  23.00	     53.1900	Christensen	Planktonic Foraminifers                      	               	                  	17               	2                                      	                           	                          	A5                     	A7                       	A5                  	A12                  	4                    	                            	4                         	                    	4                           	                         	                   	               	                   	                    	                       	1                           	some reworked bugs, probably Miocene

  IR	                 	                 	                  	              	175	1079	A	  7	H	CC	  20.00	     62.8400	Christensen	Planktonic Foraminifers                      	F              	M                 	D22              	5                                      	                           	3                         	4                      	4                        	5                   	A7                   	4                    	                            	3                         	                    	1                           	                         	                   	               	                   	                    	2                      	                            	Also a crappy sample with dirty bugs and broken shells.

  IR	                 	                 	                  	              	175	1079	A	  8	H	CC	  37.00	     72.4800	Christensen	Planktonic Foraminifers                      	A              	VG                	D52              	                                       	A14                        	5                         	5                      	                         	6                   	A16                  	A15                  	                            	7                         	                    	1                           	                         	                   	               	2                  	1                   	                       	                            	       

  IR	                 	                 	                  	              	175	1079	A	  9	H	CC	  22.00	     81.2800	Christensen	Planktonic Foraminifers                      	F              	M                 	A19              	2                                      	A6                         	                          	1                      	                         	5                   	A7                   	4                    	                            	2                         	                    	                            	                         	4                  	5              	                   	                    	                       	                            	       

  IR	                 	                 	                  	              	175	1079	A	 10	H	CC	  36.00	     92.1400	Christensen	Planktonic Foraminifers                      	F              	M                 	D22              	A7                                     	A5                         	                          	1                      	3                        	A9                  	2                    	1                    	                            	                          	                    	                            	1                        	                   	               	                   	                    	                       	                            	low planktnoic : benthic ratio posssible reworked material based on mixed preservational quality

  IR	                 	                 	                  	              	175	1079	A	 11	H	CC	   0.00	     99.0100	Christensen	Planktonic Foraminifers                      	F              	G                 	11               	2                                      	7                          	                          	1                      	                         	5                   	6                    	2                    	                            	1                         	1                   	2                           	                         	                   	               	                   	                    	                       	                            	low plank : benthic

  IR	                 	                 	                  	              	175	1079	A	 12	H	CC	  44.00	    108.3800	Christensen	Planktonic Foraminifers                      	A              	G                 	A7               	A7                                     	A13                        	3                         	                       	A15                      	1                   	A10                  	4                    	1                           	1                         	                    	                            	                         	                   	               	                   	                    	                       	                            	       

  IR	                 	                 	                  	              	175	1079	A	 13	H	CC	  32.00	    117.1300	Christensen	Planktonic Foraminifers                      	               	                  	A5               	2                                      	D21                        	1                         	3                      	1                        	1                   	A9                   	3                    	                            	                          	                    	                            	                         	                   	               	                   	                    	                       	                            	       

