Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus sp.	Sphenolithus pseudoradians	Sphenolithus predistentus	Sphenolithus moriformis	Reticulofenestra umbilica	Reticulofenestra sp.	Pedinocyclus larvalis	Helicosphaera sp.	Helicosphaera compacta	Ericsonia formosa	Discoaster spp. (5 rays)	Discoaster sp.	Discoaster deflandrei	Dictyococcites scrippsae	Dictyococcites bisectus	Cyclicargolithus floridanus	Coronocyclus nitescens	Coccolithus pelagicus	Clausicoccus fenestratus	Sphenolithus radians	Reticulofenestra callida	Oolithotus fragilis	Isthmolithus recurvus	Discoaster saipanensis	Discoaster barbadiensis	Cribrocentrum reticulatum	Chiasmolithus oamaruensis	Calcidiscus sp.	Bramletteius serraculoides	Coccolithus sp.	Discoaster nodifer	Calcidiscus protoannulus	Discoaster tanii	Zygrhablithus bijugatus	Sphenolithus distentus	Lanternithus minutus	Helicosphaera euphratis	Chiasmolithus altus	Helicosphaera bramlettei	Cyclicargolithus abisectus	Comment



  SR	Early Oligocene  	                 	CP16c             	              	134	 828	B	  1	R	 1	  33.00	     90.3300	Staerker 	Nannofossils                                 	A              	F                 	A               	R                         	A                        	A                      	                         	C                   	                     	                 	R                     	                 	R                       	R             	R                    	R                       	R                      	V                          	                      	A                    	S                       	                    	                        	                   	                     	R                     	                       	                         	                         	               	                          	S              	                  	                        	                	                       	                      	                    	                       	                   	                        	C                         	from ODP Leg 134 SR Chapter 10 Table 2 p 192-193

  SR	Early Oligocene  	                 	CP16c             	              	134	 828	B	  1	R	 2	  94.00	     92.4400	Staerker 	Nannofossils                                 	A              	F                 	C               	R                         	A                        	A                      	R                        	C                   	                     	                 	R                     	                 	R                       	S             	R                    	R                       	C                      	V                          	                      	A                    	R                       	                    	                        	                   	                     	                      	                       	                         	                         	               	                          	R              	                  	                        	                	R                      	                      	                    	                       	                   	                        	R                         	from ODP Leg 134 SR Chapter 10 Table 2 p 192-193

  SR	Early Oligocene  	                 	CP16c             	              	134	 828	B	  1	R	 3	  25.00	     93.2500	Staerker 	Nannofossils                                 	A              	F                 	C               	R                         	A                        	A                      	R                        	A                   	R                    	                 	R                     	                 	R                       	R             	R                    	S                       	C                      	V                          	                      	A                    	S                       	                    	                        	                   	                     	                      	                       	                         	                         	               	                          	R              	                  	                        	                	R                      	                      	                    	                       	                   	                        	                          	from ODP Leg 134 SR Chapter 10 Table 2 p 192-193

  SR	Early Oligocene  	                 	CP16c             	              	134	 828	B	  1	R	 3	  90.00	     93.9000	Staerker 	Nannofossils                                 	A              	F                 	S               	                          	C                        	A                      	R                        	C                   	R                    	R                	R                     	                 	R                       	S             	                     	R                       	C                      	V                          	R                     	A                    	C                       	                    	                        	                   	                     	                      	                       	                         	                         	               	                          	S              	                  	                        	                	                       	                      	                    	                       	                   	                        	                          	from ODP Leg 134 SR Chapter 10 Table 2 p 192-193

