Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera mirabilis,Umbellosphaera irregularis,Syracosphaera pulchra,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus abies/neoabies,Scapholithus fossilis,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Pontosphaera japonica,Helicosphaera kamptneri,Gephyrocapsa spp. small (<3.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Emiliania huxleyi,Discosphaera tubifera,Discoaster variabilis,Discoaster sp.,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster deflandrei,Discoaster brouweri,Dictyococcites sp.,Cyclicargolithus floridanus,Coccolithus pelagicus,Clausicoccus fenestratus,Calcidiscus leptoporus,Syracosphaera sp.,Reticulofenestra sp. (<5 microns),Pontosphaera multipora,Gephyrocapsa spp. (large >5.5 microns),Discoaster tamalis,Ceratolithus cristatus,Calcidiscus macintyrei,Syracosphaera clava,Pontosphaera sp.,Ceratolithus simplex,Reticulofenestra sp.,Sphenolithus sp.,Micrantholithus sp.,Discoaster challengeri,Discoaster berggrenii,Holodiscolithus macroporus,Coronocyclus nitescens,Catinaster umbrellus,Ceratolithus telesmus,Oolithotus fragilis,Discoaster triradiatus,Pontosphaera indooceanica,Scyphosphaera sp.,Blackites sp.,Pontosphaera segmenta,Braarudosphaera bigelowii,Discoaster sp. (5-rayed),Discoaster surculus,Pontosphaera distincta,Helicosphaera euphratis,Reticulofenestra umbilica,Helicosphaera sp.,Catinaster calyculus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  1,H, 1,  17.00,      0.1700,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rS                        ,rC                         ,C                    ,C                      ,rS                      ,S                    ,C                      ,                                      ,C                                      ,A                ,S                    ,rS                   ,rS            ,rR                     ,                        ,                     ,rR                 ,C                 ,rS                         ,                     ,                        ,C                     ,                 ,                                 ,                      ,                                      ,                  ,S                     ,                      ,                   ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,rR                    ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  1,H, 2,  29.00,      1.7900,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,S                         ,C                    ,rS                     ,rS                        ,rS                         ,C                    ,C                      ,rS                      ,S                    ,C                      ,                                      ,C                                      ,A                ,S                    ,rS                   ,rS            ,rR                     ,                        ,rS                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,                                 ,                      ,                                      ,                  ,S                     ,                      ,                   ,S               ,                    ,C                   ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  1,H, 4,  28.00,      4.7800,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,S                         ,C                    ,rS                     ,rC                        ,rC                         ,C                    ,C                      ,rS                      ,R                    ,C                      ,S                                     ,C                                      ,A                ,C                    ,rS                   ,rS            ,rS                     ,                        ,                     ,rR                 ,C                 ,rC                         ,                     ,                        ,C                     ,                 ,C                                ,                      ,                                      ,                  ,                      ,                      ,                   ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,R                        ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  1,H, 5,  26.00,      6.2600,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,R                    ,rS                     ,rS                        ,rS                         ,C                    ,S                      ,rR                      ,S                    ,C                      ,S                                     ,C                                      ,A                ,S                    ,rS                   ,rS            ,rS                     ,                        ,rR                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,S                                ,                      ,                                      ,                  ,S                     ,                      ,                   ,                ,                    ,R                   ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,rR                     ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
