Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Jenkinsella bella	Globorotalia siakensis	Globorotalia birnageae	Globoquadrina dehiscens	Globoquadrina baroemoenensis	Fohsella peripheroronda	Neogloboquadrina mayeri	Globorotalia peripheroronda	Globigerinoides sicanus	Dentoglobigerina altispira	Globoquadrina venezuelana	Globigerinoides diminutus	Globigerinoides trilobus	Globigerinoides subquadratus	Globigerinoides sacculifer	Sphaeroidinellopsis seminulina	Globigerinoides quadrilobatus	Globigerinoides obliquus	Globigerinoides immaturus	Globigerinatella insueta	Praeorbulina circularis	Dentoglobigerina globosa	Zeaglobigerina druryi	Globorotalia archeomenardii	Orbulina suturalis	Orbulina universa	Globigerinoides mitra	Fohsella peripheroacuta	Globorotalia praescitula	Fohsella fohsi sensus stricto	Zeaglobigerina decoraperta	Globorotalia fohsi lobata	Zeaglobigerina woodi	Globigerina nepenthes	Neogloboquadrina humerosa	Globigerinoides extremus	Globorotalia merotumida	Globorotalia menardii	Globorotalia juanai	Sphaeroidinella dehiscens	Neogloboquadrina acostaensis	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Globorotaloides hexagona	Globorotalia tumida	Globorotalia tosaensis	Globigerinoides ruber	Globorotalia scitula	Globorotalia ungulata	Globigerinella aequilateralis	Globigerinoides conglobatus	Globorotalia hirsuta	Orbulina bilobata	Globorotalia theyeri	Globigerinella calida	Globigerina bulloides	Comment



  IR	                 	Pleistocene      	                  	N23           	170	1039	B	  1	H	CC	  10.00	      1.9000	Ibaraki  	Planktonic Foraminifers                      	C              	M                 	                 	                      	                      	                       	                            	                       	                       	                           	                       	                          	                         	                         	                        	                            	R                         	                              	                             	                        	                         	                        	                       	                        	                     	                           	                  	                 	                     	                       	                        	                             	                          	                         	                    	                     	                         	                        	                       	R                    	                   	                         	                            	R                           	R                         	R                       	R                  	                      	R                    	                    	R                    	R                            	                           	                    	                 	                    	R                    	R                    	       

  IR	                 	Pleistocene      	                  	N23           	170	1039	B	  3	H	CC	  15.00	     20.4300	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                 	                      	                      	                       	                            	                       	                       	                           	                       	                          	                         	                         	                        	                            	R                         	                              	                             	                        	                         	                        	                       	                        	                     	                           	                  	                 	                     	                       	                        	                             	                          	                         	                    	                     	                         	                        	                       	R                    	                   	                         	                            	                            	                          	R                       	                   	                      	R                    	                    	R                    	R                            	                           	                    	                 	R                   	                     	                     	       

  IR	                 	Pleistocene      	                  	N23           	170	1039	B	  4	H	CC	  38.00	     31.0300	Ibaraki  	Planktonic Foraminifers                      	C              	G                 	                 	                      	                      	                       	                            	                       	                       	                           	                       	                          	                         	                         	                        	                            	R                         	                              	                             	                        	                         	                        	                       	                        	                     	                           	                  	                 	                     	                       	                        	                             	                          	                         	                    	                     	                         	                        	                       	                     	                   	                         	                            	R                           	R                         	                        	R                  	                      	R                    	                    	R                    	                             	                           	                    	R                	                    	                     	                     	       

  IR	                 	Pleistocene      	                  	N23           	170	1039	B	  5	H	CC	  21.00	     40.3800	Ibaraki  	Planktonic Foraminifers                      	C              	G                 	                 	                      	                      	                       	                            	                       	                       	                           	                       	                          	                         	                         	                        	                            	R                         	                              	                             	                        	                         	                        	                       	                        	                     	                           	                  	                 	                     	                       	                        	                             	                          	                         	                    	                     	                         	                        	                       	R                    	                   	                         	                            	R                           	R                         	R                       	R                  	                      	R                    	                    	                     	                             	                           	                    	                 	                    	                     	                     	       
