Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	reticulofenstrids small	Sphenolithus moriformis	Sphenolithus heteromorphus	Reticulofenestra pseudoumbilicus	Helicosphaera carteri	Helicosphaera ampliaperta	Discoaster intercalaris	Discoaster deflandrei	Cyclicargolithus floridanus	Coronocyclus nitescens	Coccolithus miopelagicus	Sphenolithus verensis	Discoaster variabilis	Pontosphaera discopora	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster exilis	Hayaster perplexus	Discoaster kugleri	Sphenolithus abies	Discoaster bellus	Discoaster surculus	Discoaster quinqueramus	Discoaster neorectus	Discoaster brouweri	Discoaster berggrenii	Discoaster misconceptus	Discoaster asymmetricus	Helicosphaera sellii	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Pseudoemiliania lacunosa	Helicosphaera neogranulata	Helicosphaera hyalina	Ceratolithus cristatus	Emiliania huxleyi	Comment



  IR	                 	Pleistocene      	                  	NN21          	170	1039	B	  1	H	 1	   0.00	      0.0000	Muza     	Nannofossils                                 	F              	P                 	                       	                       	                          	                                	                     	                         	                       	                     	                           	                      	                        	                     	                     	                      	                      	                      	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	F                        	                        	                          	                     	                      	F                	       

  IR	                 	Pleistocene      	NN21              	NN20          	170	1039	B	  1	H	CC	  10.00	      1.9000	Muza     	Nannofossils                                 	A              	M                 	                       	                       	                          	                                	C                    	                         	                       	                     	                           	                      	                        	                     	                     	                      	                      	A                     	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	A                    	A                        	                        	                          	F                    	R                     	                 	       

  IR	                 	Pleistocene      	NN21              	NN20          	170	1039	B	  2	H	 5	  19.00	      8.1900	Muza     	Nannofossils                                 	A              	M                 	                       	                       	                          	                                	F                    	                         	                       	                     	                           	                      	                        	                     	                     	                      	                      	C                     	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	C                    	C                        	                        	                          	R                    	R                     	                 	       

  IR	                 	Pleistocene      	NN21              	NN20          	170	1039	B	  3	H	CC	  15.00	     20.4300	Muza     	Nannofossils                                 	A              	M                 	                       	                       	                          	                                	F                    	                         	                       	                     	                           	                      	                        	                     	                     	                      	                      	C                     	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	C                    	C                        	                        	                          	F                    	R                     	                 	       

  IR	                 	Pleistocene      	NN21              	NN20          	170	1039	B	  4	H	CC	  38.00	     31.0300	Muza     	Nannofossils                                 	A              	M                 	                       	                       	                          	                                	F                    	                         	                       	                     	                           	                      	                        	                     	                     	                      	                      	C                     	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	C                    	C                        	                        	                          	F                    	R                     	                 	       

