Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotaloides topilensis	Truncorotaloides collactea	Globorotalia centralis	Acarinina spinuloinflata	Acarinina rotundimarginata	Catapsydrax dissimilis	Globorotalia peripheroronda	Globigerinoides parawoodi	Globigerina foliata	Cassigerinella chipolensis	Globorotalia siakensis	Globorotalia obesa	Globoquadrina dehiscens dehiscens	Globoquadrina altispira globosa	Globoquadrina altispira altispira	Globigerinoides immaturus	Globigerinita glutinata	Globoquadrina venezuelana	Globorotaloides hexagona	Globigerina praebulloides	Globigerina falconensis	Neogloboquadrina continuosa	Globigerinoides subquadratus	Globorotaloides suteri	Comment



  SR	                 	                 	                  	              	112	 683	B	  1	X	 1	  58.00	    403.0800	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                           	                          	                      	                        	                          	                      	                           	                         	                   	                          	                      	F                 	                                 	                               	                                 	                         	                       	                         	                        	                         	                       	                           	                            	T                     	from ODP Leg 112 SR Chapter 15 Table 5 p 248

  SR	                 	                 	                  	              	112	 683	B	  1	X	CC	   9.00	    403.8100	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                           	                          	                      	                        	                          	                      	                           	T                        	                   	                          	                      	R                 	T                                	                               	T                                	                         	                       	T                        	R                       	C                        	R                      	T                          	T                           	                      	from ODP Leg 112 SR Chapter 15 Table 5 p 248

  SR	                 	                 	                  	              	112	 683	B	  3	X	 2	  83.00	    423.8300	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                           	                          	                      	                        	                          	                      	T                          	                         	                   	                          	T                     	                  	                                 	                               	                                 	                         	                       	                         	T                       	C                        	T                      	                           	                            	                      	from ODP Leg 112 SR Chapter 15 Table 5 p 248

  SR	                 	                 	                  	              	112	 683	B	  4	X	CC	  22.00	    431.6000	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                           	                          	                      	                        	                          	                      	T                          	                         	                   	                          	                      	                  	                                 	                               	                                 	                         	T                      	T                        	                        	                         	                       	                           	                            	                      	from ODP Leg 112 SR Chapter 15 Table 5 p 248

  SR	                 	                 	                  	              	112	 683	B	  5	X	CC	  29.00	    444.1600	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                           	                          	                      	                        	                          	                      	T                          	                         	                   	                          	T                     	F                 	C                                	T                              	T                                	R                        	T                      	                         	                        	                         	                       	                           	                            	                      	from ODP Leg 112 SR Chapter 15 Table 5 p 248

  SR	                 	                 	                  	              	112	 683	B	  5	X	CC	  32.00	    444.1900	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                           	                          	                      	                        	                          	                      	T                          	T                        	R                  	T                         	                      	                  	                                 	                               	                                 	                         	                       	                         	                        	                         	                       	                           	                            	                      	from ODP Leg 112 SR Chapter 15 Table 5 p 248

  SR	                 	                 	                  	              	112	 683	B	  7	X	CC	  22.00	    463.0900	Ibaraki  	Planktonic Foraminifers                      	R              	P                 	                           	                          	                      	                        	                          	T                     	                           	                         	                   	                          	                      	                  	                                 	                               	                                 	                         	                       	                         	                        	                         	                       	                           	                            	                      	from ODP Leg 112 SR Chapter 15 Table 5 p 248

  SR	                 	                 	                  	              	112	 683	B	  8	X	CC	  45.00	    478.7600	Ibaraki  	Planktonic Foraminifers                      	R              	P                 	T                          	T                         	T                     	T                       	T                         	                      	                           	                         	                   	                          	                      	                  	                                 	                               	                                 	                         	                       	                         	                        	                         	                       	                           	                            	                      	from ODP Leg 112 SR Chapter 15 Table 5 p 248

